EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 147750) of station Shahat, LIBYAN ARAB JAMAHIRIYA (STAID:   7949)

 STAID,    SOUID,    DATE,   RR, Q_RR
  7949,147750,19160101,-9999,    9
  7949,147750,19160102,-9999,    9
  7949,147750,19160103,-9999,    9
  7949,147750,19160104,-9999,    9
  7949,147750,19160105,-9999,    9
  7949,147750,19160106,-9999,    9
  7949,147750,19160107,-9999,    9
  7949,147750,19160108,-9999,    9
  7949,147750,19160109,-9999,    9
  7949,147750,19160110,-9999,    9
  7949,147750,19160111,-9999,    9
  7949,147750,19160112,-9999,    9
  7949,147750,19160113,-9999,    9
  7949,147750,19160114,-9999,    9
  7949,147750,19160115,-9999,    9
  7949,147750,19160116,-9999,    9
  7949,147750,19160117,-9999,    9
  7949,147750,19160118,-9999,    9
  7949,147750,19160119,-9999,    9
  7949,147750,19160120,-9999,    9
  7949,147750,19160121,-9999,    9
  7949,147750,19160122,-9999,    9
  7949,147750,19160123,-9999,    9
  7949,147750,19160124,-9999,    9
  7949,147750,19160125,-9999,    9
  7949,147750,19160126,-9999,    9
  7949,147750,19160127,-9999,    9
  7949,147750,19160128,-9999,    9
  7949,147750,19160129,-9999,    9
  7949,147750,19160130,-9999,    9
  7949,147750,19160131,-9999,    9
  7949,147750,19160201,-9999,    9
  7949,147750,19160202,-9999,    9
  7949,147750,19160203,-9999,    9
  7949,147750,19160204,-9999,    9
  7949,147750,19160205,-9999,    9
  7949,147750,19160206,-9999,    9
  7949,147750,19160207,-9999,    9
  7949,147750,19160208,-9999,    9
  7949,147750,19160209,-9999,    9
  7949,147750,19160210,-9999,    9
  7949,147750,19160211,-9999,    9
  7949,147750,19160212,-9999,    9
  7949,147750,19160213,-9999,    9
  7949,147750,19160214,-9999,    9
  7949,147750,19160215,-9999,    9
  7949,147750,19160216,-9999,    9
  7949,147750,19160217,-9999,    9
  7949,147750,19160218,-9999,    9
  7949,147750,19160219,-9999,    9
  7949,147750,19160220,-9999,    9
  7949,147750,19160221,-9999,    9
  7949,147750,19160222,-9999,    9
  7949,147750,19160223,-9999,    9
  7949,147750,19160224,-9999,    9
  7949,147750,19160225,-9999,    9
  7949,147750,19160226,-9999,    9
  7949,147750,19160227,-9999,    9
  7949,147750,19160228,-9999,    9
  7949,147750,19160229,-9999,    9
  7949,147750,19160301,-9999,    9
  7949,147750,19160302,-9999,    9
  7949,147750,19160303,-9999,    9
  7949,147750,19160304,-9999,    9
  7949,147750,19160305,-9999,    9
  7949,147750,19160306,-9999,    9
  7949,147750,19160307,-9999,    9
  7949,147750,19160308,-9999,    9
  7949,147750,19160309,-9999,    9
  7949,147750,19160310,-9999,    9
  7949,147750,19160311,-9999,    9
  7949,147750,19160312,-9999,    9
  7949,147750,19160313,-9999,    9
  7949,147750,19160314,-9999,    9
  7949,147750,19160315,-9999,    9
  7949,147750,19160316,-9999,    9
  7949,147750,19160317,-9999,    9
  7949,147750,19160318,-9999,    9
  7949,147750,19160319,-9999,    9
  7949,147750,19160320,-9999,    9
  7949,147750,19160321,-9999,    9
  7949,147750,19160322,-9999,    9
  7949,147750,19160323,-9999,    9
  7949,147750,19160324,-9999,    9
  7949,147750,19160325,-9999,    9
  7949,147750,19160326,-9999,    9
  7949,147750,19160327,-9999,    9
