EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 155167) of station Knin, CROATIA (STAID:  10901)

 STAID,    SOUID,    DATE,   RR, Q_RR
 10901,155167,19481201,-9999,    9
 10901,155167,19481202,-9999,    9
 10901,155167,19481203,-9999,    9
 10901,155167,19481204,-9999,    9
 10901,155167,19481205,-9999,    9
 10901,155167,19481206,-9999,    9
 10901,155167,19481207,-9999,    9
 10901,155167,19481208,-9999,    9
 10901,155167,19481209,-9999,    9
 10901,155167,19481210,-9999,    9
 10901,155167,19481211,-9999,    9
 10901,155167,19481212,-9999,    9
 10901,155167,19481213,-9999,    9
 10901,155167,19481214,-9999,    9
 10901,155167,19481215,-9999,    9
 10901,155167,19481216,-9999,    9
 10901,155167,19481217,-9999,    9
 10901,155167,19481218,-9999,    9
 10901,155167,19481219,-9999,    9
 10901,155167,19481220,-9999,    9
 10901,155167,19481221,-9999,    9
 10901,155167,19481222,-9999,    9
 10901,155167,19481223,-9999,    9
 10901,155167,19481224,-9999,    9
 10901,155167,19481225,-9999,    9
 10901,155167,19481226,-9999,    9
 10901,155167,19481227,-9999,    9
 10901,155167,19481228,-9999,    9
 10901,155167,19481229,-9999,    9
 10901,155167,19481230,-9999,    9
 10901,155167,19481231,   13,    0
 10901,155167,19490101,    3,    0
 10901,155167,19490102,    8,    0
 10901,155167,19490103,    2,    0
 10901,155167,19490104,    0,    0
 10901,155167,19490105,    0,    0
 10901,155167,19490106,    0,    0
 10901,155167,19490107,    0,    0
 10901,155167,19490108,   32,    0
 10901,155167,19490109,    0,    0
 10901,155167,19490110,    0,    0
 10901,155167,19490111,  250,    0
 10901,155167,19490112,    0,    0
 10901,155167,19490113,    0,    0
 10901,155167,19490114,    0,    0
 10901,155167,19490115,    0,    0
 10901,155167,19490116,    0,    0
 10901,155167,19490117,    0,    0
 10901,155167,19490118,    0,    0
 10901,155167,19490119,    0,    0
 10901,155167,19490120,    0,    0
 10901,155167,19490121,   52,    0
 10901,155167,19490122,   27,    0
 10901,155167,19490123,    0,    0
 10901,155167,19490124,    0,    0
 10901,155167,19490125,    0,    0
 10901,155167,19490126,    0,    0
 10901,155167,19490127,    0,    0
 10901,155167,19490128,    0,    0
 10901,155167,19490129,    0,    0
 10901,155167,19490130,    0,    0
 10901,155167,19490131,    0,    0
 10901,155167,19490201,    0,    0
 10901,155167,19490202,    0,    0
 10901,155167,19490203,    0,    0
 10901,155167,19490204,    0,    0
 10901,155167,19490205,    0,    0
 10901,155167,19490206,    0,    0
 10901,155167,19490207,    0,    0
 10901,155167,19490208,    0,    0
 10901,155167,19490209,    0,    0
 10901,155167,19490210,   47,    0
 10901,155167,19490211,    0,    0
 10901,155167,19490212,    0,    0
 10901,155167,19490213,    0,    0
 10901,155167,19490214,    0,    0
 10901,155167,19490215,    0,    0
 10901,155167,19490216,    0,    0
 10901,155167,19490217,    0,    0
 10901,155167,19490218,    0,    0
 10901,155167,19490219,    0,    0
 10901,155167,19490220,    0,    0
 10901,155167,19490221,    0,    0
 10901,155167,19490222,    0,    0
 10901,155167,19490223,    0,    0
 10901,155167,19490224,    0,    0
 10901,155167,19490225,    0,    0
 10901,155167,19490226,    0,    0
 10901,155167,19490227,    0,    0
 10901,155167,19490228,   23,    0
 10901,155167,19490301,    0,    0
 10901,155167,19490302,    0,    0
 10901,155167,19490303,    0,    0
