EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 155411) of station Dubrovnik, CROATIA (STAID:  10963)

 STAID,    SOUID,    DATE,   RR, Q_RR
 10963,155411,19601201,-9999,    9
 10963,155411,19601202,-9999,    9
 10963,155411,19601203,-9999,    9
 10963,155411,19601204,-9999,    9
 10963,155411,19601205,-9999,    9
 10963,155411,19601206,-9999,    9
 10963,155411,19601207,-9999,    9
 10963,155411,19601208,-9999,    9
 10963,155411,19601209,-9999,    9
 10963,155411,19601210,-9999,    9
 10963,155411,19601211,-9999,    9
 10963,155411,19601212,-9999,    9
 10963,155411,19601213,-9999,    9
 10963,155411,19601214,-9999,    9
 10963,155411,19601215,-9999,    9
 10963,155411,19601216,-9999,    9
 10963,155411,19601217,-9999,    9
 10963,155411,19601218,-9999,    9
 10963,155411,19601219,-9999,    9
 10963,155411,19601220,-9999,    9
 10963,155411,19601221,-9999,    9
 10963,155411,19601222,-9999,    9
 10963,155411,19601223,-9999,    9
 10963,155411,19601224,-9999,    9
 10963,155411,19601225,-9999,    9
 10963,155411,19601226,-9999,    9
 10963,155411,19601227,-9999,    9
 10963,155411,19601228,-9999,    9
 10963,155411,19601229,-9999,    9
 10963,155411,19601230,-9999,    9
 10963,155411,19601231,    0,    0
 10963,155411,19610101,    0,    0
 10963,155411,19610102,    8,    0
 10963,155411,19610103,    0,    0
 10963,155411,19610104,  143,    0
 10963,155411,19610105,   76,    0
 10963,155411,19610106,  234,    0
 10963,155411,19610107,   48,    0
 10963,155411,19610108,    0,    0
 10963,155411,19610109,  117,    0
 10963,155411,19610110,    0,    0
 10963,155411,19610111,  123,    0
 10963,155411,19610112,  142,    0
 10963,155411,19610113,    0,    0
 10963,155411,19610114,    8,    0
 10963,155411,19610115,   74,    0
 10963,155411,19610116,    0,    0
 10963,155411,19610117,    0,    0
 10963,155411,19610118,    0,    0
 10963,155411,19610119,    0,    0
 10963,155411,19610120,    0,    0
 10963,155411,19610121,    6,    0
 10963,155411,19610122,   70,    0
 10963,155411,19610123,  288,    0
 10963,155411,19610124,  390,    0
 10963,155411,19610125,  206,    0
 10963,155411,19610126,    8,    0
 10963,155411,19610127,    0,    0
 10963,155411,19610128,    0,    0
 10963,155411,19610129,    2,    0
 10963,155411,19610130,   82,    0
 10963,155411,19610131,    0,    0
 10963,155411,19610201,  113,    0
 10963,155411,19610202,   90,    0
 10963,155411,19610203,   24,    0
 10963,155411,19610204,    0,    0
 10963,155411,19610205,    0,    0
 10963,155411,19610206,    0,    0
 10963,155411,19610207,    0,    0
 10963,155411,19610208,    0,    0
 10963,155411,19610209,    6,    0
 10963,155411,19610210,    0,    0
 10963,155411,19610211,    0,    0
 10963,155411,19610212,    0,    0
 10963,155411,19610213,    0,    0
 10963,155411,19610214,    0,    0
 10963,155411,19610215,    0,    0
 10963,155411,19610216,    0,    0
 10963,155411,19610217,    0,    0
 10963,155411,19610218,    0,    0
 10963,155411,19610219,    0,    0
 10963,155411,19610220,    0,    0
 10963,155411,19610221,    0,    0
 10963,155411,19610222,    0,    0
 10963,155411,19610223,    0,    0
 10963,155411,19610224,    0,    0
 10963,155411,19610225,    0,    0
 10963,155411,19610226,    0,    0
 10963,155411,19610227,    0,    0
 10963,155411,19610228,    0,    0
 10963,155411,19610301,  266,    0
 10963,155411,19610302,    0,    0
 10963,155411,19610303,    0,    0
 10963,155411,19610304,    0,    0
 10963,155411,19610305,    0,    0
 10963,155411,19610306,    0,    0
 10963,155411,19610307,    0,    0
 10963,155411,19610308,    0,    0
 10963,155411,19610309,    0,    0
 10963,155411,19610310,    0,    0
 10963,155411,19610311,    0,    0
 10963,155411,19610312,    0,    0
 10963,155411,19610313,    0,    0
 10963,155411,19610314,    0,    0
 10963,155411,19610315,    0,    0
 10963,155411,19610316,    0,    0
 10963,155411,19610317,    0,    0
 10963,155411,19610318,    0,    0
 10963,155411,19610319,    0,    0
 10963,155411,19610320,   51,    0
 10963,155411,19610321,  409,    0
 10963,155411,19610322,    0,    0
 10963,155411,19610323,    0,    0
 10963,155411,19610324,    0,    0
 10963,155411,19610325,    0,    0
 10963,155411,19610326,    0,    0
 10963,155411,19610327,    0,    0
 10963,155411,19610328,    0,    0
 10963,155411,19610329,    0,    0
 10963,155411,19610330,    0,    0
 10963,155411,19610331,    0,    0
 10963,155411,19610401,    0,    0
 10963,155411,19610402,    0,    0
 10963,155411,19610403,    0,    0
 10963,155411,19610404,    0,    0
 10963,155411,19610405,    0,    0
 10963,155411,19610406,    0,    0
 10963,155411,19610407,    0,    0
 10963,155411,19610408,    0,    0
 10963,155411,19610409,    0,    0
 10963,155411,19610410,    0,    0
 10963,155411,19610411,    0,    0
 10963,155411,19610412,    0,    0
 10963,155411,19610413,    0,    0
 10963,155411,19610414,    0,    0
 10963,155411,19610415,    9,    0
 10963,155411,19610416,    1,    0
 10963,155411,19610417,    0,    0
 10963,155411,19610418,    0,    0
 10963,155411,19610419,   14,    0
 10963,155411,19610420,    0,    0
 10963,155411,19610421,    0,    0
 10963,155411,19610422,  133,    0
 10963,155411,19610423,  385,    0
 10963,155411,19610424,  257,    0
 10963,155411,19610425,    0,    0
 10963,155411,19610426,  157,    0
 10963,155411,19610427,  223,    0
 10963,155411,19610428,    0,    0
 10963,155411,19610429,  122,    0
 10963,155411,19610430,  329,    0
 10963,155411,19610501,   25,    0
 10963,155411,19610502,    8,    0
 10963,155411,19610503,    0,    0
 10963,155411,19610504,    0,    0
 10963,155411,19610505,    0,    0
 10963,155411,19610506,    0,    0
 10963,155411,19610507,    0,    0
 10963,155411,19610508,    0,    0
 10963,155411,19610509,  117,    0
 10963,155411,19610510,   32,    0
 10963,155411,19610511,    0,    0
 10963,155411,19610512,    7,    0
 10963,155411,19610513,    0,    0
 10963,155411,19610514,    0,    0
 10963,155411,19610515,    0,    0
 10963,155411,19610516,   10,    0
 10963,155411,19610517,   16,    0
 10963,155411,19610518,    0,    0
 10963,155411,19610519,  193,    0
 10963,155411,19610520,   91,    0
 10963,155411,19610521,   24,    0
 10963,155411,19610522,   27,    0
 10963,155411,19610523,    0,    0
 10963,155411,19610524,    1,    0
 10963,155411,19610525,    0,    0
 10963,155411,19610526,    0,    0
 10963,155411,19610527,    0,    0
 10963,155411,19610528,    0,    0
 10963,155411,19610529,    0,    0
 10963,155411,19610530,    0,    0
 10963,155411,19610531,    0,    0
 10963,155411,19610601,    0,    0
 10963,155411,19610602,    4,    0
 10963,155411,19610603,  157,    0
 10963,155411,19610604,   49,    0
 10963,155411,19610605,    1,    0
 10963,155411,19610606,   26,    0
 10963,155411,19610607, 1035,    0
 10963,155411,19610608,   66,    0
 10963,155411,19610609,    0,    0
 10963,155411,19610610,  341,    0
 10963,155411,19610611,    5,    0
 10963,155411,19610612,    0,    0
 10963,155411,19610613,    0,    0
 10963,155411,19610614,    0,    0
 10963,155411,19610615,    0,    0
 10963,155411,19610616,    0,    0
 10963,155411,19610617,    0,    0
 10963,155411,19610618,   10,    0
 10963,155411,19610619,    0,    0
 10963,155411,19610620,    0,    0
 10963,155411,19610621,    0,    0
 10963,155411,19610622,    0,    0
 10963,155411,19610623,    0,    0
 10963,155411,19610624,    0,    0
 10963,155411,19610625,    0,    0
 10963,155411,19610626,    0,    0
 10963,155411,19610627,    0,    0
 10963,155411,19610628,    0,    0
