EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 191210) of station Bassacutena, ITALY (STAID:  16568)

 STAID,    SOUID,    DATE,   RR, Q_RR
 16568,191210,19220101,    0,    0
 16568,191210,19220102,    0,    0
 16568,191210,19220103,    0,    0
 16568,191210,19220104,    0,    0
 16568,191210,19220105,   80,    0
 16568,191210,19220106,  100,    0
 16568,191210,19220107,  120,    0
 16568,191210,19220108,   80,    0
 16568,191210,19220109,   60,    0
 16568,191210,19220110,    0,    0
 16568,191210,19220111,    0,    0
 16568,191210,19220112,    0,    0
 16568,191210,19220113,    0,    0
 16568,191210,19220114,    0,    0
 16568,191210,19220115,    0,    0
 16568,191210,19220116,    0,    0
 16568,191210,19220117,    0,    0
 16568,191210,19220118,    0,    0
 16568,191210,19220119,    0,    0
 16568,191210,19220120,    0,    0
 16568,191210,19220121,    0,    0
 16568,191210,19220122,    0,    0
 16568,191210,19220123,    0,    0
 16568,191210,19220124,    0,    0
 16568,191210,19220125,    0,    0
 16568,191210,19220126,  200,    0
 16568,191210,19220127,  270,    0
 16568,191210,19220128,  130,    0
 16568,191210,19220129,  200,    0
 16568,191210,19220130,    0,    0
 16568,191210,19220131,    0,    0
 16568,191210,19220201,    0,    0
 16568,191210,19220202,    0,    0
 16568,191210,19220203,    0,    0
 16568,191210,19220204,    0,    0
 16568,191210,19220205,    0,    0
 16568,191210,19220206,    0,    0
 16568,191210,19220207,    0,    0
 16568,191210,19220208,  100,    0
 16568,191210,19220209,    0,    0
 16568,191210,19220210,  150,    0
 16568,191210,19220211,    0,    0
 16568,191210,19220212,    0,    0
