EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 191211) of station Palau, ITALY (STAID:  16569)

 STAID,    SOUID,    DATE,   RR, Q_RR
 16569,191211,19220101,    0,    0
 16569,191211,19220102,    0,    0
 16569,191211,19220103,   56,    0
 16569,191211,19220104,   57,    0
 16569,191211,19220105,   62,    0
 16569,191211,19220106,   56,    0
 16569,191211,19220107,    0,    0
 16569,191211,19220108,    0,    0
 16569,191211,19220109,    0,    0
 16569,191211,19220110,    0,    0
 16569,191211,19220111,    0,    0
 16569,191211,19220112,    0,    0
 16569,191211,19220113,    0,    0
 16569,191211,19220114,    0,    0
 16569,191211,19220115,    0,    0
 16569,191211,19220116,    0,    0
 16569,191211,19220117,    0,    0
 16569,191211,19220118,   15,    0
 16569,191211,19220119,   43,    0
 16569,191211,19220120,    0,    0
 16569,191211,19220121,    0,    0
 16569,191211,19220122,   35,    0
 16569,191211,19220123,   23,    0
 16569,191211,19220124,    0,    0
 16569,191211,19220125,  107,    0
 16569,191211,19220126,   64,    0
 16569,191211,19220127,  158,    0
 16569,191211,19220128,  176,    0
 16569,191211,19220129,    0,    0
 16569,191211,19220130,   73,    0
 16569,191211,19220131,   82,    0
 16569,191211,19220201,    0,    0
 16569,191211,19220202,    0,    0
 16569,191211,19220203,   57,    0
 16569,191211,19220204,    0,    0
 16569,191211,19220205,    0,    0
 16569,191211,19220206,   58,    0
 16569,191211,19220207,    0,    0
 16569,191211,19220208,    0,    0
 16569,191211,19220209,    0,    0
 16569,191211,19220210,    0,    0
 16569,191211,19220211,    0,    0
 16569,191211,19220212,   13,    0
 16569,191211,19220213,    0,    0
 16569,191211,19220214,    0,    0
 16569,191211,19220215,    0,    0
 16569,191211,19220216,    0,    0
 16569,191211,19220217,    0,    0
 16569,191211,19220218,   16,    0
 16569,191211,19220219,   35,    0
 16569,191211,19220220,    0,    0
 16569,191211,19220221,    0,    0
 16569,191211,19220222,    0,    0
 16569,191211,19220223,  158,    0
 16569,191211,19220224,  276,    0
 16569,191211,19220225,    0,    0
 16569,191211,19220226,    0,    0
 16569,191211,19220227,    0,    0
 16569,191211,19220228,    0,    0
 16569,191211,19220301,    0,    0
 16569,191211,19220302,    0,    0
 16569,191211,19220303,    0,    0
 16569,191211,19220304,    0,    0
 16569,191211,19220305,    0,    0
 16569,191211,19220306,    0,    0
 16569,191211,19220307,    0,    0
 16569,191211,19220308,    0,    0
 16569,191211,19220309,    0,    0
 16569,191211,19220310,    0,    0
 16569,191211,19220311,    0,    0
 16569,191211,19220312,    0,    0
 16569,191211,19220313,    0,    0
 16569,191211,19220314,   65,    0
 16569,191211,19220315,  108,    0
 16569,191211,19220316,  237,    0
 16569,191211,19220317,    0,    0
 16569,191211,19220318,    0,    0
 16569,191211,19220319,    0,    0
 16569,191211,19220320,    0,    0
 16569,191211,19220321,    0,    0
 16569,191211,19220322,   32,    0
 16569,191211,19220323,  124,    0
 16569,191211,19220324,   73,    0
 16569,191211,19220325,   54,    0
 16569,191211,19220326,  233,    0
 16569,191211,19220327,   72,    0
