EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 256054) of station Edirne, TÃœRKIYE (STAID:   2241)

 STAID,    SOUID,    DATE,   RR, Q_RR
  2241,256054,19550101,  203,    0
  2241,256054,19550102,   51,    0
  2241,256054,19550103,    0,    0
  2241,256054,19550104,    0,    0
  2241,256054,19550105,  320,    0
  2241,256054,19550106,   51,    0
  2241,256054,19550107,    0,    0
  2241,256054,19550108,  180,    0
  2241,256054,19550109,  150,    0
  2241,256054,19550110,    0,    0
  2241,256054,19550111,    5,    0
  2241,256054,19550112,    0,    0
  2241,256054,19550113,    0,    0
  2241,256054,19550114,    0,    0
  2241,256054,19550115,   36,    0
  2241,256054,19550116,  371,    0
  2241,256054,19550117,    0,    0
  2241,256054,19550118,    0,    0
  2241,256054,19550119,   30,    0
  2241,256054,19550120,   41,    0
  2241,256054,19550121,   20,    0
  2241,256054,19550122,   99,    0
  2241,256054,19550123,   10,    0
  2241,256054,19550124,    0,    0
  2241,256054,19550125,    0,    0
  2241,256054,19550126,    0,    0
  2241,256054,19550127,    0,    0
  2241,256054,19550128,    0,    0
  2241,256054,19550129,    0,    0
  2241,256054,19550130,    0,    0
  2241,256054,19550131,    0,    0
  2241,256054,19550201,    0,    0
  2241,256054,19550202,   10,    0
  2241,256054,19550203,-9999,    9
  2241,256054,19550204,  221,    0
  2241,256054,19550205,    5,    0
  2241,256054,19550206,    0,    0
  2241,256054,19550207,    0,    0
  2241,256054,19550208,   30,    0
  2241,256054,19550209,   20,    0
  2241,256054,19550210,   53,    0
