EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 256075) of station Tekirdag, TÃœRKIYE (STAID:   2242)

 STAID,    SOUID,    DATE,   RR, Q_RR
  2242,256075,19630101,-9999,    9
  2242,256075,19630102,-9999,    9
  2242,256075,19630103,-9999,    9
  2242,256075,19630104,-9999,    9
  2242,256075,19630105,-9999,    9
  2242,256075,19630106,-9999,    9
  2242,256075,19630107,-9999,    9
  2242,256075,19630108,-9999,    9
  2242,256075,19630109,-9999,    9
  2242,256075,19630110,-9999,    9
  2242,256075,19630111,-9999,    9
  2242,256075,19630112,-9999,    9
  2242,256075,19630113,-9999,    9
  2242,256075,19630114,-9999,    9
  2242,256075,19630115,-9999,    9
  2242,256075,19630116,-9999,    9
  2242,256075,19630117,    0,    0
  2242,256075,19630118,-9999,    9
  2242,256075,19630119,-9999,    9
  2242,256075,19630120,-9999,    9
  2242,256075,19630121,   30,    0
  2242,256075,19630122,    3,    0
  2242,256075,19630123,    0,    0
  2242,256075,19630124,    0,    0
  2242,256075,19630125,    0,    0
  2242,256075,19630126,    0,    0
  2242,256075,19630127,    0,    0
  2242,256075,19630128,    0,    0
  2242,256075,19630129,-9999,    9
  2242,256075,19630130,   41,    0
  2242,256075,19630131,   10,    0
  2242,256075,19630201,    0,    0
  2242,256075,19630202,   61,    0
  2242,256075,19630203,    3,    0
  2242,256075,19630204,   10,    0
  2242,256075,19630205,-9999,    9
  2242,256075,19630206,    0,    0
  2242,256075,19630207,    0,    0
  2242,256075,19630208,   61,    0
  2242,256075,19630209,   79,    0
  2242,256075,19630210,    0,    0
  2242,256075,19630211,   10,    0
  2242,256075,19630212,   41,    0
  2242,256075,19630213,   36,    0
  2242,256075,19630214,  211,    0
  2242,256075,19630215,-9999,    9
  2242,256075,19630216,    0,    0
  2242,256075,19630217,    0,    0
  2242,256075,19630218,    0,    0
  2242,256075,19630219,   20,    0
  2242,256075,19630220,    0,    0
  2242,256075,19630221,    0,    0
  2242,256075,19630222,    0,    0
  2242,256075,19630223,   30,    0
  2242,256075,19630224,    3,    0
  2242,256075,19630225,    0,    0
  2242,256075,19630226,    0,    0
  2242,256075,19630227,    0,    0
  2242,256075,19630228,    0,    0
  2242,256075,19630301,    3,    0
  2242,256075,19630302,    0,    0
  2242,256075,19630303,    0,    0
  2242,256075,19630304,    0,    0
  2242,256075,19630305,    0,    0
  2242,256075,19630306,    0,    0
  2242,256075,19630307,    0,    0
  2242,256075,19630308,    0,    0
  2242,256075,19630309,    0,    0
  2242,256075,19630310,    0,    0
  2242,256075,19630311,    0,    0
  2242,256075,19630312,    0,    0
  2242,256075,19630313,    0,    0
  2242,256075,19630314,  122,    0
  2242,256075,19630315,    3,    0
  2242,256075,19630316,    0,    0
  2242,256075,19630317,    0,    0
  2242,256075,19630318,    0,    0
  2242,256075,19630319,    0,    0
  2242,256075,19630320,    0,    0
  2242,256075,19630321,    0,    0
  2242,256075,19630322,    0,    0
  2242,256075,19630323,   89,    0
  2242,256075,19630324,   61,    0
  2242,256075,19630325,   13,    0
  2242,256075,19630326,    0,    0
  2242,256075,19630327,    0,    0
  2242,256075,19630328,    0,    0
  2242,256075,19630329,   10,    0
  2242,256075,19630330,   51,    0
  2242,256075,19630331,    3,    0
  2242,256075,19630401,    5,    0
  2242,256075,19630402,    0,    0
  2242,256075,19630403,-9999,    9
  2242,256075,19630404,    3,    0
  2242,256075,19630405,    0,    0
  2242,256075,19630406,    0,    0
  2242,256075,19630407,    0,    0
  2242,256075,19630408,    0,    0
  2242,256075,19630409,    0,    0
  2242,256075,19630410,    0,    0
  2242,256075,19630411,    0,    0
  2242,256075,19630412,    0,    0
  2242,256075,19630413,    0,    0
  2242,256075,19630414,    0,    0
  2242,256075,19630415,    0,    0
  2242,256075,19630416,    0,    0
  2242,256075,19630417,    0,    0
  2242,256075,19630418,    0,    0
  2242,256075,19630419,    0,    0
  2242,256075,19630420,    0,    0
  2242,256075,19630421,    0,    0
  2242,256075,19630422,   13,    0
  2242,256075,19630423,    0,    0
