EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 256089) of station KUMKOY, TÃœRKIYE (STAID:  23411)

 STAID,    SOUID,    DATE,   RR, Q_RR
 23411,256089,19730101,    0,    0
 23411,256089,19730102,-9999,    9
 23411,256089,19730103,-9999,    9
 23411,256089,19730104,    0,    0
 23411,256089,19730105,    3,    0
 23411,256089,19730106,-9999,    9
 23411,256089,19730107,-9999,    9
 23411,256089,19730108,-9999,    9
 23411,256089,19730109,    5,    0
 23411,256089,19730110,    5,    0
 23411,256089,19730111,   10,    0
 23411,256089,19730112,   30,    0
 23411,256089,19730113,    0,    0
 23411,256089,19730114,  119,    0
 23411,256089,19730115,   10,    0
 23411,256089,19730116,    3,    0
 23411,256089,19730117,-9999,    9
 23411,256089,19730118,    5,    0
 23411,256089,19730119,-9999,    9
 23411,256089,19730120,   41,    0
 23411,256089,19730121,   23,    0
 23411,256089,19730122,    0,    0
 23411,256089,19730123,    3,    0
 23411,256089,19730124,    0,    0
 23411,256089,19730125,   10,    0
 23411,256089,19730126,   10,    0
 23411,256089,19730127,   30,    0
 23411,256089,19730128,   10,    0
 23411,256089,19730129,   51,    0
 23411,256089,19730130,   41,    0
 23411,256089,19730131,-9999,    9
 23411,256089,19730201,    0,    0
 23411,256089,19730202,    0,    0
 23411,256089,19730203,-9999,    9
 23411,256089,19730204,    0,    0
 23411,256089,19730205,    0,    0
 23411,256089,19730206,-9999,    9
 23411,256089,19730207,    0,    0
 23411,256089,19730208,    0,    0
 23411,256089,19730209,    0,    0
 23411,256089,19730210,    0,    0
 23411,256089,19730211,    0,    0
 23411,256089,19730212,-9999,    9
 23411,256089,19730213,    3,    0
 23411,256089,19730214,    0,    0
 23411,256089,19730215,    0,    0
 23411,256089,19730216,    0,    0
 23411,256089,19730217,   51,    0
 23411,256089,19730218,  150,    0
 23411,256089,19730219,    0,    0
 23411,256089,19730220,    0,    0
 23411,256089,19730221,   20,    0
 23411,256089,19730222,    0,    0
 23411,256089,19730223,    0,    0
 23411,256089,19730224,-9999,    9
 23411,256089,19730225,    5,    0
 23411,256089,19730226,-9999,    9
 23411,256089,19730227,   20,    0
 23411,256089,19730228,   71,    0
 23411,256089,19730301,-9999,    9
 23411,256089,19730302,    0,    0
 23411,256089,19730303,    0,    0
 23411,256089,19730304,    0,    0
 23411,256089,19730305,    3,    0
 23411,256089,19730306,    3,    0
 23411,256089,19730307,    3,    0
 23411,256089,19730308,    0,    0
 23411,256089,19730309,    0,    0
 23411,256089,19730310,   41,    0
 23411,256089,19730311,   61,    0
 23411,256089,19730312,  170,    0
 23411,256089,19730313,    0,    0
 23411,256089,19730314,  409,    0
 23411,256089,19730315,   41,    0
 23411,256089,19730316,   20,    0
 23411,256089,19730317,   13,    0
 23411,256089,19730318,    3,    0
 23411,256089,19730319,   36,    0
 23411,256089,19730320,   51,    0
 23411,256089,19730321,    0,    0
 23411,256089,19730322,    0,    0
 23411,256089,19730323,    0,    0
 23411,256089,19730324,    0,    0
 23411,256089,19730325,    0,    0
 23411,256089,19730326,    0,    0
 23411,256089,19730327,    0,    0
 23411,256089,19730328,    0,    0
 23411,256089,19730329,    0,    0
 23411,256089,19730330,    0,    0
 23411,256089,19730331,-9999,    9
 23411,256089,19730401,    0,    0
 23411,256089,19730402,    0,    0
 23411,256089,19730403,    0,    0
 23411,256089,19730404,    0,    0
 23411,256089,19730405,    0,    0
 23411,256089,19730406,    3,    0
 23411,256089,19730407,   99,    0
 23411,256089,19730408,    0,    0
 23411,256089,19730409,    0,    0
 23411,256089,19730410,    0,    0
 23411,256089,19730411,    0,    0
 23411,256089,19730412,   20,    0
 23411,256089,19730413,  140,    0
 23411,256089,19730414,    0,    0
 23411,256089,19730415,    0,    0
 23411,256089,19730416,   10,    0
 23411,256089,19730417,    5,    0
 23411,256089,19730418,   61,    0
 23411,256089,19730419,    0,    0
 23411,256089,19730420,    5,    0
 23411,256089,19730421,    0,    0
 23411,256089,19730422,-9999,    9
 23411,256089,19730423,    0,    0
 23411,256089,19730424,    0,    0
 23411,256089,19730425,-9999,    9
 23411,256089,19730426,-9999,    9
 23411,256089,19730427,-9999,    9
 23411,256089,19730428,    0,    0
 23411,256089,19730429,    0,    0
 23411,256089,19730430,    0,    0
 23411,256089,19730501,-9999,    9
 23411,256089,19730502,-9999,    9
 23411,256089,19730503,    0,    0
 23411,256089,19730504,-9999,    9
 23411,256089,19730505,-9999,    9
 23411,256089,19730506,-9999,    9
 23411,256089,19730507,-9999,    9
 23411,256089,19730508,-9999,    9
 23411,256089,19730509,-9999,    9
 23411,256089,19730510,-9999,    9
 23411,256089,19730511,    0,    0
 23411,256089,19730512,-9999,    9
 23411,256089,19730513,-9999,    9
 23411,256089,19730514,    0,    0
 23411,256089,19730515,    0,    0
 23411,256089,19730516,-9999,    9
 23411,256089,19730517,-9999,    9
 23411,256089,19730518,-9999,    9
 23411,256089,19730519,-9999,    9
 23411,256089,19730520,-9999,    9
 23411,256089,19730521,-9999,    9
 23411,256089,19730522,    0,    0
 23411,256089,19730523,    0,    0
 23411,256089,19730524,    0,    0
 23411,256089,19730525,   15,    0
 23411,256089,19730526,   30,    0
 23411,256089,19730527,   10,    0
 23411,256089,19730528,    5,    0
 23411,256089,19730529,   36,    0
 23411,256089,19730530,   10,    0
 23411,256089,19730531,   20,    0
