EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 256096) of station SARIYER, TÃœRKIYE (STAID:  23412)

 STAID,    SOUID,    DATE,   RR, Q_RR
 23412,256096,19650501,-9999,    9
 23412,256096,19650502,-9999,    9
 23412,256096,19650503,-9999,    9
 23412,256096,19650504,-9999,    9
 23412,256096,19650505,-9999,    9
 23412,256096,19650506,-9999,    9
 23412,256096,19650507,-9999,    9
 23412,256096,19650508,    3,    0
 23412,256096,19650509,-9999,    9
 23412,256096,19650510,-9999,    9
 23412,256096,19650511,-9999,    9
 23412,256096,19650512,-9999,    9
 23412,256096,19650513,-9999,    9
 23412,256096,19650514,-9999,    9
 23412,256096,19650515,-9999,    9
 23412,256096,19650516,-9999,    9
 23412,256096,19650517,-9999,    9
 23412,256096,19650518,-9999,    9
 23412,256096,19650519,-9999,    9
 23412,256096,19650520,-9999,    9
 23412,256096,19650521,-9999,    9
 23412,256096,19650522,-9999,    9
 23412,256096,19650523,-9999,    9
 23412,256096,19650524,-9999,    9
 23412,256096,19650525,    0,    0
 23412,256096,19650526,-9999,    9
 23412,256096,19650527,-9999,    9
 23412,256096,19650528,-9999,    9
 23412,256096,19650529,-9999,    9
 23412,256096,19650530,-9999,    9
 23412,256096,19650531,-9999,    9
 23412,256096,19650601,-9999,    9
 23412,256096,19650602,-9999,    9
 23412,256096,19650603,-9999,    9
 23412,256096,19650604,-9999,    9
 23412,256096,19650605,    0,    0
 23412,256096,19650606,-9999,    9
 23412,256096,19650607,-9999,    9
 23412,256096,19650608,-9999,    9
 23412,256096,19650609,-9999,    9
 23412,256096,19650610,-9999,    9
 23412,256096,19650611,-9999,    9
 23412,256096,19650612,-9999,    9
 23412,256096,19650613,-9999,    9
 23412,256096,19650614,-9999,    9
 23412,256096,19650615,-9999,    9
 23412,256096,19650616,-9999,    9
 23412,256096,19650617,-9999,    9
 23412,256096,19650618,-9999,    9
 23412,256096,19650619,-9999,    9
 23412,256096,19650620,    0,    0
 23412,256096,19650621,    0,    0
 23412,256096,19650622,-9999,    9
 23412,256096,19650623,-9999,    9
 23412,256096,19650624,-9999,    9
 23412,256096,19650625,-9999,    9
 23412,256096,19650626,-9999,    9
 23412,256096,19650627,-9999,    9
 23412,256096,19650628,-9999,    9
 23412,256096,19650629,-9999,    9
 23412,256096,19650630,-9999,    9
 23412,256096,19650701,-9999,    9
 23412,256096,19650702,-9999,    9
 23412,256096,19650703,-9999,    9
 23412,256096,19650704,    0,    0
 23412,256096,19650705,-9999,    9
 23412,256096,19650706,-9999,    9
 23412,256096,19650707,-9999,    9
 23412,256096,19650708,-9999,    9
 23412,256096,19650709,-9999,    9
 23412,256096,19650710,-9999,    9
 23412,256096,19650711,-9999,    9
 23412,256096,19650712,-9999,    9
 23412,256096,19650713,-9999,    9
 23412,256096,19650714,-9999,    9
 23412,256096,19650715,-9999,    9
 23412,256096,19650716,-9999,    9
 23412,256096,19650717,-9999,    9
 23412,256096,19650718,-9999,    9
 23412,256096,19650719,-9999,    9
 23412,256096,19650720,-9999,    9
 23412,256096,19650721,-9999,    9
 23412,256096,19650722,-9999,    9
 23412,256096,19650723,-9999,    9
 23412,256096,19650724,-9999,    9
 23412,256096,19650725,-9999,    9
 23412,256096,19650726,-9999,    9
 23412,256096,19650727,-9999,    9
 23412,256096,19650728,-9999,    9
 23412,256096,19650729,-9999,    9
 23412,256096,19650730,-9999,    9
 23412,256096,19650731,-9999,    9
 23412,256096,19650801,-9999,    9
 23412,256096,19650802,-9999,    9
 23412,256096,19650803,-9999,    9
 23412,256096,19650804,-9999,    9
 23412,256096,19650805,-9999,    9
 23412,256096,19650806,-9999,    9
 23412,256096,19650807,    0,    0
 23412,256096,19650808,-9999,    9
 23412,256096,19650809,-9999,    9
 23412,256096,19650810,-9999,    9
 23412,256096,19650811,    0,    0
 23412,256096,19650812,-9999,    9
 23412,256096,19650813,-9999,    9
 23412,256096,19650814,-9999,    9
 23412,256096,19650815,    0,    0
 23412,256096,19650816,-9999,    9
 23412,256096,19650817,-9999,    9
 23412,256096,19650818,-9999,    9
 23412,256096,19650819,-9999,    9
 23412,256096,19650820,-9999,    9
 23412,256096,19650821,-9999,    9
 23412,256096,19650822,-9999,    9
 23412,256096,19650823,-9999,    9
 23412,256096,19650824,-9999,    9
 23412,256096,19650825,-9999,    9
 23412,256096,19650826,-9999,    9
 23412,256096,19650827,-9999,    9
 23412,256096,19650828,-9999,    9
 23412,256096,19650829,-9999,    9
 23412,256096,19650830,-9999,    9
 23412,256096,19650831,-9999,    9
 23412,256096,19650901,-9999,    9
 23412,256096,19650902,    0,    0
 23412,256096,19650903,-9999,    9
 23412,256096,19650904,-9999,    9
 23412,256096,19650905,-9999,    9
 23412,256096,19650906,-9999,    9
 23412,256096,19650907,    0,    0
 23412,256096,19650908,    0,    0
 23412,256096,19650909,-9999,    9
 23412,256096,19650910,    0,    0
 23412,256096,19650911,-9999,    9
 23412,256096,19650912,-9999,    9
 23412,256096,19650913,-9999,    9
 23412,256096,19650914,-9999,    9
 23412,256096,19650915,-9999,    9
 23412,256096,19650916,-9999,    9
 23412,256096,19650917,-9999,    9
 23412,256096,19650918,-9999,    9
 23412,256096,19650919,-9999,    9
 23412,256096,19650920,-9999,    9
 23412,256096,19650921,    0,    0
