EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 256110) of station GOLCUK/DUMLUPINAR, TÃœRKIYE (STAID:  23414)

 STAID,    SOUID,    DATE,   RR, Q_RR
 23414,256110,19630101,-9999,    9
 23414,256110,19630102,-9999,    9
 23414,256110,19630103,-9999,    9
 23414,256110,19630104,-9999,    9
 23414,256110,19630105,-9999,    9
 23414,256110,19630106,-9999,    9
 23414,256110,19630107,-9999,    9
 23414,256110,19630108,-9999,    9
 23414,256110,19630109,-9999,    9
 23414,256110,19630110,-9999,    9
 23414,256110,19630111,  140,    0
 23414,256110,19630112,-9999,    9
 23414,256110,19630113,-9999,    9
 23414,256110,19630114,-9999,    9
 23414,256110,19630115,-9999,    9
 23414,256110,19630116,-9999,    9
 23414,256110,19630117,    0,    0
 23414,256110,19630118,-9999,    9
 23414,256110,19630119,-9999,    9
 23414,256110,19630120,-9999,    9
 23414,256110,19630121,-9999,    9
 23414,256110,19630122,    3,    0
 23414,256110,19630123,    3,    0
 23414,256110,19630124,    5,    0
 23414,256110,19630125,   71,    0
 23414,256110,19630126,    0,    0
 23414,256110,19630127,   53,    0
 23414,256110,19630128,    0,    0
 23414,256110,19630129,   51,    0
 23414,256110,19630130,    0,    0
 23414,256110,19630131,    0,    0
 23414,256110,19630201,    3,    0
 23414,256110,19630202,    0,    0
 23414,256110,19630203,    0,    0
 23414,256110,19630204,    0,    0
 23414,256110,19630205,    0,    0
 23414,256110,19630206,    0,    0
 23414,256110,19630207,    0,    0
 23414,256110,19630208,    0,    0
 23414,256110,19630209,  150,    0
 23414,256110,19630210,    3,    0
 23414,256110,19630211,   30,    0
 23414,256110,19630212,   10,    0
 23414,256110,19630213,   71,    0
 23414,256110,19630214,   51,    0
 23414,256110,19630215,   89,    0
 23414,256110,19630216,   20,    0
 23414,256110,19630217,    3,    0
 23414,256110,19630218,    0,    0
 23414,256110,19630219,   30,    0
 23414,256110,19630220,-9999,    9
 23414,256110,19630221,   61,    0
 23414,256110,19630222,    0,    0
 23414,256110,19630223,   79,    0
 23414,256110,19630224,   30,    0
 23414,256110,19630225,   46,    0
 23414,256110,19630226,    0,    0
 23414,256110,19630227,   10,    0
 23414,256110,19630228,    5,    0
 23414,256110,19630301,   41,    0
 23414,256110,19630302,  216,    0
 23414,256110,19630303,    3,    0
 23414,256110,19630304,    0,    0
 23414,256110,19630305,   61,    0
 23414,256110,19630306,    3,    0
 23414,256110,19630307,    0,    0
 23414,256110,19630308,    0,    0
 23414,256110,19630309,    0,    0
 23414,256110,19630310,    0,    0
 23414,256110,19630311,  201,    0
 23414,256110,19630312,    0,    0
 23414,256110,19630313,    0,    0
 23414,256110,19630314,   79,    0
 23414,256110,19630315,   46,    0
 23414,256110,19630316,    0,    0
 23414,256110,19630317,-9999,    9
 23414,256110,19630318,    0,    0
 23414,256110,19630319,    0,    0
 23414,256110,19630320,    0,    0
 23414,256110,19630321,    0,    0
 23414,256110,19630322,    0,    0
 23414,256110,19630323,-9999,    9
 23414,256110,19630324,  191,    0
 23414,256110,19630325,   20,    0
