EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 256250) of station GOKCEADA, TÃœRKIYE (STAID:  23430)

 STAID,    SOUID,    DATE,   RR, Q_RR
 23430,256250,19730101,    0,    0
 23430,256250,19730102,    0,    0
 23430,256250,19730103,-9999,    9
 23430,256250,19730104,-9999,    9
 23430,256250,19730105,   41,    0
 23430,256250,19730106,   13,    0
 23430,256250,19730107,    0,    0
 23430,256250,19730108,    0,    0
 23430,256250,19730109,    0,    0
 23430,256250,19730110,    0,    0
 23430,256250,19730111,    0,    0
 23430,256250,19730112,    0,    0
 23430,256250,19730113,    0,    0
 23430,256250,19730114,   10,    0
 23430,256250,19730115,    0,    0
 23430,256250,19730116,    0,    0
 23430,256250,19730117,  191,    0
 23430,256250,19730118,   20,    0
 23430,256250,19730119,    0,    0
 23430,256250,19730120,  170,    0
 23430,256250,19730121,   23,    0
 23430,256250,19730122,    0,    0
 23430,256250,19730123,    0,    0
 23430,256250,19730124,    0,    0
 23430,256250,19730125,    3,    0
 23430,256250,19730126,   10,    0
 23430,256250,19730127,    0,    0
 23430,256250,19730128,  150,    0
 23430,256250,19730129,  671,    0
 23430,256250,19730130,-9999,    9
 23430,256250,19730131,    3,    0
 23430,256250,19730201,    0,    0
 23430,256250,19730202,    0,    0
 23430,256250,19730203,    0,    0
 23430,256250,19730204,    0,    0
 23430,256250,19730205,    0,    0
 23430,256250,19730206,    0,    0
 23430,256250,19730207,    0,    0
 23430,256250,19730208,    0,    0
 23430,256250,19730209,    0,    0
 23430,256250,19730210,    0,    0
 23430,256250,19730211,    0,    0
 23430,256250,19730212,  102,    0
 23430,256250,19730213,    5,    0
 23430,256250,19730214,    0,    0
 23430,256250,19730215,    0,    0
 23430,256250,19730216,    0,    0
 23430,256250,19730217,  531,    0
 23430,256250,19730218,   30,    0
 23430,256250,19730219,    0,    0
 23430,256250,19730220,   30,    0
 23430,256250,19730221,   10,    0
 23430,256250,19730222,    0,    0
 23430,256250,19730223,    3,    0
 23430,256250,19730224,-9999,    9
 23430,256250,19730225,  160,    0
 23430,256250,19730226,  180,    0
 23430,256250,19730227,   99,    0
 23430,256250,19730228,    0,    0
 23430,256250,19730301,    0,    0
 23430,256250,19730302,   71,    0
 23430,256250,19730303,    0,    0
 23430,256250,19730304,    0,    0
 23430,256250,19730305,   20,    0
 23430,256250,19730306,   30,    0
 23430,256250,19730307,    0,    0
 23430,256250,19730308,    0,    0
 23430,256250,19730309,    0,    0
 23430,256250,19730310,   41,    0
 23430,256250,19730311,   51,    0
 23430,256250,19730312,  119,    0
 23430,256250,19730313,    0,    0
 23430,256250,19730314,   30,    0
 23430,256250,19730315,    0,    0
 23430,256250,19730316,  119,    0
 23430,256250,19730317,    0,    0
 23430,256250,19730318,  140,    0
 23430,256250,19730319,   30,    0
 23430,256250,19730320,    5,    0
 23430,256250,19730321,    0,    0
 23430,256250,19730322,    0,    0
 23430,256250,19730323,    0,    0
 23430,256250,19730324,    0,    0
 23430,256250,19730325,    0,    0
 23430,256250,19730326,    0,    0
 23430,256250,19730327,    0,    0
 23430,256250,19730328,    0,    0
 23430,256250,19730329,   41,    0
 23430,256250,19730330,    0,    0
 23430,256250,19730331,    0,    0
 23430,256250,19730401,    0,    0
 23430,256250,19730402,    0,    0
 23430,256250,19730403,    0,    0
 23430,256250,19730404,    0,    0
 23430,256250,19730405,   30,    0
 23430,256250,19730406,   20,    0
 23430,256250,19730407,   36,    0
 23430,256250,19730408,    0,    0
 23430,256250,19730409,    0,    0
