EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 256257) of station Canakkale, TÃœRKIYE (STAID:   2245)

 STAID,    SOUID,    DATE,   RR, Q_RR
  2245,256257,19630101,-9999,    9
  2245,256257,19630102,-9999,    9
  2245,256257,19630103,-9999,    9
  2245,256257,19630104,-9999,    9
  2245,256257,19630105,    0,    0
  2245,256257,19630106,-9999,    9
  2245,256257,19630107,-9999,    9
  2245,256257,19630108,-9999,    9
  2245,256257,19630109,-9999,    9
  2245,256257,19630110,-9999,    9
  2245,256257,19630111,    0,    0
  2245,256257,19630112,-9999,    9
  2245,256257,19630113,-9999,    9
  2245,256257,19630114,-9999,    9
  2245,256257,19630115,-9999,    9
  2245,256257,19630116,-9999,    9
  2245,256257,19630117,    0,    0
  2245,256257,19630118,-9999,    9
  2245,256257,19630119,-9999,    9
  2245,256257,19630120,-9999,    9
  2245,256257,19630121,-9999,    9
  2245,256257,19630122,    0,    0
  2245,256257,19630123,    0,    0
  2245,256257,19630124,   10,    0
  2245,256257,19630125,    3,    0
  2245,256257,19630126,    0,    0
  2245,256257,19630127,    0,    0
  2245,256257,19630128,    0,    0
  2245,256257,19630129,   61,    0
  2245,256257,19630130,   51,    0
  2245,256257,19630131,   79,    0
  2245,256257,19630201,    0,    0
  2245,256257,19630202,   41,    0
  2245,256257,19630203,    0,    0
  2245,256257,19630204,   41,    0
  2245,256257,19630205,   61,    0
  2245,256257,19630206,    0,    0
  2245,256257,19630207,   51,    0
  2245,256257,19630208,   51,    0
  2245,256257,19630209,    3,    0
  2245,256257,19630210,    0,    0
  2245,256257,19630211,    0,    0
  2245,256257,19630212,   20,    0
  2245,256257,19630213,    5,    0
  2245,256257,19630214,   61,    0
  2245,256257,19630215,  180,    0
  2245,256257,19630216,   99,    0
  2245,256257,19630217,    0,    0
  2245,256257,19630218,    0,    0
  2245,256257,19630219,    0,    0
  2245,256257,19630220,   79,    0
  2245,256257,19630221,    0,    0
  2245,256257,19630222,    0,    0
  2245,256257,19630223,   51,    0
  2245,256257,19630224,    5,    0
  2245,256257,19630225,    0,    0
  2245,256257,19630226,    0,    0
  2245,256257,19630227,    0,    0
  2245,256257,19630228,   10,    0
  2245,256257,19630301,    5,    0
  2245,256257,19630302,    0,    0
  2245,256257,19630303,    0,    0
  2245,256257,19630304,    0,    0
  2245,256257,19630305,    0,    0
  2245,256257,19630306,    0,    0
  2245,256257,19630307,    0,    0
  2245,256257,19630308,    0,    0
  2245,256257,19630309,    0,    0
  2245,256257,19630310,    0,    0
  2245,256257,19630311,  119,    0
  2245,256257,19630312,  109,    0
  2245,256257,19630313,    0,    0
  2245,256257,19630314,   61,    0
  2245,256257,19630315,    0,    0
  2245,256257,19630316,    0,    0
  2245,256257,19630317,-9999,    9
  2245,256257,19630318,    0,    0
