EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 256264) of station Bandirma, TÃœRKIYE (STAID:   2246)

 STAID,    SOUID,    DATE,   RR, Q_RR
  2246,256264,19500101,-9999,    9
  2246,256264,19500102,    0,    0
  2246,256264,19500103,    0,    0
  2246,256264,19500104,-9999,    9
  2246,256264,19500105,    0,    0
  2246,256264,19500106,    0,    0
  2246,256264,19500107,    0,    0
  2246,256264,19500108,-9999,    9
  2246,256264,19500109,    0,    0
  2246,256264,19500110,    0,    0
  2246,256264,19500111,-9999,    9
  2246,256264,19500112,-9999,    9
  2246,256264,19500113,    0,    0
  2246,256264,19500114,-9999,    9
  2246,256264,19500115,-9999,    9
  2246,256264,19500116,    0,    0
  2246,256264,19500117,    0,    0
  2246,256264,19500118,    0,    0
  2246,256264,19500119,-9999,    9
  2246,256264,19500120,-9999,    9
  2246,256264,19500121,-9999,    9
  2246,256264,19500122,-9999,    9
  2246,256264,19500123,-9999,    9
  2246,256264,19500124,-9999,    9
  2246,256264,19500125,-9999,    9
  2246,256264,19500126,-9999,    9
  2246,256264,19500127,    0,    0
  2246,256264,19500128,    0,    0
  2246,256264,19500129,-9999,    9
  2246,256264,19500130,-9999,    9
  2246,256264,19500131,-9999,    9
  2246,256264,19500201,    0,    0
  2246,256264,19500202,-9999,    9
  2246,256264,19500203,-9999,    9
  2246,256264,19500204,    0,    0
  2246,256264,19500205,-9999,    9
  2246,256264,19500206,-9999,    9
  2246,256264,19500207,    0,    0
  2246,256264,19500208,-9999,    9
  2246,256264,19500209,-9999,    9
  2246,256264,19500210,-9999,    9
  2246,256264,19500211,    0,    0
  2246,256264,19500212,    0,    0
  2246,256264,19500213,-9999,    9
  2246,256264,19500214,    0,    0
  2246,256264,19500215,    0,    0
  2246,256264,19500216,-9999,    9
  2246,256264,19500217,    0,    0
  2246,256264,19500218,    0,    0
  2246,256264,19500219,    0,    0
  2246,256264,19500220,    0,    0
  2246,256264,19500221,    0,    0
  2246,256264,19500222,-9999,    9
  2246,256264,19500223,-9999,    9
  2246,256264,19500224,    0,    0
  2246,256264,19500225,    0,    0
  2246,256264,19500226,    0,    0
  2246,256264,19500227,    0,    0
  2246,256264,19500228,    0,    0
  2246,256264,19500301,-9999,    9
  2246,256264,19500302,-9999,    9
  2246,256264,19500303,-9999,    9
  2246,256264,19500304,-9999,    9
  2246,256264,19500305,-9999,    9
  2246,256264,19500306,-9999,    9
  2246,256264,19500307,    0,    0
  2246,256264,19500308,    0,    0
  2246,256264,19500309,    0,    0
  2246,256264,19500310,    0,    0
  2246,256264,19500311,-9999,    9
  2246,256264,19500312,-9999,    9
  2246,256264,19500313,-9999,    9
  2246,256264,19500314,-9999,    9
  2246,256264,19500315,    0,    0
  2246,256264,19500316,-9999,    9
  2246,256264,19500317,-9999,    9
  2246,256264,19500318,    0,    0
  2246,256264,19500319,-9999,    9
  2246,256264,19500320,    0,    0
  2246,256264,19500321,-9999,    9
  2246,256264,19500322,    0,    0
  2246,256264,19500323,    0,    0
  2246,256264,19500324,    0,    0
  2246,256264,19500325,-9999,    9
  2246,256264,19500326,-9999,    9
  2246,256264,19500327,    0,    0
  2246,256264,19500328,-9999,    9
  2246,256264,19500329,    0,    0
  2246,256264,19500330,    0,    0
  2246,256264,19500331,    0,    0
  2246,256264,19500401,    0,    0
  2246,256264,19500402,    0,    0
  2246,256264,19500403,    0,    0
  2246,256264,19500404,-9999,    9
  2246,256264,19500405,-9999,    9
  2246,256264,19500406,-9999,    9
  2246,256264,19500407,    0,    0
  2246,256264,19500408,-9999,    9
  2246,256264,19500409,    0,    0
  2246,256264,19500410,    0,    0
  2246,256264,19500411,    0,    0
  2246,256264,19500412,    0,    0
  2246,256264,19500413,    0,    0
  2246,256264,19500414,    0,    0
