EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 256271) of station Bursa, TÃœRKIYE (STAID:   2247)

 STAID,    SOUID,    DATE,   RR, Q_RR
  2247,256271,19730101,    0,    0
  2247,256271,19730102,    0,    0
  2247,256271,19730103,    0,    0
  2247,256271,19730104,    0,    0
  2247,256271,19730105,    0,    0
  2247,256271,19730106,    0,    0
  2247,256271,19730107,    0,    0
  2247,256271,19730108,    0,    0
  2247,256271,19730109,    0,    0
  2247,256271,19730110,    0,    0
  2247,256271,19730111,    0,    0
  2247,256271,19730112,   71,    0
  2247,256271,19730113,   51,    0
  2247,256271,19730114,   41,    0
  2247,256271,19730115,    0,    0
  2247,256271,19730116,    0,    0
  2247,256271,19730117,   10,    0
  2247,256271,19730118,  201,    0
  2247,256271,19730119,    0,    0
  2247,256271,19730120,    3,    0
  2247,256271,19730121,    0,    0
  2247,256271,19730122,   10,    0
  2247,256271,19730123,    0,    0
  2247,256271,19730124,    0,    0
  2247,256271,19730125,    0,    0
  2247,256271,19730126,    0,    0
  2247,256271,19730127,    5,    0
  2247,256271,19730128,    5,    0
  2247,256271,19730129,    0,    0
  2247,256271,19730130,   30,    0
  2247,256271,19730131,   61,    0
  2247,256271,19730201,    0,    0
  2247,256271,19730202,    5,    0
  2247,256271,19730203,    0,    0
  2247,256271,19730204,    0,    0
  2247,256271,19730205,    0,    0
  2247,256271,19730206,    0,    0
  2247,256271,19730207,    0,    0
  2247,256271,19730208,    0,    0
  2247,256271,19730209,    0,    0
  2247,256271,19730210,    0,    0
  2247,256271,19730211,    0,    0
  2247,256271,19730212,    0,    0
  2247,256271,19730213,    0,    0
  2247,256271,19730214,    0,    0
  2247,256271,19730215,    0,    0
  2247,256271,19730216,   20,    0
  2247,256271,19730217,    5,    0
  2247,256271,19730218,  300,    0
  2247,256271,19730219,    0,    0
  2247,256271,19730220,    0,    0
  2247,256271,19730221,   30,    0
  2247,256271,19730222,    5,    0
  2247,256271,19730223,    0,    0
  2247,256271,19730224,  160,    0
