EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 256369) of station Balikesir, TÃœRKIYE (STAID:   2249)

 STAID,    SOUID,    DATE,   RR, Q_RR
  2249,256369,19500101,-9999,    9
  2249,256369,19500102,    0,    0
  2249,256369,19500103,    0,    0
  2249,256369,19500104,-9999,    9
  2249,256369,19500105,    0,    0
  2249,256369,19500106,    0,    0
  2249,256369,19500107,    0,    0
  2249,256369,19500108,-9999,    9
  2249,256369,19500109,    0,    0
  2249,256369,19500110,    0,    0
  2249,256369,19500111,    0,    0
  2249,256369,19500112,-9999,    9
  2249,256369,19500113,-9999,    9
  2249,256369,19500114,    0,    0
  2249,256369,19500115,-9999,    9
  2249,256369,19500116,    0,    0
  2249,256369,19500117,-9999,    9
  2249,256369,19500118,-9999,    9
  2249,256369,19500119,    0,    0
  2249,256369,19500120,    0,    0
  2249,256369,19500121,-9999,    9
  2249,256369,19500122,-9999,    9
  2249,256369,19500123,-9999,    9
  2249,256369,19500124,-9999,    9
  2249,256369,19500125,-9999,    9
  2249,256369,19500126,-9999,    9
  2249,256369,19500127,-9999,    9
  2249,256369,19500128,    0,    0
  2249,256369,19500129,-9999,    9
  2249,256369,19500130,-9999,    9
  2249,256369,19500131,-9999,    9
  2249,256369,19500201,    0,    0
  2249,256369,19500202,    0,    0
  2249,256369,19500203,-9999,    9
  2249,256369,19500204,    0,    0
  2249,256369,19500205,-9999,    9
  2249,256369,19500206,    0,    0
  2249,256369,19500207,    0,    0
  2249,256369,19500208,    0,    0
  2249,256369,19500209,    0,    0
  2249,256369,19500210,    0,    0
  2249,256369,19500211,    0,    0
  2249,256369,19500212,    0,    0
  2249,256369,19500213,    0,    0
  2249,256369,19500214,    0,    0
  2249,256369,19500215,    0,    0
  2249,256369,19500216,    0,    0
  2249,256369,19500217,    0,    0
  2249,256369,19500218,    0,    0
  2249,256369,19500219,    0,    0
  2249,256369,19500220,    0,    0
  2249,256369,19500221,    0,    0
  2249,256369,19500222,-9999,    9
  2249,256369,19500223,-9999,    9
  2249,256369,19500224,    0,    0
  2249,256369,19500225,    0,    0
  2249,256369,19500226,    0,    0
  2249,256369,19500227,    0,    0
  2249,256369,19500228,    0,    0
  2249,256369,19500301,-9999,    9
  2249,256369,19500302,    0,    0
  2249,256369,19500303,    0,    0
  2249,256369,19500304,    0,    0
  2249,256369,19500305,-9999,    9
  2249,256369,19500306,-9999,    9
  2249,256369,19500307,    0,    0
  2249,256369,19500308,    0,    0
  2249,256369,19500309,    0,    0
  2249,256369,19500310,    0,    0
  2249,256369,19500311,    0,    0
  2249,256369,19500312,-9999,    9
  2249,256369,19500313,-9999,    9
  2249,256369,19500314,    0,    0
  2249,256369,19500315,    0,    0
  2249,256369,19500316,    0,    0
  2249,256369,19500317,    0,    0
  2249,256369,19500318,    0,    0
  2249,256369,19500319,    0,    0
  2249,256369,19500320,    0,    0
  2249,256369,19500321,    0,    0
