EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 256411) of station DIKILI, TÃœRKIYE (STAID:  23444)

 STAID,    SOUID,    DATE,   RR, Q_RR
 23444,256411,19730101,    0,    0
 23444,256411,19730102,    0,    0
 23444,256411,19730103,    0,    0
 23444,256411,19730104,    0,    0
 23444,256411,19730105,   51,    0
 23444,256411,19730106,    0,    0
 23444,256411,19730107,    0,    0
 23444,256411,19730108,    0,    0
 23444,256411,19730109,    0,    0
 23444,256411,19730110,    0,    0
 23444,256411,19730111,    0,    0
 23444,256411,19730112,    0,    0
 23444,256411,19730113,    0,    0
 23444,256411,19730114,    0,    0
 23444,256411,19730115,    0,    0
 23444,256411,19730116,    0,    0
 23444,256411,19730117,    3,    0
 23444,256411,19730118,  259,    0
 23444,256411,19730119,    0,    0
 23444,256411,19730120,   10,    0
 23444,256411,19730121,    5,    0
 23444,256411,19730122,   20,    0
 23444,256411,19730123,    0,    0
 23444,256411,19730124,    0,    0
 23444,256411,19730125,    0,    0
 23444,256411,19730126,    5,    0
 23444,256411,19730127,   61,    0
 23444,256411,19730128,   51,    0
 23444,256411,19730129,  279,    0
 23444,256411,19730130,  470,    0
 23444,256411,19730131,   41,    0
 23444,256411,19730201,    0,    0
 23444,256411,19730202,    0,    0
 23444,256411,19730203,    0,    0
 23444,256411,19730204,    0,    0
 23444,256411,19730205,    0,    0
 23444,256411,19730206,    0,    0
 23444,256411,19730207,    0,    0
 23444,256411,19730208,    0,    0
 23444,256411,19730209,    0,    0
 23444,256411,19730210,    0,    0
 23444,256411,19730211,    0,    0
 23444,256411,19730212,   79,    0
 23444,256411,19730213,  599,    0
 23444,256411,19730214,   30,    0
 23444,256411,19730215,    0,    0
 23444,256411,19730216,   20,    0
 23444,256411,19730217,  191,    0
 23444,256411,19730218,  109,    0
 23444,256411,19730219,   20,    0
 23444,256411,19730220,    0,    0
 23444,256411,19730221,    0,    0
 23444,256411,19730222,    0,    0
 23444,256411,19730223,    3,    0
 23444,256411,19730224,  191,    0
 23444,256411,19730225,  140,    0
 23444,256411,19730226,  279,    0
 23444,256411,19730227,  211,    0
 23444,256411,19730228,    3,    0
 23444,256411,19730301,    0,    0
 23444,256411,19730302,    0,    0
 23444,256411,19730303,    0,    0
 23444,256411,19730304,    0,    0
 23444,256411,19730305,    0,    0
 23444,256411,19730306,    3,    0
 23444,256411,19730307,    0,    0
 23444,256411,19730308,    0,    0
 23444,256411,19730309,    0,    0
 23444,256411,19730310,  620,    0
 23444,256411,19730311,  361,    0
 23444,256411,19730312,   51,    0
 23444,256411,19730313,    0,    0
 23444,256411,19730314,   79,    0
 23444,256411,19730315,    0,    0
 23444,256411,19730316,   41,    0
 23444,256411,19730317,    0,    0
 23444,256411,19730318,    0,    0
 23444,256411,19730319,  170,    0
 23444,256411,19730320,    0,    0
 23444,256411,19730321,    0,    0
 23444,256411,19730322,    0,    0
 23444,256411,19730323,    0,    0
 23444,256411,19730324,    0,    0
 23444,256411,19730325,    5,    0
 23444,256411,19730326,    3,    0
 23444,256411,19730327,    0,    0
 23444,256411,19730328,    0,    0
 23444,256411,19730329,   10,    0
 23444,256411,19730330,    0,    0
 23444,256411,19730331,    0,    0
 23444,256411,19730401,   10,    0
 23444,256411,19730402,    0,    0
 23444,256411,19730403,    0,    0
 23444,256411,19730404,    0,    0
 23444,256411,19730405,   79,    0
 23444,256411,19730406,-9999,    9
 23444,256411,19730407,-9999,    9
 23444,256411,19730408,    0,    0
 23444,256411,19730409,    0,    0
 23444,256411,19730410,    0,    0
 23444,256411,19730411,    0,    0
 23444,256411,19730412,   10,    0
 23444,256411,19730413,   51,    0
 23444,256411,19730414,    0,    0
 23444,256411,19730415,    0,    0
 23444,256411,19730416,   79,    0
 23444,256411,19730417,   10,    0
 23444,256411,19730418,    3,    0
 23444,256411,19730419,    0,    0
 23444,256411,19730420,    0,    0
 23444,256411,19730421,    0,    0
 23444,256411,19730422,    0,    0
 23444,256411,19730423,    0,    0
 23444,256411,19730424,    0,    0
 23444,256411,19730425,    0,    0
 23444,256411,19730426,    0,    0
 23444,256411,19730427,   13,    0
 23444,256411,19730428,    0,    0
 23444,256411,19730429,    0,    0
 23444,256411,19730430,    0,    0
 23444,256411,19730501,    0,    0
 23444,256411,19730502,    0,    0
 23444,256411,19730503,    0,    0
 23444,256411,19730504,    0,    0
 23444,256411,19730505,    0,    0
 23444,256411,19730506,    0,    0
 23444,256411,19730507,    0,    0
 23444,256411,19730508,    0,    0
 23444,256411,19730509,    0,    0
 23444,256411,19730510,    0,    0
 23444,256411,19730511,    0,    0
 23444,256411,19730512,    0,    0
 23444,256411,19730513,    0,    0
 23444,256411,19730514,    0,    0
 23444,256411,19730515,    0,    0
 23444,256411,19730516,    0,    0
 23444,256411,19730517,   79,    0
 23444,256411,19730518,    0,    0
 23444,256411,19730519,    0,    0
 23444,256411,19730520,    0,    0
 23444,256411,19730521,    0,    0
 23444,256411,19730522,    0,    0
 23444,256411,19730523,    0,    0
 23444,256411,19730524,    0,    0
 23444,256411,19730525,    0,    0
 23444,256411,19730526,    0,    0
 23444,256411,19730527,    0,    0
 23444,256411,19730528,    0,    0
 23444,256411,19730529,    0,    0
 23444,256411,19730530,    0,    0
 23444,256411,19730531,    0,    0
 23444,256411,19730601,    0,    0
 23444,256411,19730602,    0,    0
 23444,256411,19730603,    0,    0
 23444,256411,19730604,    0,    0
 23444,256411,19730605,    0,    0
 23444,256411,19730606,    0,    0
 23444,256411,19730607,    0,    0
 23444,256411,19730608,    0,    0
 23444,256411,19730609,    0,    0
 23444,256411,19730610,    0,    0
 23444,256411,19730611,    0,    0
 23444,256411,19730612,    0,    0
 23444,256411,19730613,    0,    0
 23444,256411,19730614,    0,    0
 23444,256411,19730615,    0,    0
 23444,256411,19730616,    0,    0
 23444,256411,19730617,    0,    0
 23444,256411,19730618,    0,    0
 23444,256411,19730619,    3,    0
 23444,256411,19730620,    3,    0
 23444,256411,19730621,    0,    0
 23444,256411,19730622,    0,    0
 23444,256411,19730623,    0,    0
 23444,256411,19730624,    0,    0
 23444,256411,19730625,    0,    0
 23444,256411,19730626,    0,    0
 23444,256411,19730627,    0,    0
 23444,256411,19730628,    0,    0
 23444,256411,19730629,    0,    0
 23444,256411,19730630,    0,    0
 23444,256411,19730701,    0,    0
 23444,256411,19730702,    0,    0
 23444,256411,19730703,    0,    0
 23444,256411,19730704,    0,    0
 23444,256411,19730705,    0,    0
 23444,256411,19730706,    0,    0
 23444,256411,19730707,    0,    0
 23444,256411,19730708,    0,    0
 23444,256411,19730709,    0,    0
 23444,256411,19730710,    0,    0
 23444,256411,19730711,   20,    0
 23444,256411,19730712,    0,    0
 23444,256411,19730713,    0,    0
 23444,256411,19730714,    0,    0
 23444,256411,19730715,    0,    0
 23444,256411,19730716,    0,    0
 23444,256411,19730717,    0,    0
 23444,256411,19730718,    0,    0
 23444,256411,19730719,    0,    0
 23444,256411,19730720,    0,    0
 23444,256411,19730721,    0,    0
 23444,256411,19730722,    0,    0
 23444,256411,19730723,    0,    0
 23444,256411,19730724,    0,    0
 23444,256411,19730725,    0,    0
 23444,256411,19730726,    0,    0
 23444,256411,19730727,    0,    0
 23444,256411,19730728,    0,    0
 23444,256411,19730729,    0,    0
 23444,256411,19730730,    0,    0
 23444,256411,19730731,    0,    0
 23444,256411,19730801,    0,    0
 23444,256411,19730802,    0,    0
 23444,256411,19730803,    0,    0
 23444,256411,19730804,    0,    0
 23444,256411,19730805,    0,    0
 23444,256411,19730806,    0,    0
 23444,256411,19730807,    0,    0
 23444,256411,19730808,    0,    0
 23444,256411,19730809,    0,    0
 23444,256411,19730810,    0,    0
 23444,256411,19730811,    0,    0
 23444,256411,19730812,    0,    0
 23444,256411,19730813,    0,    0
 23444,256411,19730814,    0,    0
 23444,256411,19730815,    0,    0
 23444,256411,19730816,    0,    0
 23444,256411,19730817,    0,    0
 23444,256411,19730818,    0,    0
 23444,256411,19730819,    0,    0
 23444,256411,19730820,    0,    0
 23444,256411,19730821,    0,    0
 23444,256411,19730822,    0,    0
 23444,256411,19730823,    0,    0
 23444,256411,19730824,    0,    0
 23444,256411,19730825,    0,    0
 23444,256411,19730826,    0,    0
 23444,256411,19730827,    0,    0
 23444,256411,19730828,    0,    0
 23444,256411,19730829,    0,    0
 23444,256411,19730830,    0,    0
 23444,256411,19730831,    0,    0
 23444,256411,19730901,    0,    0
 23444,256411,19730902,    0,    0
 23444,256411,19730903,    0,    0
 23444,256411,19730904,    0,    0
 23444,256411,19730905,    0,    0
 23444,256411,19730906,    0,    0
 23444,256411,19730907,    0,    0
 23444,256411,19730908,    0,    0
 23444,256411,19730909,    0,    0
 23444,256411,19730910,    0,    0
 23444,256411,19730911,    0,    0
 23444,256411,19730912,    0,    0
 23444,256411,19730913,    0,    0
 23444,256411,19730914,    0,    0
 23444,256411,19730915,    0,    0
 23444,256411,19730916,    0,    0
 23444,256411,19730917,    0,    0
 23444,256411,19730918,    0,    0
 23444,256411,19730919,    0,    0
