EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 256432) of station USAK , TÃœRKIYE (STAID:  23447)

 STAID,    SOUID,    DATE,   RR, Q_RR
 23447,256432,19630101,-9999,    9
 23447,256432,19630102,-9999,    9
 23447,256432,19630103,-9999,    9
 23447,256432,19630104,-9999,    9
 23447,256432,19630105,-9999,    9
 23447,256432,19630106,-9999,    9
 23447,256432,19630107,-9999,    9
 23447,256432,19630108,-9999,    9
 23447,256432,19630109,-9999,    9
 23447,256432,19630110,-9999,    9
 23447,256432,19630111,-9999,    9
 23447,256432,19630112,-9999,    9
 23447,256432,19630113,-9999,    9
 23447,256432,19630114,-9999,    9
 23447,256432,19630115,-9999,    9
 23447,256432,19630116,-9999,    9
 23447,256432,19630117,    0,    0
 23447,256432,19630118,    0,    0
 23447,256432,19630119,-9999,    9
 23447,256432,19630120,    0,    0
 23447,256432,19630121,   61,    0
 23447,256432,19630122,   20,    0
 23447,256432,19630123,  180,    0
 23447,256432,19630124,    0,    0
 23447,256432,19630125,    0,    0
 23447,256432,19630126,    0,    0
 23447,256432,19630127,    0,    0
 23447,256432,19630128,    0,    0
 23447,256432,19630129,   30,    0
 23447,256432,19630130,   56,    0
 23447,256432,19630131,   30,    0
 23447,256432,19630201,    0,    0
 23447,256432,19630202,    0,    0
 23447,256432,19630203,    0,    0
 23447,256432,19630204,   23,    0
 23447,256432,19630205,    0,    0
 23447,256432,19630206,    0,    0
 23447,256432,19630207,   79,    0
 23447,256432,19630208,   20,    0
 23447,256432,19630209,   20,    0
 23447,256432,19630210,    5,    0
 23447,256432,19630211,    5,    0
 23447,256432,19630212,    3,    0
 23447,256432,19630213,   13,    0
 23447,256432,19630214,    0,    0
 23447,256432,19630215,  249,    0
 23447,256432,19630216,   33,    0
 23447,256432,19630217,   20,    0
 23447,256432,19630218,    0,    0
 23447,256432,19630219,   61,    0
 23447,256432,19630220,   79,    0
 23447,256432,19630221,   20,    0
 23447,256432,19630222,   30,    0
 23447,256432,19630223,   51,    0
 23447,256432,19630224,   10,    0
 23447,256432,19630225,    0,    0
 23447,256432,19630226,    0,    0
 23447,256432,19630227,    0,    0
 23447,256432,19630228,    0,    0
 23447,256432,19630301,   20,    0
 23447,256432,19630302,    0,    0
 23447,256432,19630303,   30,    0
 23447,256432,19630304,    0,    0
 23447,256432,19630305,    0,    0
 23447,256432,19630306,    0,    0
 23447,256432,19630307,    0,    0
 23447,256432,19630308,    0,    0
 23447,256432,19630309,    0,    0
 23447,256432,19630310,    0,    0
 23447,256432,19630311,   89,    0
 23447,256432,19630312,    0,    0
 23447,256432,19630313,    0,    0
 23447,256432,19630314,  130,    0
 23447,256432,19630315,   10,    0
 23447,256432,19630316,    0,    0
 23447,256432,19630317,    0,    0
 23447,256432,19630318,    0,    0
 23447,256432,19630319,    0,    0
 23447,256432,19630320,   51,    0
 23447,256432,19630321,    0,    0
 23447,256432,19630322,    0,    0
 23447,256432,19630323,    0,    0
 23447,256432,19630324,   10,    0
 23447,256432,19630325,    5,    0
 23447,256432,19630326,    0,    0
 23447,256432,19630327,    0,    0
 23447,256432,19630328,   61,    0
 23447,256432,19630329,    5,    0
 23447,256432,19630330,   20,    0
 23447,256432,19630331,   41,    0
 23447,256432,19630401,    0,    0
 23447,256432,19630402,-9999,    9
 23447,256432,19630403,    0,    0
 23447,256432,19630404,   79,    0
 23447,256432,19630405,    0,    0
 23447,256432,19630406,    0,    0
 23447,256432,19630407,    0,    0
 23447,256432,19630408,    0,    0
 23447,256432,19630409,    0,    0
 23447,256432,19630410,    0,    0
 23447,256432,19630411,    0,    0
 23447,256432,19630412,    0,    0
 23447,256432,19630413,    0,    0
 23447,256432,19630414,    0,    0
 23447,256432,19630415,    0,    0
 23447,256432,19630416,   41,    0
 23447,256432,19630417,    0,    0
 23447,256432,19630418,    0,    0
 23447,256432,19630419,    0,    0
 23447,256432,19630420,    0,    0
 23447,256432,19630421,    0,    0
 23447,256432,19630422,   89,    0
 23447,256432,19630423,  201,    0
 23447,256432,19630424,   10,    0
 23447,256432,19630425,    0,    0
 23447,256432,19630426,-9999,    9
 23447,256432,19630427,   20,    0
 23447,256432,19630428,   20,    0
 23447,256432,19630429,    0,    0
 23447,256432,19630430,    0,    0
 23447,256432,19630501,    0,    0
 23447,256432,19630502,-9999,    9
 23447,256432,19630503,    0,    0
 23447,256432,19630504,   36,    0
 23447,256432,19630505,    0,    0
 23447,256432,19630506,    0,    0
 23447,256432,19630507,    3,    0
 23447,256432,19630508,   10,    0
 23447,256432,19630509,   30,    0
 23447,256432,19630510,   10,    0
 23447,256432,19630511,    3,    0
 23447,256432,19630512,    0,    0
 23447,256432,19630513,    0,    0
 23447,256432,19630514,    0,    0
 23447,256432,19630515,  140,    0
 23447,256432,19630516,    5,    0
 23447,256432,19630517,    0,    0
 23447,256432,19630518,  180,    0
 23447,256432,19630519,   51,    0
 23447,256432,19630520,    0,    0
 23447,256432,19630521,    0,    0
 23447,256432,19630522,  119,    0
 23447,256432,19630523,   51,    0
 23447,256432,19630524,    0,    0
 23447,256432,19630525,    0,    0
