EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 256551) of station CIGLI, TÃœRKIYE (STAID:  23817)

 STAID,    SOUID,    DATE,   RR, Q_RR
 23817,256551,19500101,-9999,    9
 23817,256551,19500102,-9999,    9
 23817,256551,19500103,-9999,    9
 23817,256551,19500104,-9999,    9
 23817,256551,19500105,-9999,    9
 23817,256551,19500106,-9999,    9
 23817,256551,19500107,-9999,    9
 23817,256551,19500108,-9999,    9
 23817,256551,19500109,-9999,    9
 23817,256551,19500110,-9999,    9
 23817,256551,19500111,-9999,    9
 23817,256551,19500112,-9999,    9
 23817,256551,19500113,-9999,    9
 23817,256551,19500114,-9999,    9
 23817,256551,19500115,    0,    0
 23817,256551,19500116,    0,    0
 23817,256551,19500117,-9999,    9
 23817,256551,19500118,-9999,    9
 23817,256551,19500119,-9999,    9
 23817,256551,19500120,-9999,    9
 23817,256551,19500121,-9999,    9
 23817,256551,19500122,    0,    0
 23817,256551,19500123,    0,    0
 23817,256551,19500124,    0,    0
 23817,256551,19500125,    0,    0
 23817,256551,19500126,    0,    0
 23817,256551,19500127,    0,    0
 23817,256551,19500128,    0,    0
 23817,256551,19500129,-9999,    9
 23817,256551,19500130,-9999,    9
 23817,256551,19500131,-9999,    9
 23817,256551,19500201,    0,    0
 23817,256551,19500202,    0,    0
 23817,256551,19500203,    0,    0
 23817,256551,19500204,    0,    0
 23817,256551,19500205,    0,    0
 23817,256551,19500206,    0,    0
 23817,256551,19500207,    0,    0
 23817,256551,19500208,-9999,    9
 23817,256551,19500209,    0,    0
 23817,256551,19500210,-9999,    9
 23817,256551,19500211,    0,    0
 23817,256551,19500212,    0,    0
 23817,256551,19500213,-9999,    9
 23817,256551,19500214,    0,    0
 23817,256551,19500215,    0,    0
 23817,256551,19500216,    0,    0
 23817,256551,19500217,    0,    0
 23817,256551,19500218,    0,    0
 23817,256551,19500219,    0,    0
 23817,256551,19500220,    0,    0
 23817,256551,19500221,    0,    0
 23817,256551,19500222,    0,    0
 23817,256551,19500223,-9999,    9
 23817,256551,19500224,    0,    0
 23817,256551,19500225,    0,    0
 23817,256551,19500226,    0,    0
 23817,256551,19500227,    0,    0
 23817,256551,19500228,    0,    0
 23817,256551,19500301,-9999,    9
 23817,256551,19500302,-9999,    9
 23817,256551,19500303,-9999,    9
 23817,256551,19500304,-9999,    9
 23817,256551,19500305,-9999,    9
 23817,256551,19500306,    0,    0
 23817,256551,19500307,    0,    0
 23817,256551,19500308,    0,    0
 23817,256551,19500309,    0,    0
 23817,256551,19500310,    0,    0
 23817,256551,19500311,    0,    0
