EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 256600) of station DENIZLI, TÃœRKIYE (STAID:  23463)

 STAID,    SOUID,    DATE,   RR, Q_RR
 23463,256600,19730101,    0,    0
 23463,256600,19730102,    0,    0
 23463,256600,19730103,    0,    0
 23463,256600,19730104,    0,    0
 23463,256600,19730105,    3,    0
 23463,256600,19730106,    0,    0
 23463,256600,19730107,    0,    0
 23463,256600,19730108,    0,    0
 23463,256600,19730109,    0,    0
 23463,256600,19730110,    0,    0
 23463,256600,19730111,    0,    0
 23463,256600,19730112,    3,    0
 23463,256600,19730113,    0,    0
 23463,256600,19730114,    0,    0
 23463,256600,19730115,    0,    0
 23463,256600,19730116,    0,    0
 23463,256600,19730117,-9999,    9
 23463,256600,19730118,    0,    0
 23463,256600,19730119,-9999,    9
 23463,256600,19730120,    0,    0
 23463,256600,19730121,   20,    0
 23463,256600,19730122,   20,    0
 23463,256600,19730123,    0,    0
 23463,256600,19730124,-9999,    9
 23463,256600,19730125,    0,    0
 23463,256600,19730126,    0,    0
 23463,256600,19730127,   10,    0
 23463,256600,19730128,    3,    0
 23463,256600,19730129,   15,    0
 23463,256600,19730130,   10,    0
 23463,256600,19730131,-9999,    9
 23463,256600,19730201,    0,    0
 23463,256600,19730202,    0,    0
 23463,256600,19730203,    0,    0
 23463,256600,19730204,    0,    0
 23463,256600,19730205,    0,    0
 23463,256600,19730206,    0,    0
 23463,256600,19730207,    0,    0
 23463,256600,19730208,    0,    0
 23463,256600,19730209,    0,    0
 23463,256600,19730210,    0,    0
 23463,256600,19730211,    0,    0
 23463,256600,19730212,   20,    0
 23463,256600,19730213,  109,    0
 23463,256600,19730214,    0,    0
 23463,256600,19730215,    0,    0
 23463,256600,19730216,    0,    0
 23463,256600,19730217,    0,    0
 23463,256600,19730218,  109,    0
 23463,256600,19730219,    0,    0
 23463,256600,19730220,    0,    0
 23463,256600,19730221,   10,    0
 23463,256600,19730222,   51,    0
 23463,256600,19730223,    0,    0
 23463,256600,19730224,-9999,    9
 23463,256600,19730225,   79,    0
 23463,256600,19730226,-9999,    9
 23463,256600,19730227,  221,    0
 23463,256600,19730228,  569,    0
 23463,256600,19730301,    3,    0
 23463,256600,19730302,   20,    0
 23463,256600,19730303,    0,    0
 23463,256600,19730304,    0,    0
 23463,256600,19730305,    0,    0
 23463,256600,19730306,    0,    0
 23463,256600,19730307,    0,    0
 23463,256600,19730308,    0,    0
 23463,256600,19730309,    0,    0
 23463,256600,19730310,    0,    0
 23463,256600,19730311,    0,    0
 23463,256600,19730312,  361,    0
 23463,256600,19730313,    0,    0
 23463,256600,19730314,   20,    0
 23463,256600,19730315,   10,    0
 23463,256600,19730316,   20,    0
 23463,256600,19730317,    0,    0
 23463,256600,19730318,    0,    0
 23463,256600,19730319,   20,    0
 23463,256600,19730320,   10,    0
 23463,256600,19730321,    0,    0
 23463,256600,19730322,    0,    0
 23463,256600,19730323,    0,    0
 23463,256600,19730324,-9999,    9
 23463,256600,19730325,    0,    0
 23463,256600,19730326,    0,    0
 23463,256600,19730327,    0,    0
 23463,256600,19730328,    0,    0
 23463,256600,19730329,    0,    0
 23463,256600,19730330,    0,    0
 23463,256600,19730331,    0,    0
 23463,256600,19730401,    0,    0
 23463,256600,19730402,    0,    0
 23463,256600,19730403,   89,    0
 23463,256600,19730404,    0,    0
 23463,256600,19730405,    0,    0
 23463,256600,19730406,    5,    0
 23463,256600,19730407,   71,    0
 23463,256600,19730408,   10,    0
 23463,256600,19730409,    0,    0
 23463,256600,19730410,    0,    0
 23463,256600,19730411,    0,    0
 23463,256600,19730412,    0,    0
 23463,256600,19730413,    0,    0
 23463,256600,19730414,    0,    0
 23463,256600,19730415,    0,    0
 23463,256600,19730416,    0,    0
 23463,256600,19730417,   20,    0
 23463,256600,19730418,    0,    0
 23463,256600,19730419,   51,    0
 23463,256600,19730420,   61,    0
 23463,256600,19730421,    5,    0
 23463,256600,19730422,-9999,    9
 23463,256600,19730423,    5,    0
 23463,256600,19730424,    0,    0
 23463,256600,19730425,    0,    0
 23463,256600,19730426, 3000,    1
 23463,256600,19730427,-9999,    9
 23463,256600,19730428,    0,    0
 23463,256600,19730429,    0,    0
 23463,256600,19730430,    0,    0
 23463,256600,19730501,-9999,    9
 23463,256600,19730502,-9999,    9
 23463,256600,19730503,    0,    0
