EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 256719) of station IMSIK, TÃœRKIYE (STAID:  23477)

 STAID,    SOUID,    DATE,   RR, Q_RR
 23477,256719,19630101,-9999,    9
 23477,256719,19630102,-9999,    9
 23477,256719,19630103,-9999,    9
 23477,256719,19630104,-9999,    9
 23477,256719,19630105,-9999,    9
 23477,256719,19630106,-9999,    9
 23477,256719,19630107,-9999,    9
 23477,256719,19630108,-9999,    9
 23477,256719,19630109,-9999,    9
 23477,256719,19630110,-9999,    9
 23477,256719,19630111,-9999,    9
 23477,256719,19630112,-9999,    9
 23477,256719,19630113,-9999,    9
 23477,256719,19630114,-9999,    9
 23477,256719,19630115,-9999,    9
 23477,256719,19630116,-9999,    9
 23477,256719,19630117,    0,    0
 23477,256719,19630118,-9999,    9
 23477,256719,19630119,-9999,    9
 23477,256719,19630120,-9999,    9
 23477,256719,19630121,-9999,    9
 23477,256719,19630122,   79,    0
 23477,256719,19630123,   66,    0
 23477,256719,19630124,-9999,    9
 23477,256719,19630125,-9999,    9
 23477,256719,19630126,-9999,    9
 23477,256719,19630127,-9999,    9
 23477,256719,19630128,-9999,    9
 23477,256719,19630129,  201,    0
 23477,256719,19630130,   99,    0
 23477,256719,19630131,-9999,    9
 23477,256719,19630201,-9999,    9
 23477,256719,19630202,-9999,    9
 23477,256719,19630203,-9999,    9
 23477,256719,19630204,-9999,    9
 23477,256719,19630205,-9999,    9
 23477,256719,19630206,    0,    0
 23477,256719,19630207,-9999,    9
 23477,256719,19630208,-9999,    9
 23477,256719,19630209,-9999,    9
 23477,256719,19630210,   30,    0
 23477,256719,19630211,-9999,    9
 23477,256719,19630212,-9999,    9
 23477,256719,19630213,    0,    0
 23477,256719,19630214,    0,    0
 23477,256719,19630215,-9999,    9
 23477,256719,19630216,    0,    0
 23477,256719,19630217,-9999,    9
 23477,256719,19630218,-9999,    9
 23477,256719,19630219,-9999,    9
 23477,256719,19630220,   10,    0
 23477,256719,19630221,-9999,    9
 23477,256719,19630222,-9999,    9
 23477,256719,19630223,-9999,    9
 23477,256719,19630224,   61,    0
 23477,256719,19630225,    0,    0
 23477,256719,19630226,-9999,    9
 23477,256719,19630227,    3,    0
 23477,256719,19630228,    8,    0
 23477,256719,19630301,-9999,    9
 23477,256719,19630302,    0,    0
 23477,256719,19630303,   36,    0
 23477,256719,19630304,    0,    0
 23477,256719,19630305,-9999,    9
 23477,256719,19630306,    0,    0
 23477,256719,19630307,    0,    0
 23477,256719,19630308,-9999,    9
 23477,256719,19630309,    0,    0
 23477,256719,19630310,    0,    0
 23477,256719,19630311,-9999,    9
