EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 256733) of station MUGLA, TÃœRKIYE (STAID:  23479)

 STAID,    SOUID,    DATE,   RR, Q_RR
 23479,256733,19630101,-9999,    9
 23479,256733,19630102,-9999,    9
 23479,256733,19630103,-9999,    9
 23479,256733,19630104,-9999,    9
 23479,256733,19630105,-9999,    9
 23479,256733,19630106,-9999,    9
 23479,256733,19630107,-9999,    9
 23479,256733,19630108,-9999,    9
 23479,256733,19630109,-9999,    9
 23479,256733,19630110,-9999,    9
 23479,256733,19630111,-9999,    9
 23479,256733,19630112,-9999,    9
 23479,256733,19630113,-9999,    9
 23479,256733,19630114,-9999,    9
 23479,256733,19630115,-9999,    9
 23479,256733,19630116,-9999,    9
 23479,256733,19630117,    0,    0
 23479,256733,19630118,    0,    0
 23479,256733,19630119,-9999,    9
 23479,256733,19630120,-9999,    9
 23479,256733,19630121,-9999,    9
 23479,256733,19630122,  119,    0
 23479,256733,19630123,  361,    0
 23479,256733,19630124,    0,    0
 23479,256733,19630125,   20,    0
 23479,256733,19630126,    0,    0
 23479,256733,19630127,    0,    0
 23479,256733,19630128,    0,    0
 23479,256733,19630129,  259,    0
 23479,256733,19630130,  351,    0
 23479,256733,19630131,  119,    0
 23479,256733,19630201,   20,    0
 23479,256733,19630202,-9999,    9
 23479,256733,19630203,    5,    0
 23479,256733,19630204,   41,    0
 23479,256733,19630205,    0,    0
 23479,256733,19630206,    0,    0
 23479,256733,19630207,  119,    0
 23479,256733,19630208,-9999,    9
 23479,256733,19630209,   41,    0
 23479,256733,19630210,   81,    0
 23479,256733,19630211,    0,    0
 23479,256733,19630212,    0,    0
 23479,256733,19630213,   51,    0
 23479,256733,19630214,    0,    0
 23479,256733,19630215,  231,    0
 23479,256733,19630216,   15,    0
 23479,256733,19630217,   89,    0
 23479,256733,19630218,    0,    0
 23479,256733,19630219,   71,    0
 23479,256733,19630220,   51,    0
 23479,256733,19630221,  119,    0
 23479,256733,19630222,  290,    0
 23479,256733,19630223,  150,    0
 23479,256733,19630224,   20,    0
 23479,256733,19630225,    0,    0
 23479,256733,19630226,    0,    0
 23479,256733,19630227,    0,    0
 23479,256733,19630228,  455,    0
 23479,256733,19630301,   10,    0
 23479,256733,19630302,    0,    0
 23479,256733,19630303,   71,    0
 23479,256733,19630304,    0,    0
 23479,256733,19630305,    0,    0
 23479,256733,19630306,    0,    0
 23479,256733,19630307,    0,    0
 23479,256733,19630308,    0,    0
 23479,256733,19630309,    0,    0
 23479,256733,19630310,    0,    0
 23479,256733,19630311,    0,    0
 23479,256733,19630312,    0,    0
 23479,256733,19630313,    0,    0
 23479,256733,19630314,  239,    0
