EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 256845) of station MAKEDONIA , GREECE (STAID:  23314)

 STAID,    SOUID,    DATE,   RR, Q_RR
 23314,256845,19640101,-9999,    9
 23314,256845,19640102,-9999,    9
 23314,256845,19640103,    5,    0
 23314,256845,19640104,-9999,    9
 23314,256845,19640105,-9999,    9
 23314,256845,19640106,    0,    0
 23314,256845,19640107,-9999,    9
 23314,256845,19640108,    0,    0
 23314,256845,19640109,    0,    0
 23314,256845,19640110,-9999,    9
 23314,256845,19640111,-9999,    9
 23314,256845,19640112,-9999,    9
 23314,256845,19640113,    0,    0
 23314,256845,19640114,-9999,    9
 23314,256845,19640115,    0,    0
 23314,256845,19640116,    5,    0
 23314,256845,19640117,    0,    0
 23314,256845,19640118,    0,    0
 23314,256845,19640119,    0,    0
 23314,256845,19640120,-9999,    9
 23314,256845,19640121,    0,    0
 23314,256845,19640122,    0,    0
 23314,256845,19640123,    0,    0
 23314,256845,19640124,-9999,    9
 23314,256845,19640125,    0,    0
 23314,256845,19640126,    0,    0
 23314,256845,19640127,    0,    0
 23314,256845,19640128,    0,    0
 23314,256845,19640129,   30,    0
 23314,256845,19640130,   51,    0
 23314,256845,19640131,    5,    0
 23314,256845,19640201,-9999,    9
 23314,256845,19640202,    0,    0
 23314,256845,19640203,    0,    0
 23314,256845,19640204,    0,    0
 23314,256845,19640205,-9999,    9
 23314,256845,19640206,    5,    0
 23314,256845,19640207,    5,    0
 23314,256845,19640208,    0,    0
 23314,256845,19640209,    0,    0
 23314,256845,19640210,    0,    0
 23314,256845,19640211,    0,    0
 23314,256845,19640212,    0,    0
 23314,256845,19640213,    0,    0
 23314,256845,19640214,    0,    0
 23314,256845,19640215,    5,    0
 23314,256845,19640216,   61,    0
 23314,256845,19640217,    0,    0
 23314,256845,19640218,-9999,    9
 23314,256845,19640219,    0,    0
 23314,256845,19640220,   25,    0
 23314,256845,19640221,-9999,    9
 23314,256845,19640222,-9999,    9
 23314,256845,19640223,    0,    0
 23314,256845,19640224,    0,    0
 23314,256845,19640225,    5,    0
 23314,256845,19640226,-9999,    9
 23314,256845,19640227,   56,    0
 23314,256845,19640228,    0,    0
 23314,256845,19640229,    0,    0
 23314,256845,19640301,  211,    0
 23314,256845,19640302,-9999,    9
 23314,256845,19640303,    0,    0
 23314,256845,19640304,-9999,    9
 23314,256845,19640305,-9999,    9
 23314,256845,19640306,   20,    0
 23314,256845,19640307,-9999,    9
 23314,256845,19640308,   66,    0
 23314,256845,19640309,-9999,    9
 23314,256845,19640310,   15,    0
 23314,256845,19640311,    0,    0
 23314,256845,19640312,-9999,    9
 23314,256845,19640313,-9999,    9
 23314,256845,19640314,    5,    0
 23314,256845,19640315,    0,    0
 23314,256845,19640316,   30,    0
 23314,256845,19640317,-9999,    9
 23314,256845,19640318,    0,    0
 23314,256845,19640319,    8,    0
 23314,256845,19640320,   13,    0
 23314,256845,19640321,    0,    0
 23314,256845,19640322,   23,    0
 23314,256845,19640323,-9999,    9
 23314,256845,19640324,    0,    0
 23314,256845,19640325,-9999,    9
 23314,256845,19640326,    0,    0
 23314,256845,19640327,    0,    0
 23314,256845,19640328,   30,    0
 23314,256845,19640329,    0,    0
 23314,256845,19640330,    0,    0
 23314,256845,19640331,   10,    0
 23314,256845,19640401,-9999,    9
 23314,256845,19640402,-9999,    9
 23314,256845,19640403,-9999,    9
 23314,256845,19640404,-9999,    9
 23314,256845,19640405,-9999,    9
 23314,256845,19640406,    0,    0
 23314,256845,19640407,    0,    0
 23314,256845,19640408,-9999,    9
 23314,256845,19640409,    0,    0
 23314,256845,19640410,-9999,    9
 23314,256845,19640411,    0,    0
 23314,256845,19640412,    0,    0
 23314,256845,19640413,-9999,    9
 23314,256845,19640414,-9999,    9
 23314,256845,19640415,    0,    0
 23314,256845,19640416,    0,    0
 23314,256845,19640417,    0,    0
 23314,256845,19640418,    0,    0
 23314,256845,19640419,   61,    0
 23314,256845,19640420,    0,    0
 23314,256845,19640421,-9999,    9
 23314,256845,19640422,-9999,    9
 23314,256845,19640423,-9999,    9
 23314,256845,19640424,    0,    0
 23314,256845,19640425,    0,    0
 23314,256845,19640426,-9999,    9
 23314,256845,19640427,-9999,    9
 23314,256845,19640428,   20,    0
 23314,256845,19640429,    0,    0
 23314,256845,19640430,    0,    0
 23314,256845,19640501,   51,    0
 23314,256845,19640502,    5,    0
 23314,256845,19640503,    0,    0
 23314,256845,19640504,    0,    0
 23314,256845,19640505,    0,    0
 23314,256845,19640506,-9999,    9
 23314,256845,19640507,    0,    0
 23314,256845,19640508,    0,    0
 23314,256845,19640509,    0,    0
 23314,256845,19640510,    0,    0
 23314,256845,19640511,    5,    0
 23314,256845,19640512,-9999,    9
 23314,256845,19640513,   10,    0
 23314,256845,19640514,    0,    0
 23314,256845,19640515,    0,    0
 23314,256845,19640516,   76,    0
 23314,256845,19640517,  340,    0
 23314,256845,19640518,    5,    0
 23314,256845,19640519,    0,    0
 23314,256845,19640520,-9999,    9
 23314,256845,19640521,-9999,    9
 23314,256845,19640522,    0,    0
 23314,256845,19640523,    0,    0
 23314,256845,19640524,    0,    0
 23314,256845,19640525,-9999,    9
