EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 256866) of station AKTIO, GREECE (STAID:  23317)

 STAID,    SOUID,    DATE,   RR, Q_RR
 23317,256866,19730101,    0,    0
 23317,256866,19730102,-9999,    9
 23317,256866,19730103,-9999,    9
 23317,256866,19730104,-9999,    9
 23317,256866,19730105,    0,    0
 23317,256866,19730106,    0,    0
 23317,256866,19730107,    0,    0
 23317,256866,19730108,    0,    0
 23317,256866,19730109,    0,    0
 23317,256866,19730110,    0,    0
 23317,256866,19730111,   71,    0
 23317,256866,19730112,    0,    0
 23317,256866,19730113,    0,    0
 23317,256866,19730114,    0,    0
 23317,256866,19730115,    0,    0
 23317,256866,19730116,    0,    0
 23317,256866,19730117,   79,    0
 23317,256866,19730118,  290,    0
 23317,256866,19730119,    0,    0
 23317,256866,19730120,   89,    0
 23317,256866,19730121,   51,    0
 23317,256866,19730122,   10,    0
 23317,256866,19730123,    5,    0
 23317,256866,19730124,    0,    0
 23317,256866,19730125,    3,    0
 23317,256866,19730126,    0,    0
 23317,256866,19730127,    0,    0
 23317,256866,19730128,  391,    0
 23317,256866,19730129,  330,    0
 23317,256866,19730130,   10,    0
 23317,256866,19730131,    0,    0
 23317,256866,19730201,   20,    0
 23317,256866,19730202,    0,    0
 23317,256866,19730203,    0,    0
 23317,256866,19730204,    0,    0
 23317,256866,19730205,    0,    0
 23317,256866,19730206,    0,    0
 23317,256866,19730207,    0,    0
 23317,256866,19730208,    0,    0
 23317,256866,19730209,    0,    0
 23317,256866,19730210,    0,    0
 23317,256866,19730211,   89,    0
 23317,256866,19730212,  521,    0
 23317,256866,19730213,    0,    0
 23317,256866,19730214,    3,    0
 23317,256866,19730215,   10,    0
 23317,256866,19730216,   71,    0
 23317,256866,19730217,   79,    0
 23317,256866,19730218,   81,    0
 23317,256866,19730219,  201,    0
 23317,256866,19730220,  109,    0
 23317,256866,19730221,  109,    0
 23317,256866,19730222,   20,    0
 23317,256866,19730223,  140,    0
 23317,256866,19730224,-9999,    9
 23317,256866,19730225,   99,    0
 23317,256866,19730226,  340,    0
 23317,256866,19730227,    0,    0
 23317,256866,19730228,    0,    0
 23317,256866,19730301,    0,    0
 23317,256866,19730302,    0,    0
 23317,256866,19730303,    0,    0
 23317,256866,19730304,    0,    0
 23317,256866,19730305,    0,    0
 23317,256866,19730306,    0,    0
 23317,256866,19730307,    0,    0
 23317,256866,19730308,    0,    0
 23317,256866,19730309,  599,    0
 23317,256866,19730310,   89,    0
 23317,256866,19730311,  249,    0
 23317,256866,19730312,   79,    0
 23317,256866,19730313,   79,    0
 23317,256866,19730314,    0,    0
 23317,256866,19730315,    5,    0
 23317,256866,19730316,   20,    0
 23317,256866,19730317,    0,    0
 23317,256866,19730318,    0,    0
 23317,256866,19730319,  249,    0
 23317,256866,19730320,    0,    0
 23317,256866,19730321,    0,    0
 23317,256866,19730322,    0,    0
 23317,256866,19730323,    0,    0
 23317,256866,19730324,    3,    0
 23317,256866,19730325,   20,    0
 23317,256866,19730326,    0,    0
 23317,256866,19730327,    0,    0
 23317,256866,19730328,   25,    0
