EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 256915) of station ANDRAVIDA, GREECE (STAID:  16381)

 STAID,    SOUID,    DATE,   RR, Q_RR
 16381,256915,19650401,-9999,    9
 16381,256915,19650402,-9999,    9
 16381,256915,19650403,-9999,    9
 16381,256915,19650404,-9999,    9
 16381,256915,19650405,-9999,    9
 16381,256915,19650406,-9999,    9
 16381,256915,19650407,-9999,    9
 16381,256915,19650408,-9999,    9
 16381,256915,19650409,-9999,    9
 16381,256915,19650410,-9999,    9
 16381,256915,19650411,-9999,    9
 16381,256915,19650412,-9999,    9
 16381,256915,19650413,-9999,    9
 16381,256915,19650414,-9999,    9
 16381,256915,19650415,-9999,    9
 16381,256915,19650416,-9999,    9
 16381,256915,19650417,-9999,    9
 16381,256915,19650418,-9999,    9
 16381,256915,19650419,-9999,    9
 16381,256915,19650420,-9999,    9
 16381,256915,19650421,-9999,    9
 16381,256915,19650422,-9999,    9
 16381,256915,19650423,-9999,    9
 16381,256915,19650424,    0,    0
 16381,256915,19650425,-9999,    9
 16381,256915,19650426,-9999,    9
 16381,256915,19650427,-9999,    9
 16381,256915,19650428,-9999,    9
 16381,256915,19650429,    0,    0
 16381,256915,19650430,-9999,    9
 16381,256915,19650501,    0,    0
 16381,256915,19650502,    0,    0
 16381,256915,19650503,    0,    0
 16381,256915,19650504,   71,    0
 16381,256915,19650505,    0,    0
 16381,256915,19650506,   71,    0
 16381,256915,19650507,   20,    0
 16381,256915,19650508,    0,    0
 16381,256915,19650509,    0,    0
 16381,256915,19650510,-9999,    9
 16381,256915,19650511,    0,    0
 16381,256915,19650512,    0,    0
 16381,256915,19650513,    0,    0
 16381,256915,19650514,-9999,    9
 16381,256915,19650515,    0,    0
 16381,256915,19650516,    0,    0
 16381,256915,19650517,    0,    0
 16381,256915,19650518,    0,    0
 16381,256915,19650519,    0,    0
 16381,256915,19650520,    0,    0
 16381,256915,19650521,    0,    0
 16381,256915,19650522,    0,    0
 16381,256915,19650523,    0,    0
 16381,256915,19650524,    0,    0
 16381,256915,19650525,    0,    0
