EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 256943) of station TATOI, GREECE (STAID:  23320)

 STAID,    SOUID,    DATE,   RR, Q_RR
 23320,256943,19661101,-9999,    9
 23320,256943,19661102,-9999,    9
 23320,256943,19661103,-9999,    9
 23320,256943,19661104,-9999,    9
 23320,256943,19661105,-9999,    9
 23320,256943,19661106,-9999,    9
 23320,256943,19661107,-9999,    9
 23320,256943,19661108,-9999,    9
 23320,256943,19661109,-9999,    9
 23320,256943,19661110,-9999,    9
 23320,256943,19661111,-9999,    9
 23320,256943,19661112,-9999,    9
 23320,256943,19661113,-9999,    9
 23320,256943,19661114,-9999,    9
 23320,256943,19661115,-9999,    9
 23320,256943,19661116,-9999,    9
 23320,256943,19661117,    0,    0
 23320,256943,19661118,-9999,    9
 23320,256943,19661119,-9999,    9
 23320,256943,19661120,-9999,    9
 23320,256943,19661121,-9999,    9
 23320,256943,19661122,-9999,    9
 23320,256943,19661123,-9999,    9
 23320,256943,19661124,-9999,    9
 23320,256943,19661125,-9999,    9
 23320,256943,19661126,-9999,    9
 23320,256943,19661127,-9999,    9
 23320,256943,19661128,-9999,    9
 23320,256943,19661129,-9999,    9
 23320,256943,19661130,-9999,    9
 23320,256943,19661201,-9999,    9
 23320,256943,19661202,-9999,    9
 23320,256943,19661203,-9999,    9
 23320,256943,19661204,-9999,    9
 23320,256943,19661205,-9999,    9
 23320,256943,19661206,-9999,    9
 23320,256943,19661207,-9999,    9
 23320,256943,19661208,-9999,    9
 23320,256943,19661209,-9999,    9
 23320,256943,19661210,-9999,    9
 23320,256943,19661211,-9999,    9
 23320,256943,19661212,    0,    0
 23320,256943,19661213,-9999,    9
 23320,256943,19661214,-9999,    9
 23320,256943,19661215,-9999,    9
 23320,256943,19661216,-9999,    9
 23320,256943,19661217,-9999,    9
 23320,256943,19661218,-9999,    9
 23320,256943,19661219,-9999,    9
 23320,256943,19661220,-9999,    9
 23320,256943,19661221,-9999,    9
 23320,256943,19661222,-9999,    9
 23320,256943,19661223,-9999,    9
 23320,256943,19661224,-9999,    9
 23320,256943,19661225,-9999,    9
 23320,256943,19661226,-9999,    9
 23320,256943,19661227,-9999,    9
 23320,256943,19661228,    0,    0
 23320,256943,19661229,-9999,    9
 23320,256943,19661230,    0,    0
 23320,256943,19661231,-9999,    9
 23320,256943,19670101,-9999,    9
 23320,256943,19670102,-9999,    9
 23320,256943,19670103,-9999,    9
 23320,256943,19670104,-9999,    9
 23320,256943,19670105,-9999,    9
 23320,256943,19670106,-9999,    9
 23320,256943,19670107,-9999,    9
 23320,256943,19670108,-9999,    9
 23320,256943,19670109,-9999,    9
 23320,256943,19670110,-9999,    9
 23320,256943,19670111,-9999,    9
 23320,256943,19670112,-9999,    9
 23320,256943,19670113,-9999,    9
 23320,256943,19670114,-9999,    9
 23320,256943,19670115,-9999,    9
 23320,256943,19670116,    0,    0
 23320,256943,19670117,-9999,    9
 23320,256943,19670118,-9999,    9
 23320,256943,19670119,-9999,    9
 23320,256943,19670120,-9999,    9
 23320,256943,19670121,-9999,    9
 23320,256943,19670122,-9999,    9
 23320,256943,19670123,-9999,    9
 23320,256943,19670124,-9999,    9
 23320,256943,19670125,-9999,    9
 23320,256943,19670126,    0,    0
 23320,256943,19670127,-9999,    9
 23320,256943,19670128,-9999,    9
 23320,256943,19670129,    0,    0
 23320,256943,19670130,-9999,    9
 23320,256943,19670131,-9999,    9
 23320,256943,19670201,-9999,    9
 23320,256943,19670202,-9999,    9
 23320,256943,19670203,-9999,    9
 23320,256943,19670204,-9999,    9
 23320,256943,19670205,-9999,    9
 23320,256943,19670206,-9999,    9
 23320,256943,19670207,-9999,    9
 23320,256943,19670208,-9999,    9
 23320,256943,19670209,-9999,    9
 23320,256943,19670210,-9999,    9
 23320,256943,19670211,-9999,    9
 23320,256943,19670212,-9999,    9
 23320,256943,19670213,-9999,    9
 23320,256943,19670214,-9999,    9
 23320,256943,19670215,-9999,    9
 23320,256943,19670216,-9999,    9
 23320,256943,19670217,-9999,    9
 23320,256943,19670218,-9999,    9
 23320,256943,19670219,-9999,    9
 23320,256943,19670220,-9999,    9
 23320,256943,19670221,-9999,    9
 23320,256943,19670222,-9999,    9
 23320,256943,19670223,-9999,    9
 23320,256943,19670224,-9999,    9
 23320,256943,19670225,-9999,    9
 23320,256943,19670226,-9999,    9
 23320,256943,19670227,-9999,    9
 23320,256943,19670228,-9999,    9
 23320,256943,19670301,-9999,    9
 23320,256943,19670302,-9999,    9
 23320,256943,19670303,-9999,    9
 23320,256943,19670304,-9999,    9
 23320,256943,19670305,-9999,    9
 23320,256943,19670306,-9999,    9
 23320,256943,19670307,-9999,    9
 23320,256943,19670308,-9999,    9
 23320,256943,19670309,-9999,    9
 23320,256943,19670310,-9999,    9
 23320,256943,19670311,-9999,    9
 23320,256943,19670312,-9999,    9
 23320,256943,19670313,-9999,    9
 23320,256943,19670314,-9999,    9
 23320,256943,19670315,-9999,    9
 23320,256943,19670316,-9999,    9
 23320,256943,19670317,-9999,    9
 23320,256943,19670318,-9999,    9
 23320,256943,19670319,-9999,    9
 23320,256943,19670320,-9999,    9
 23320,256943,19670321,-9999,    9
 23320,256943,19670322,-9999,    9
 23320,256943,19670323,-9999,    9
 23320,256943,19670324,-9999,    9
 23320,256943,19670325,    0,    0
 23320,256943,19670326,-9999,    9
 23320,256943,19670327,-9999,    9
 23320,256943,19670328,-9999,    9
 23320,256943,19670329,-9999,    9
 23320,256943,19670330,-9999,    9
 23320,256943,19670331,-9999,    9
 23320,256943,19670401,-9999,    9
 23320,256943,19670402,-9999,    9
 23320,256943,19670403,-9999,    9
 23320,256943,19670404,-9999,    9
 23320,256943,19670405,-9999,    9
 23320,256943,19670406,-9999,    9
 23320,256943,19670407,-9999,    9
 23320,256943,19670408,-9999,    9
 23320,256943,19670409,-9999,    9
 23320,256943,19670410,-9999,    9
 23320,256943,19670411,    0,    0
 23320,256943,19670412,-9999,    9
 23320,256943,19670413,-9999,    9
 23320,256943,19670414,-9999,    9
 23320,256943,19670415,-9999,    9
 23320,256943,19670416,-9999,    9
 23320,256943,19670417,-9999,    9
 23320,256943,19670418,-9999,    9
 23320,256943,19670419,-9999,    9
 23320,256943,19670420,-9999,    9
 23320,256943,19670421,-9999,    9
 23320,256943,19670422,-9999,    9
 23320,256943,19670423,-9999,    9
 23320,256943,19670424,-9999,    9
 23320,256943,19670425,-9999,    9
 23320,256943,19670426,-9999,    9
 23320,256943,19670427,-9999,    9
 23320,256943,19670428,-9999,    9
 23320,256943,19670429,-9999,    9
 23320,256943,19670430,-9999,    9
 23320,256943,19670501,-9999,    9
 23320,256943,19670502,-9999,    9
 23320,256943,19670503,-9999,    9
 23320,256943,19670504,-9999,    9
 23320,256943,19670505,-9999,    9
 23320,256943,19670506,-9999,    9
 23320,256943,19670507,-9999,    9
 23320,256943,19670508,-9999,    9
 23320,256943,19670509,-9999,    9
 23320,256943,19670510,-9999,    9
 23320,256943,19670511,-9999,    9
 23320,256943,19670512,-9999,    9
 23320,256943,19670513,-9999,    9
