EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 256964) of station ELEFSIS, GREECE (STAID:  23323)

 STAID,    SOUID,    DATE,   RR, Q_RR
 23323,256964,19651201,-9999,    9
 23323,256964,19651202,-9999,    9
 23323,256964,19651203,-9999,    9
 23323,256964,19651204,    5,    0
 23323,256964,19651205,    0,    0
 23323,256964,19651206,-9999,    9
 23323,256964,19651207,-9999,    9
 23323,256964,19651208,-9999,    9
 23323,256964,19651209,    0,    0
 23323,256964,19651210,-9999,    9
 23323,256964,19651211,   10,    0
 23323,256964,19651212,    0,    0
 23323,256964,19651213,    0,    0
 23323,256964,19651214,-9999,    9
 23323,256964,19651215,-9999,    9
 23323,256964,19651216,    0,    0
 23323,256964,19651217,    0,    0
 23323,256964,19651218,    0,    0
 23323,256964,19651219,    0,    0
 23323,256964,19651220,    0,    0
 23323,256964,19651221,  361,    0
 23323,256964,19651222,    0,    0
 23323,256964,19651223,    0,    0
 23323,256964,19651224,    0,    0
 23323,256964,19651225,    0,    0
 23323,256964,19651226,    0,    0
 23323,256964,19651227,    0,    0
 23323,256964,19651228,    0,    0
 23323,256964,19651229,    0,    0
 23323,256964,19651230,    0,    0
 23323,256964,19651231,    0,    0
 23323,256964,19660101,-9999,    9
 23323,256964,19660102,    0,    0
 23323,256964,19660103,    0,    0
 23323,256964,19660104,    5,    0
 23323,256964,19660105,   10,    0
 23323,256964,19660106,-9999,    9
 23323,256964,19660107,    0,    0
 23323,256964,19660108,   10,    0
 23323,256964,19660109,    0,    0
 23323,256964,19660110,   10,    0
 23323,256964,19660111,-9999,    9
 23323,256964,19660112,    0,    0
 23323,256964,19660113,    5,    0
 23323,256964,19660114,    0,    0
 23323,256964,19660115,    0,    0
 23323,256964,19660116,    0,    0
 23323,256964,19660117,-9999,    9
 23323,256964,19660118,-9999,    9
 23323,256964,19660119,-9999,    9
 23323,256964,19660120,    0,    0
 23323,256964,19660121,    0,    0
 23323,256964,19660122,    5,    0
 23323,256964,19660123,    5,    0
 23323,256964,19660124,   99,    0
 23323,256964,19660125,    0,    0
 23323,256964,19660126,-9999,    9
 23323,256964,19660127,   30,    0
 23323,256964,19660128,    5,    0
 23323,256964,19660129,   10,    0
 23323,256964,19660130,    0,    0
 23323,256964,19660131,    0,    0
 23323,256964,19660201,    0,    0
 23323,256964,19660202,    0,    0
 23323,256964,19660203,    0,    0
 23323,256964,19660204,-9999,    9
 23323,256964,19660205,    0,    0
 23323,256964,19660206,-9999,    9
 23323,256964,19660207,    0,    0
 23323,256964,19660208,    0,    0
