EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 257104) of station VLORE, ALBANIA (STAID:  23392)

 STAID,    SOUID,    DATE,   RR, Q_RR
 23392,257104,19610301,-9999,    9
 23392,257104,19610302,-9999,    9
 23392,257104,19610303,-9999,    9
 23392,257104,19610304,-9999,    9
 23392,257104,19610305,-9999,    9
 23392,257104,19610306,-9999,    9
 23392,257104,19610307,-9999,    9
 23392,257104,19610308,-9999,    9
 23392,257104,19610309,    0,    0
 23392,257104,19610310,-9999,    9
 23392,257104,19610311,-9999,    9
 23392,257104,19610312,-9999,    9
 23392,257104,19610313,-9999,    9
 23392,257104,19610314,-9999,    9
 23392,257104,19610315,-9999,    9
 23392,257104,19610316,-9999,    9
 23392,257104,19610317,-9999,    9
 23392,257104,19610318,-9999,    9
 23392,257104,19610319,-9999,    9
 23392,257104,19610320,-9999,    9
 23392,257104,19610321,-9999,    9
 23392,257104,19610322,-9999,    9
 23392,257104,19610323,-9999,    9
 23392,257104,19610324,-9999,    9
 23392,257104,19610325,-9999,    9
 23392,257104,19610326,-9999,    9
 23392,257104,19610327,-9999,    9
 23392,257104,19610328,-9999,    9
 23392,257104,19610329,-9999,    9
 23392,257104,19610330,-9999,    9
 23392,257104,19610331,-9999,    9
 23392,257104,19610401,    0,    0
 23392,257104,19610402,-9999,    9
 23392,257104,19610403,-9999,    9
 23392,257104,19610404,    0,    0
 23392,257104,19610405,-9999,    9
 23392,257104,19610406,-9999,    9
 23392,257104,19610407,-9999,    9
 23392,257104,19610408,-9999,    9
 23392,257104,19610409,-9999,    9
 23392,257104,19610410,-9999,    9
 23392,257104,19610411,-9999,    9
 23392,257104,19610412,-9999,    9
 23392,257104,19610413,-9999,    9
 23392,257104,19610414,-9999,    9
 23392,257104,19610415,-9999,    9
 23392,257104,19610416,-9999,    9
 23392,257104,19610417,-9999,    9
 23392,257104,19610418,-9999,    9
 23392,257104,19610419,-9999,    9
 23392,257104,19610420,-9999,    9
 23392,257104,19610421,-9999,    9
 23392,257104,19610422,-9999,    9
 23392,257104,19610423,-9999,    9
 23392,257104,19610424,-9999,    9
 23392,257104,19610425,-9999,    9
 23392,257104,19610426,-9999,    9
 23392,257104,19610427,-9999,    9
 23392,257104,19610428,-9999,    9
 23392,257104,19610429,-9999,    9
 23392,257104,19610430,-9999,    9
 23392,257104,19610501,-9999,    9
 23392,257104,19610502,-9999,    9
 23392,257104,19610503,-9999,    9
 23392,257104,19610504,-9999,    9
 23392,257104,19610505,-9999,    9
 23392,257104,19610506,-9999,    9
 23392,257104,19610507,-9999,    9
 23392,257104,19610508,-9999,    9
 23392,257104,19610509,-9999,    9
 23392,257104,19610510,-9999,    9
 23392,257104,19610511,-9999,    9
 23392,257104,19610512,-9999,    9
 23392,257104,19610513,-9999,    9
 23392,257104,19610514,-9999,    9
 23392,257104,19610515,    0,    0
 23392,257104,19610516,-9999,    9
 23392,257104,19610517,    0,    0
 23392,257104,19610518,-9999,    9
 23392,257104,19610519,-9999,    9
 23392,257104,19610520,-9999,    9
 23392,257104,19610521,-9999,    9
 23392,257104,19610522,-9999,    9
 23392,257104,19610523,-9999,    9
 23392,257104,19610524,    0,    0
 23392,257104,19610525,-9999,    9
 23392,257104,19610526,-9999,    9
 23392,257104,19610527,-9999,    9
 23392,257104,19610528,-9999,    9
 23392,257104,19610529,-9999,    9
 23392,257104,19610530,-9999,    9
 23392,257104,19610531,    0,    0
 23392,257104,19610601,-9999,    9
 23392,257104,19610602,-9999,    9
 23392,257104,19610603,    0,    0
 23392,257104,19610604,    3,    0
 23392,257104,19610605,-9999,    9
 23392,257104,19610606,-9999,    9
 23392,257104,19610607,    0,    0
 23392,257104,19610608,-9999,    9
 23392,257104,19610609,-9999,    9
 23392,257104,19610610,    0,    0
 23392,257104,19610611,-9999,    9
 23392,257104,19610612,    0,    0
 23392,257104,19610613,    0,    0
 23392,257104,19610614,-9999,    9
 23392,257104,19610615,-9999,    9
 23392,257104,19610616,    0,    0
 23392,257104,19610617,-9999,    9
 23392,257104,19610618,-9999,    9
 23392,257104,19610619,-9999,    9
 23392,257104,19610620,-9999,    9
 23392,257104,19610621,-9999,    9
 23392,257104,19610622,-9999,    9
 23392,257104,19610623,-9999,    9
 23392,257104,19610624,-9999,    9
 23392,257104,19610625,-9999,    9
 23392,257104,19610626,    0,    0
 23392,257104,19610627,-9999,    9
 23392,257104,19610628,-9999,    9
 23392,257104,19610629,-9999,    9
 23392,257104,19610630,-9999,    9
 23392,257104,19610701,-9999,    9
 23392,257104,19610702,-9999,    9
 23392,257104,19610703,-9999,    9
 23392,257104,19610704,-9999,    9
 23392,257104,19610705,    0,    0
 23392,257104,19610706,    0,    0
 23392,257104,19610707,-9999,    9
 23392,257104,19610708,-9999,    9
 23392,257104,19610709,-9999,    9
 23392,257104,19610710,-9999,    9
 23392,257104,19610711,-9999,    9
 23392,257104,19610712,-9999,    9
 23392,257104,19610713,-9999,    9
 23392,257104,19610714,    0,    0
 23392,257104,19610715,-9999,    9
 23392,257104,19610716,-9999,    9
 23392,257104,19610717,    0,    0
 23392,257104,19610718,-9999,    9
 23392,257104,19610719,-9999,    9
 23392,257104,19610720,-9999,    9
 23392,257104,19610721,-9999,    9
 23392,257104,19610722,-9999,    9
 23392,257104,19610723,-9999,    9
 23392,257104,19610724,-9999,    9
 23392,257104,19610725,-9999,    9
 23392,257104,19610726,-9999,    9
 23392,257104,19610727,-9999,    9
 23392,257104,19610728,-9999,    9
 23392,257104,19610729,-9999,    9
 23392,257104,19610730,-9999,    9
 23392,257104,19610731,    0,    0
 23392,257104,19610801,-9999,    9
 23392,257104,19610802,-9999,    9
 23392,257104,19610803,-9999,    9
 23392,257104,19610804,    0,    0
 23392,257104,19610805,-9999,    9
 23392,257104,19610806,-9999,    9
 23392,257104,19610807,-9999,    9
 23392,257104,19610808,    0,    0
 23392,257104,19610809,-9999,    9
 23392,257104,19610810,-9999,    9
 23392,257104,19610811,    0,    0
 23392,257104,19610812,-9999,    9
 23392,257104,19610813,-9999,    9
 23392,257104,19610814,-9999,    9
 23392,257104,19610815,-9999,    9
 23392,257104,19610816,    0,    0
 23392,257104,19610817,-9999,    9
 23392,257104,19610818,  109,    0
 23392,257104,19610819,    0,    0
 23392,257104,19610820,    0,    0
 23392,257104,19610821,    0,    0
 23392,257104,19610822,    0,    0
 23392,257104,19610823,-9999,    9
 23392,257104,19610824,    0,    0
 23392,257104,19610825,-9999,    9
 23392,257104,19610826,    0,    0
 23392,257104,19610827,-9999,    9
 23392,257104,19610828,-9999,    9
 23392,257104,19610829,-9999,    9
 23392,257104,19610830,-9999,    9
 23392,257104,19610831,-9999,    9
 23392,257104,19610901,-9999,    9
 23392,257104,19610902,-9999,    9
 23392,257104,19610903,    0,    0
 23392,257104,19610904,-9999,    9
 23392,257104,19610905,-9999,    9
 23392,257104,19610906,-9999,    9
 23392,257104,19610907,-9999,    9
 23392,257104,19610908,    0,    0
 23392,257104,19610909,-9999,    9
 23392,257104,19610910,-9999,    9
 23392,257104,19610911,-9999,    9
 23392,257104,19610912,-9999,    9
 23392,257104,19610913,-9999,    9
 23392,257104,19610914,-9999,    9
 23392,257104,19610915,-9999,    9
 23392,257104,19610916,    0,    0
 23392,257104,19610917,-9999,    9
 23392,257104,19610918,-9999,    9
 23392,257104,19610919,-9999,    9
 23392,257104,19610920,-9999,    9
 23392,257104,19610921,-9999,    9
 23392,257104,19610922,-9999,    9
 23392,257104,19610923,-9999,    9
 23392,257104,19610924,-9999,    9
 23392,257104,19610925,-9999,    9
 23392,257104,19610926,-9999,    9
 23392,257104,19610927,-9999,    9
 23392,257104,19610928,-9999,    9
 23392,257104,19610929,-9999,    9
 23392,257104,19610930,-9999,    9
 23392,257104,19611001,-9999,    9
 23392,257104,19611002,-9999,    9
 23392,257104,19611003,-9999,    9
 23392,257104,19611004,  109,    0
 23392,257104,19611005,-9999,    9
 23392,257104,19611006,-9999,    9
 23392,257104,19611007,    0,    0
 23392,257104,19611008,-9999,    9
 23392,257104,19611009,-9999,    9
 23392,257104,19611010,-9999,    9
 23392,257104,19611011,-9999,    9
 23392,257104,19611012,-9999,    9
 23392,257104,19611013,-9999,    9
 23392,257104,19611014,-9999,    9
 23392,257104,19611015,-9999,    9
 23392,257104,19611016,    0,    0
 23392,257104,19611017,-9999,    9
 23392,257104,19611018,-9999,    9
 23392,257104,19611019,-9999,    9
 23392,257104,19611020,-9999,    9
 23392,257104,19611021,-9999,    9
 23392,257104,19611022,-9999,    9
 23392,257104,19611023,-9999,    9
 23392,257104,19611024,-9999,    9
 23392,257104,19611025,-9999,    9
 23392,257104,19611026,    0,    0
 23392,257104,19611027,-9999,    9
 23392,257104,19611028,-9999,    9
 23392,257104,19611029,-9999,    9
 23392,257104,19611030,-9999,    9
 23392,257104,19611031,-9999,    9
 23392,257104,19611101,-9999,    9
 23392,257104,19611102,-9999,    9
 23392,257104,19611103,-9999,    9
 23392,257104,19611104,-9999,    9
 23392,257104,19611105,-9999,    9
 23392,257104,19611106,-9999,    9
 23392,257104,19611107,-9999,    9
 23392,257104,19611108,-9999,    9
 23392,257104,19611109,    0,    0
 23392,257104,19611110,-9999,    9
 23392,257104,19611111,-9999,    9
 23392,257104,19611112,-9999,    9
 23392,257104,19611113,-9999,    9
 23392,257104,19611114,   10,    0
 23392,257104,19611115,-9999,    9
 23392,257104,19611116,-9999,    9
 23392,257104,19611117,-9999,    9
 23392,257104,19611118,-9999,    9
 23392,257104,19611119,-9999,    9
 23392,257104,19611120,-9999,    9
 23392,257104,19611121,-9999,    9
 23392,257104,19611122,-9999,    9
 23392,257104,19611123,-9999,    9
 23392,257104,19611124,-9999,    9
 23392,257104,19611125,   79,    0
 23392,257104,19611126,-9999,    9
 23392,257104,19611127,-9999,    9
 23392,257104,19611128,-9999,    9
 23392,257104,19611129,    0,    0
 23392,257104,19611130,-9999,    9
 23392,257104,19611201,-9999,    9
 23392,257104,19611202,-9999,    9
 23392,257104,19611203,-9999,    9
 23392,257104,19611204,-9999,    9
 23392,257104,19611205,-9999,    9
 23392,257104,19611206,-9999,    9
 23392,257104,19611207,-9999,    9
 23392,257104,19611208,-9999,    9
 23392,257104,19611209,    0,    0
 23392,257104,19611210,-9999,    9
