EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 257125) of station KORCA, ALBANIA (STAID:  23395)

 STAID,    SOUID,    DATE,   RR, Q_RR
 23395,257125,19730601,-9999,    9
 23395,257125,19730602,-9999,    9
 23395,257125,19730603,-9999,    9
 23395,257125,19730604,-9999,    9
 23395,257125,19730605,-9999,    9
 23395,257125,19730606,-9999,    9
 23395,257125,19730607,-9999,    9
 23395,257125,19730608,-9999,    9
 23395,257125,19730609,-9999,    9
 23395,257125,19730610,-9999,    9
 23395,257125,19730611,-9999,    9
 23395,257125,19730612,-9999,    9
 23395,257125,19730613,-9999,    9
 23395,257125,19730614,-9999,    9
 23395,257125,19730615,-9999,    9
 23395,257125,19730616,-9999,    9
 23395,257125,19730617,-9999,    9
 23395,257125,19730618,-9999,    9
 23395,257125,19730619,-9999,    9
 23395,257125,19730620,-9999,    9
 23395,257125,19730621,-9999,    9
 23395,257125,19730622,-9999,    9
 23395,257125,19730623,-9999,    9
 23395,257125,19730624,-9999,    9
 23395,257125,19730625,-9999,    9
 23395,257125,19730626,-9999,    9
 23395,257125,19730627,    0,    0
 23395,257125,19730628,-9999,    9
 23395,257125,19730629,-9999,    9
 23395,257125,19730630,-9999,    9
 23395,257125,19730701,-9999,    9
 23395,257125,19730702,-9999,    9
 23395,257125,19730703,-9999,    9
 23395,257125,19730704,-9999,    9
 23395,257125,19730705,    0,    0
 23395,257125,19730706,-9999,    9
 23395,257125,19730707,-9999,    9
 23395,257125,19730708,-9999,    9
 23395,257125,19730709,-9999,    9
 23395,257125,19730710,-9999,    9
 23395,257125,19730711,-9999,    9
 23395,257125,19730712,-9999,    9
 23395,257125,19730713,-9999,    9
 23395,257125,19730714,-9999,    9
 23395,257125,19730715,-9999,    9
 23395,257125,19730716,-9999,    9
 23395,257125,19730717,-9999,    9
 23395,257125,19730718,-9999,    9
 23395,257125,19730719,-9999,    9
 23395,257125,19730720,-9999,    9
 23395,257125,19730721,-9999,    9
 23395,257125,19730722,-9999,    9
 23395,257125,19730723,-9999,    9
 23395,257125,19730724,-9999,    9
 23395,257125,19730725,-9999,    9
 23395,257125,19730726,-9999,    9
 23395,257125,19730727,-9999,    9
 23395,257125,19730728,-9999,    9
 23395,257125,19730729,-9999,    9
 23395,257125,19730730,-9999,    9
 23395,257125,19730731,   10,    0
 23395,257125,19730801,-9999,    9
 23395,257125,19730802,-9999,    9
 23395,257125,19730803,-9999,    9
 23395,257125,19730804,-9999,    9
 23395,257125,19730805,-9999,    9
 23395,257125,19730806,-9999,    9
 23395,257125,19730807,-9999,    9
 23395,257125,19730808,-9999,    9
 23395,257125,19730809,-9999,    9
 23395,257125,19730810,-9999,    9
 23395,257125,19730811,-9999,    9
 23395,257125,19730812,-9999,    9
 23395,257125,19730813,-9999,    9
 23395,257125,19730814,-9999,    9
 23395,257125,19730815,-9999,    9
 23395,257125,19730816,-9999,    9
 23395,257125,19730817,-9999,    9
 23395,257125,19730818,-9999,    9
 23395,257125,19730819,-9999,    9
 23395,257125,19730820,-9999,    9
 23395,257125,19730821,-9999,    9
 23395,257125,19730822,-9999,    9
 23395,257125,19730823,-9999,    9
 23395,257125,19730824,-9999,    9
 23395,257125,19730825,-9999,    9
 23395,257125,19730826,-9999,    9
 23395,257125,19730827,-9999,    9
 23395,257125,19730828,-9999,    9
 23395,257125,19730829,-9999,    9
 23395,257125,19730830,-9999,    9
 23395,257125,19730831,-9999,    9
 23395,257125,19730901,-9999,    9
 23395,257125,19730902,-9999,    9
 23395,257125,19730903,-9999,    9
 23395,257125,19730904,-9999,    9
 23395,257125,19730905,-9999,    9
 23395,257125,19730906,-9999,    9
 23395,257125,19730907,-9999,    9
 23395,257125,19730908,-9999,    9
 23395,257125,19730909,-9999,    9
 23395,257125,19730910,-9999,    9
 23395,257125,19730911,-9999,    9
 23395,257125,19730912,-9999,    9
 23395,257125,19730913,-9999,    9
 23395,257125,19730914,-9999,    9
 23395,257125,19730915,-9999,    9
 23395,257125,19730916,-9999,    9
 23395,257125,19730917,-9999,    9
 23395,257125,19730918,-9999,    9
 23395,257125,19730919,-9999,    9
 23395,257125,19730920,-9999,    9
 23395,257125,19730921,-9999,    9
 23395,257125,19730922,-9999,    9
 23395,257125,19730923,-9999,    9
 23395,257125,19730924,-9999,    9
 23395,257125,19730925,-9999,    9
 23395,257125,19730926,-9999,    9
 23395,257125,19730927,-9999,    9
 23395,257125,19730928,-9999,    9
 23395,257125,19730929,-9999,    9
 23395,257125,19730930,-9999,    9
 23395,257125,19731001,-9999,    9
 23395,257125,19731002,-9999,    9
 23395,257125,19731003,-9999,    9
 23395,257125,19731004,-9999,    9
 23395,257125,19731005,-9999,    9
 23395,257125,19731006,-9999,    9
 23395,257125,19731007,-9999,    9
 23395,257125,19731008,-9999,    9
 23395,257125,19731009,-9999,    9
 23395,257125,19731010,-9999,    9
 23395,257125,19731011,-9999,    9
 23395,257125,19731012,-9999,    9
 23395,257125,19731013,-9999,    9
 23395,257125,19731014,-9999,    9
 23395,257125,19731015,-9999,    9
 23395,257125,19731016,-9999,    9
 23395,257125,19731017,-9999,    9
 23395,257125,19731018,-9999,    9
 23395,257125,19731019,-9999,    9
 23395,257125,19731020,-9999,    9
 23395,257125,19731021,-9999,    9
 23395,257125,19731022,-9999,    9
 23395,257125,19731023,-9999,    9
 23395,257125,19731024,-9999,    9
 23395,257125,19731025,-9999,    9
 23395,257125,19731026,-9999,    9
 23395,257125,19731027,-9999,    9
 23395,257125,19731028,-9999,    9
 23395,257125,19731029,-9999,    9
 23395,257125,19731030,-9999,    9
 23395,257125,19731031,-9999,    9
 23395,257125,19731101,-9999,    9
 23395,257125,19731102,-9999,    9
 23395,257125,19731103,-9999,    9
 23395,257125,19731104,-9999,    9
 23395,257125,19731105,-9999,    9
 23395,257125,19731106,-9999,    9
 23395,257125,19731107,-9999,    9
 23395,257125,19731108,-9999,    9
 23395,257125,19731109,-9999,    9
 23395,257125,19731110,-9999,    9
 23395,257125,19731111,-9999,    9
 23395,257125,19731112,-9999,    9
 23395,257125,19731113,-9999,    9
 23395,257125,19731114,-9999,    9
 23395,257125,19731115,-9999,    9
 23395,257125,19731116,-9999,    9
 23395,257125,19731117,-9999,    9
 23395,257125,19731118,-9999,    9
 23395,257125,19731119,-9999,    9
 23395,257125,19731120,-9999,    9
 23395,257125,19731121,-9999,    9
 23395,257125,19731122,-9999,    9
 23395,257125,19731123,-9999,    9
 23395,257125,19731124,-9999,    9
 23395,257125,19731125,-9999,    9
 23395,257125,19731126,-9999,    9
 23395,257125,19731127,-9999,    9
 23395,257125,19731128,-9999,    9
 23395,257125,19731129,-9999,    9
 23395,257125,19731130,-9999,    9
 23395,257125,19731201,-9999,    9
 23395,257125,19731202,-9999,    9
 23395,257125,19731203,-9999,    9
 23395,257125,19731204,-9999,    9
 23395,257125,19731205,-9999,    9
 23395,257125,19731206,-9999,    9
 23395,257125,19731207,-9999,    9
 23395,257125,19731208,-9999,    9
 23395,257125,19731209,-9999,    9
 23395,257125,19731210,-9999,    9
 23395,257125,19731211,-9999,    9
 23395,257125,19731212,-9999,    9
 23395,257125,19731213,-9999,    9
 23395,257125,19731214,-9999,    9
 23395,257125,19731215,-9999,    9
 23395,257125,19731216,-9999,    9
 23395,257125,19731217,-9999,    9
 23395,257125,19731218,-9999,    9
 23395,257125,19731219,-9999,    9
 23395,257125,19731220,-9999,    9
 23395,257125,19731221,-9999,    9
 23395,257125,19731222,-9999,    9
 23395,257125,19731223,-9999,    9
 23395,257125,19731224,-9999,    9
 23395,257125,19731225,-9999,    9
 23395,257125,19731226,-9999,    9
 23395,257125,19731227,-9999,    9
 23395,257125,19731228,-9999,    9
 23395,257125,19731229,-9999,    9
 23395,257125,19731230,-9999,    9
 23395,257125,19731231,-9999,    9
 23395,257125,19740101,-9999,    9
 23395,257125,19740102,-9999,    9
 23395,257125,19740103,-9999,    9
 23395,257125,19740104,-9999,    9
 23395,257125,19740105,-9999,    9
 23395,257125,19740106,-9999,    9
 23395,257125,19740107,-9999,    9
 23395,257125,19740108,-9999,    9
 23395,257125,19740109,-9999,    9
 23395,257125,19740110,-9999,    9
 23395,257125,19740111,-9999,    9
 23395,257125,19740112,-9999,    9
 23395,257125,19740113,-9999,    9
 23395,257125,19740114,-9999,    9
 23395,257125,19740115,-9999,    9
 23395,257125,19740116,-9999,    9
 23395,257125,19740117,-9999,    9
 23395,257125,19740118,-9999,    9
 23395,257125,19740119,-9999,    9
 23395,257125,19740120,-9999,    9
 23395,257125,19740121,-9999,    9
 23395,257125,19740122,-9999,    9
 23395,257125,19740123,-9999,    9
 23395,257125,19740124,-9999,    9
 23395,257125,19740125,-9999,    9
 23395,257125,19740126,-9999,    9
 23395,257125,19740127,-9999,    9
 23395,257125,19740128,-9999,    9
 23395,257125,19740129,-9999,    9
 23395,257125,19740130,-9999,    9
 23395,257125,19740131,-9999,    9
 23395,257125,19740201,-9999,    9
 23395,257125,19740202,-9999,    9
 23395,257125,19740203,-9999,    9
 23395,257125,19740204,-9999,    9
 23395,257125,19740205,-9999,    9
 23395,257125,19740206,-9999,    9
 23395,257125,19740207,-9999,    9
 23395,257125,19740208,-9999,    9
 23395,257125,19740209,-9999,    9
 23395,257125,19740210,-9999,    9
 23395,257125,19740211,-9999,    9
 23395,257125,19740212,-9999,    9
 23395,257125,19740213,-9999,    9
 23395,257125,19740214,-9999,    9
 23395,257125,19740215,-9999,    9
 23395,257125,19740216,-9999,    9
 23395,257125,19740217,-9999,    9
 23395,257125,19740218,-9999,    9
 23395,257125,19740219,-9999,    9
 23395,257125,19740220,-9999,    9
 23395,257125,19740221,-9999,    9
 23395,257125,19740222,-9999,    9
 23395,257125,19740223,-9999,    9
 23395,257125,19740224,-9999,    9
 23395,257125,19740225,-9999,    9
 23395,257125,19740226,-9999,    9
 23395,257125,19740227,-9999,    9
 23395,257125,19740228,-9999,    9
 23395,257125,19740301,-9999,    9
 23395,257125,19740302,-9999,    9
 23395,257125,19740303,-9999,    9
 23395,257125,19740304,-9999,    9
 23395,257125,19740305,-9999,    9
 23395,257125,19740306,-9999,    9
 23395,257125,19740307,-9999,    9
 23395,257125,19740308,-9999,    9
 23395,257125,19740309,-9999,    9
 23395,257125,19740310,-9999,    9
 23395,257125,19740311,-9999,    9
 23395,257125,19740312,-9999,    9
 23395,257125,19740313,-9999,    9
 23395,257125,19740314,-9999,    9
 23395,257125,19740315,-9999,    9
 23395,257125,19740316,-9999,    9
 23395,257125,19740317,-9999,    9
 23395,257125,19740318,-9999,    9
 23395,257125,19740319,-9999,    9
 23395,257125,19740320,-9999,    9
 23395,257125,19740321,-9999,    9
 23395,257125,19740322,-9999,    9
 23395,257125,19740323,-9999,    9
 23395,257125,19740324,-9999,    9
 23395,257125,19740325,-9999,    9
 23395,257125,19740326,-9999,    9
 23395,257125,19740327,-9999,    9
 23395,257125,19740328,-9999,    9
 23395,257125,19740329,-9999,    9
 23395,257125,19740330,-9999,    9
 23395,257125,19740331,-9999,    9
 23395,257125,19740401,-9999,    9
 23395,257125,19740402,-9999,    9
 23395,257125,19740403,-9999,    9
 23395,257125,19740404,-9999,    9
 23395,257125,19740405,-9999,    9
 23395,257125,19740406,-9999,    9
 23395,257125,19740407,-9999,    9
 23395,257125,19740408,-9999,    9
 23395,257125,19740409,-9999,    9
 23395,257125,19740410,-9999,    9
 23395,257125,19740411,-9999,    9
 23395,257125,19740412,-9999,    9
 23395,257125,19740413,-9999,    9
 23395,257125,19740414,-9999,    9
 23395,257125,19740415,-9999,    9
 23395,257125,19740416,-9999,    9
 23395,257125,19740417,-9999,    9
 23395,257125,19740418,-9999,    9
 23395,257125,19740419,-9999,    9
 23395,257125,19740420,-9999,    9
 23395,257125,19740421,-9999,    9
 23395,257125,19740422,-9999,    9
 23395,257125,19740423,-9999,    9
