EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 257153) of station VRATZA, BULGARIA (STAID:  23336)

 STAID,    SOUID,    DATE,   RR, Q_RR
 23336,257153,19740801,-9999,    9
 23336,257153,19740802,-9999,    9
 23336,257153,19740803,-9999,    9
 23336,257153,19740804,-9999,    9
 23336,257153,19740805,-9999,    9
 23336,257153,19740806,-9999,    9
 23336,257153,19740807,-9999,    9
 23336,257153,19740808,-9999,    9
 23336,257153,19740809,-9999,    9
 23336,257153,19740810,-9999,    9
 23336,257153,19740811,-9999,    9
 23336,257153,19740812,-9999,    9
 23336,257153,19740813,-9999,    9
 23336,257153,19740814,-9999,    9
 23336,257153,19740815,-9999,    9
 23336,257153,19740816,-9999,    9
 23336,257153,19740817,-9999,    9
 23336,257153,19740818,-9999,    9
 23336,257153,19740819,-9999,    9
 23336,257153,19740820,-9999,    9
 23336,257153,19740821,-9999,    9
 23336,257153,19740822,-9999,    9
 23336,257153,19740823,-9999,    9
 23336,257153,19740824,-9999,    9
 23336,257153,19740825,-9999,    9
 23336,257153,19740826,-9999,    9
 23336,257153,19740827,    0,    0
 23336,257153,19740828,-9999,    9
 23336,257153,19740829,-9999,    9
 23336,257153,19740830,-9999,    9
 23336,257153,19740831,-9999,    9
 23336,257153,19740901,-9999,    9
 23336,257153,19740902,    0,    0
 23336,257153,19740903,-9999,    9
 23336,257153,19740904,-9999,    9
 23336,257153,19740905,-9999,    9
 23336,257153,19740906,-9999,    9
 23336,257153,19740907,-9999,    9
 23336,257153,19740908,-9999,    9
 23336,257153,19740909,-9999,    9
 23336,257153,19740910,-9999,    9
 23336,257153,19740911,-9999,    9
 23336,257153,19740912,    0,    0
 23336,257153,19740913,-9999,    9
 23336,257153,19740914,    0,    0
 23336,257153,19740915,-9999,    9
 23336,257153,19740916,-9999,    9
 23336,257153,19740917,-9999,    9
 23336,257153,19740918,-9999,    9
 23336,257153,19740919,-9999,    9
 23336,257153,19740920,-9999,    9
 23336,257153,19740921,-9999,    9
 23336,257153,19740922,    0,    0
 23336,257153,19740923,-9999,    9
 23336,257153,19740924,-9999,    9
 23336,257153,19740925,-9999,    9
 23336,257153,19740926,-9999,    9
 23336,257153,19740927,-9999,    9
 23336,257153,19740928,-9999,    9
 23336,257153,19740929,-9999,    9
 23336,257153,19740930,-9999,    9
 23336,257153,19741001,-9999,    9
 23336,257153,19741002,-9999,    9
 23336,257153,19741003,-9999,    9
 23336,257153,19741004,-9999,    9
 23336,257153,19741005,-9999,    9
 23336,257153,19741006,-9999,    9
 23336,257153,19741007,-9999,    9
 23336,257153,19741008,-9999,    9
 23336,257153,19741009,-9999,    9
 23336,257153,19741010,-9999,    9
 23336,257153,19741011,-9999,    9
 23336,257153,19741012,-9999,    9
 23336,257153,19741013,-9999,    9
 23336,257153,19741014,-9999,    9
 23336,257153,19741015,-9999,    9
 23336,257153,19741016,-9999,    9
 23336,257153,19741017,-9999,    9
 23336,257153,19741018,-9999,    9
 23336,257153,19741019,-9999,    9
 23336,257153,19741020,-9999,    9
 23336,257153,19741021,-9999,    9
 23336,257153,19741022,-9999,    9
 23336,257153,19741023,-9999,    9
 23336,257153,19741024,-9999,    9
 23336,257153,19741025,-9999,    9
 23336,257153,19741026,-9999,    9
 23336,257153,19741027,-9999,    9
 23336,257153,19741028,-9999,    9
 23336,257153,19741029,-9999,    9
 23336,257153,19741030,-9999,    9
 23336,257153,19741031,-9999,    9
 23336,257153,19741101,-9999,    9
 23336,257153,19741102,-9999,    9
 23336,257153,19741103,-9999,    9
 23336,257153,19741104,-9999,    9
 23336,257153,19741105,-9999,    9
 23336,257153,19741106,-9999,    9
 23336,257153,19741107,-9999,    9
 23336,257153,19741108,-9999,    9
 23336,257153,19741109,-9999,    9
 23336,257153,19741110,-9999,    9
 23336,257153,19741111,-9999,    9
 23336,257153,19741112,-9999,    9
 23336,257153,19741113,-9999,    9
 23336,257153,19741114,-9999,    9
 23336,257153,19741115,-9999,    9
 23336,257153,19741116,-9999,    9
 23336,257153,19741117,-9999,    9
 23336,257153,19741118,-9999,    9
 23336,257153,19741119,-9999,    9
 23336,257153,19741120,-9999,    9
 23336,257153,19741121,-9999,    9
 23336,257153,19741122,-9999,    9
 23336,257153,19741123,    0,    0
 23336,257153,19741124,-9999,    9
 23336,257153,19741125,-9999,    9
 23336,257153,19741126,-9999,    9
 23336,257153,19741127,-9999,    9
 23336,257153,19741128,   71,    0
 23336,257153,19741129,-9999,    9
 23336,257153,19741130,-9999,    9
 23336,257153,19741201,-9999,    9
 23336,257153,19741202,-9999,    9
 23336,257153,19741203,-9999,    9
 23336,257153,19741204,-9999,    9
 23336,257153,19741205,-9999,    9
 23336,257153,19741206,-9999,    9
 23336,257153,19741207,-9999,    9
 23336,257153,19741208,-9999,    9
 23336,257153,19741209,-9999,    9
 23336,257153,19741210,-9999,    9
 23336,257153,19741211,-9999,    9
 23336,257153,19741212,-9999,    9
 23336,257153,19741213,-9999,    9
 23336,257153,19741214,-9999,    9
 23336,257153,19741215,-9999,    9
 23336,257153,19741216,-9999,    9
 23336,257153,19741217,-9999,    9
 23336,257153,19741218,-9999,    9
 23336,257153,19741219,-9999,    9
 23336,257153,19741220,    0,    0
 23336,257153,19741221,-9999,    9
 23336,257153,19741222,-9999,    9
 23336,257153,19741223,-9999,    9
 23336,257153,19741224,-9999,    9
 23336,257153,19741225,-9999,    9
 23336,257153,19741226,-9999,    9
 23336,257153,19741227,-9999,    9
 23336,257153,19741228,-9999,    9
 23336,257153,19741229,-9999,    9
 23336,257153,19741230,    0,    0
 23336,257153,19741231,-9999,    9
 23336,257153,19750101,-9999,    9
 23336,257153,19750102,-9999,    9
 23336,257153,19750103,-9999,    9
 23336,257153,19750104,-9999,    9
 23336,257153,19750105,-9999,    9
 23336,257153,19750106,-9999,    9
 23336,257153,19750107,-9999,    9
 23336,257153,19750108,-9999,    9
 23336,257153,19750109,-9999,    9
 23336,257153,19750110,-9999,    9
 23336,257153,19750111,-9999,    9
 23336,257153,19750112,-9999,    9
 23336,257153,19750113,-9999,    9
 23336,257153,19750114,-9999,    9
 23336,257153,19750115,-9999,    9
 23336,257153,19750116,-9999,    9
 23336,257153,19750117,-9999,    9
 23336,257153,19750118,-9999,    9
 23336,257153,19750119,-9999,    9
 23336,257153,19750120,-9999,    9
 23336,257153,19750121,-9999,    9
 23336,257153,19750122,-9999,    9
 23336,257153,19750123,-9999,    9
 23336,257153,19750124,-9999,    9
 23336,257153,19750125,-9999,    9
 23336,257153,19750126,-9999,    9
 23336,257153,19750127,-9999,    9
 23336,257153,19750128,-9999,    9
 23336,257153,19750129,-9999,    9
 23336,257153,19750130,-9999,    9
 23336,257153,19750131,-9999,    9
 23336,257153,19750201,-9999,    9
 23336,257153,19750202,-9999,    9
 23336,257153,19750203,-9999,    9
 23336,257153,19750204,-9999,    9
 23336,257153,19750205,-9999,    9
 23336,257153,19750206,    0,    0
 23336,257153,19750207,-9999,    9
 23336,257153,19750208,-9999,    9
 23336,257153,19750209,    0,    0
 23336,257153,19750210,-9999,    9
 23336,257153,19750211,-9999,    9
 23336,257153,19750212,-9999,    9
 23336,257153,19750213,-9999,    9
 23336,257153,19750214,    0,    0
 23336,257153,19750215,-9999,    9
 23336,257153,19750216,-9999,    9
 23336,257153,19750217,-9999,    9
 23336,257153,19750218,-9999,    9
 23336,257153,19750219,    0,    0
 23336,257153,19750220,-9999,    9
 23336,257153,19750221,-9999,    9
 23336,257153,19750222,-9999,    9
 23336,257153,19750223,-9999,    9
 23336,257153,19750224,-9999,    9
 23336,257153,19750225,-9999,    9
 23336,257153,19750226,-9999,    9
 23336,257153,19750227,-9999,    9
 23336,257153,19750228,-9999,    9
 23336,257153,19750301,-9999,    9
 23336,257153,19750302,-9999,    9
 23336,257153,19750303,-9999,    9
 23336,257153,19750304,    0,    0
 23336,257153,19750305,-9999,    9
 23336,257153,19750306,    0,    0
 23336,257153,19750307,-9999,    9
 23336,257153,19750308,-9999,    9
 23336,257153,19750309,-9999,    9
 23336,257153,19750310,-9999,    9
 23336,257153,19750311,-9999,    9
 23336,257153,19750312,    0,    0
 23336,257153,19750313,    0,    0
 23336,257153,19750314,-9999,    9
 23336,257153,19750315,-9999,    9
 23336,257153,19750316,    0,    0
 23336,257153,19750317,-9999,    9
 23336,257153,19750318,-9999,    9
 23336,257153,19750319,-9999,    9
 23336,257153,19750320,    0,    0
 23336,257153,19750321,-9999,    9
 23336,257153,19750322,  249,    0
 23336,257153,19750323,-9999,    9
 23336,257153,19750324,-9999,    9
 23336,257153,19750325,-9999,    9
 23336,257153,19750326,-9999,    9
 23336,257153,19750327,-9999,    9
 23336,257153,19750328,-9999,    9
 23336,257153,19750329,-9999,    9
 23336,257153,19750330,    0,    0
 23336,257153,19750331,    0,    0
 23336,257153,19750401,    0,    0
 23336,257153,19750402,   10,    0
 23336,257153,19750403,    5,    0
 23336,257153,19750404,-9999,    9
 23336,257153,19750405,-9999,    9
 23336,257153,19750406,    0,    0
 23336,257153,19750407,-9999,    9
 23336,257153,19750408,-9999,    9
 23336,257153,19750409,-9999,    9
 23336,257153,19750410,-9999,    9
 23336,257153,19750411,-9999,    9
 23336,257153,19750412,-9999,    9
 23336,257153,19750413,-9999,    9
 23336,257153,19750414,-9999,    9
 23336,257153,19750415,    0,    0
 23336,257153,19750416,-9999,    9
 23336,257153,19750417,-9999,    9
 23336,257153,19750418,-9999,    9
 23336,257153,19750419,-9999,    9
 23336,257153,19750420,-9999,    9
 23336,257153,19750421,-9999,    9
 23336,257153,19750422,-9999,    9
 23336,257153,19750423,    0,    0
 23336,257153,19750424,-9999,    9
 23336,257153,19750425,-9999,    9
 23336,257153,19750426,-9999,    9
 23336,257153,19750427,-9999,    9
 23336,257153,19750428,-9999,    9
 23336,257153,19750429,-9999,    9
 23336,257153,19750430,-9999,    9
 23336,257153,19750501,    0,    0
 23336,257153,19750502,-9999,    9
 23336,257153,19750503,-9999,    9
 23336,257153,19750504,-9999,    9
 23336,257153,19750505,   79,    0
 23336,257153,19750506,-9999,    9
 23336,257153,19750507,    5,    0
 23336,257153,19750508,-9999,    9
 23336,257153,19750509,-9999,    9
 23336,257153,19750510,-9999,    9
 23336,257153,19750511,-9999,    9
 23336,257153,19750512,-9999,    9
 23336,257153,19750513,-9999,    9
 23336,257153,19750514,-9999,    9
 23336,257153,19750515,   10,    0
 23336,257153,19750516,-9999,    9
 23336,257153,19750517,-9999,    9
 23336,257153,19750518,-9999,    9
 23336,257153,19750519,   61,    0
 23336,257153,19750520,-9999,    9
 23336,257153,19750521,-9999,    9
 23336,257153,19750522,-9999,    9
 23336,257153,19750523,-9999,    9
 23336,257153,19750524,-9999,    9
 23336,257153,19750525,-9999,    9
 23336,257153,19750526,    0,    0
 23336,257153,19750527,-9999,    9
 23336,257153,19750528,-9999,    9
 23336,257153,19750529,-9999,    9
 23336,257153,19750530,-9999,    9
 23336,257153,19750531,-9999,    9
 23336,257153,19750601,-9999,    9
 23336,257153,19750602,-9999,    9
 23336,257153,19750603,-9999,    9
 23336,257153,19750604,   61,    0
 23336,257153,19750605,-9999,    9
 23336,257153,19750606,-9999,    9
 23336,257153,19750607,    5,    0
 23336,257153,19750608,    5,    0
 23336,257153,19750609,-9999,    9
 23336,257153,19750610,   10,    0
 23336,257153,19750611,-9999,    9
 23336,257153,19750612,    0,    0
 23336,257153,19750613,-9999,    9
 23336,257153,19750614,-9999,    9
 23336,257153,19750615,    0,    0
 23336,257153,19750616,-9999,    9
 23336,257153,19750617,   10,    0
 23336,257153,19750618,   41,    0
 23336,257153,19750619,    0,    0
 23336,257153,19750620,    0,    0
 23336,257153,19750621,-9999,    9
 23336,257153,19750622,   51,    0
 23336,257153,19750623,-9999,    9
 23336,257153,19750624,   71,    0
 23336,257153,19750625,    0,    0
 23336,257153,19750626,  201,    0
 23336,257153,19750627,    0,    0
 23336,257153,19750628,    0,    0
 23336,257153,19750629,-9999,    9
 23336,257153,19750630,-9999,    9
 23336,257153,19750701,-9999,    9
 23336,257153,19750702,-9999,    9
 23336,257153,19750703,    0,    0
 23336,257153,19750704,-9999,    9
 23336,257153,19750705,    0,    0
 23336,257153,19750706,-9999,    9
 23336,257153,19750707,  150,    0
 23336,257153,19750708,    0,    0
 23336,257153,19750709,    0,    0
 23336,257153,19750710,    0,    0
 23336,257153,19750711,    0,    0
 23336,257153,19750712,    5,    0
 23336,257153,19750713,-9999,    9
 23336,257153,19750714,-9999,    9
 23336,257153,19750715,    0,    0
 23336,257153,19750716,    0,    0
 23336,257153,19750717,-9999,    9
 23336,257153,19750718,-9999,    9
 23336,257153,19750719,    0,    0
 23336,257153,19750720,    0,    0
 23336,257153,19750721,   20,    0
 23336,257153,19750722,-9999,    9
 23336,257153,19750723,    0,    0
 23336,257153,19750724,    0,    0
 23336,257153,19750725,-9999,    9
 23336,257153,19750726,-9999,    9
 23336,257153,19750727,-9999,    9
 23336,257153,19750728,-9999,    9
 23336,257153,19750729,-9999,    9
 23336,257153,19750730,    0,    0
 23336,257153,19750731,    0,    0
 23336,257153,19750801,    0,    0
 23336,257153,19750802,   30,    0
 23336,257153,19750803,    0,    0
 23336,257153,19750804,    3,    0
