EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 257160) of station LOM, BULGARIA (STAID:  23337)

 STAID,    SOUID,    DATE,   RR, Q_RR
 23337,257160,19520101,-9999,    9
 23337,257160,19520102,-9999,    9
 23337,257160,19520103,-9999,    9
 23337,257160,19520104,-9999,    9
 23337,257160,19520105,-9999,    9
 23337,257160,19520106,-9999,    9
 23337,257160,19520107,-9999,    9
 23337,257160,19520108,-9999,    9
 23337,257160,19520109,-9999,    9
 23337,257160,19520110,-9999,    9
 23337,257160,19520111,-9999,    9
 23337,257160,19520112,-9999,    9
 23337,257160,19520113,-9999,    9
 23337,257160,19520114,-9999,    9
 23337,257160,19520115,-9999,    9
 23337,257160,19520116,-9999,    9
 23337,257160,19520117,-9999,    9
 23337,257160,19520118,-9999,    9
 23337,257160,19520119,-9999,    9
 23337,257160,19520120,-9999,    9
 23337,257160,19520121,-9999,    9
 23337,257160,19520122,-9999,    9
 23337,257160,19520123,-9999,    9
 23337,257160,19520124,-9999,    9
 23337,257160,19520125,-9999,    9
 23337,257160,19520126,    3,    0
 23337,257160,19520127,-9999,    9
 23337,257160,19520128,-9999,    9
 23337,257160,19520129,-9999,    9
 23337,257160,19520130,-9999,    9
 23337,257160,19520131,-9999,    9
 23337,257160,19520201,-9999,    9
 23337,257160,19520202,-9999,    9
 23337,257160,19520203,-9999,    9
 23337,257160,19520204,-9999,    9
 23337,257160,19520205,-9999,    9
 23337,257160,19520206,-9999,    9
 23337,257160,19520207,-9999,    9
 23337,257160,19520208,-9999,    9
 23337,257160,19520209,-9999,    9
 23337,257160,19520210,-9999,    9
 23337,257160,19520211,-9999,    9
 23337,257160,19520212,-9999,    9
 23337,257160,19520213,-9999,    9
 23337,257160,19520214,-9999,    9
 23337,257160,19520215,-9999,    9
 23337,257160,19520216,-9999,    9
 23337,257160,19520217,-9999,    9
 23337,257160,19520218,-9999,    9
 23337,257160,19520219,-9999,    9
 23337,257160,19520220,-9999,    9
 23337,257160,19520221,-9999,    9
 23337,257160,19520222,-9999,    9
 23337,257160,19520223,-9999,    9
 23337,257160,19520224,-9999,    9
 23337,257160,19520225,    0,    0
 23337,257160,19520226,-9999,    9
 23337,257160,19520227,-9999,    9
 23337,257160,19520228,-9999,    9
 23337,257160,19520229,-9999,    9
 23337,257160,19520301,-9999,    9
 23337,257160,19520302,-9999,    9
 23337,257160,19520303,-9999,    9
 23337,257160,19520304,-9999,    9
 23337,257160,19520305,-9999,    9
 23337,257160,19520306,-9999,    9
 23337,257160,19520307,-9999,    9
 23337,257160,19520308,-9999,    9
 23337,257160,19520309,-9999,    9
 23337,257160,19520310,-9999,    9
 23337,257160,19520311,-9999,    9
 23337,257160,19520312,-9999,    9
 23337,257160,19520313,-9999,    9
 23337,257160,19520314,-9999,    9
 23337,257160,19520315,-9999,    9
 23337,257160,19520316,-9999,    9
 23337,257160,19520317,-9999,    9
 23337,257160,19520318,-9999,    9
 23337,257160,19520319,-9999,    9
 23337,257160,19520320,-9999,    9
 23337,257160,19520321,-9999,    9
 23337,257160,19520322,-9999,    9
 23337,257160,19520323,-9999,    9
 23337,257160,19520324,-9999,    9
 23337,257160,19520325,-9999,    9
 23337,257160,19520326,-9999,    9
 23337,257160,19520327,-9999,    9
 23337,257160,19520328,-9999,    9
 23337,257160,19520329,-9999,    9
 23337,257160,19520330,-9999,    9
 23337,257160,19520331,-9999,    9
 23337,257160,19520401,-9999,    9
 23337,257160,19520402,-9999,    9
 23337,257160,19520403,-9999,    9
 23337,257160,19520404,-9999,    9
 23337,257160,19520405,-9999,    9
 23337,257160,19520406,-9999,    9
 23337,257160,19520407,-9999,    9
 23337,257160,19520408,-9999,    9
 23337,257160,19520409,-9999,    9
 23337,257160,19520410,    0,    0
 23337,257160,19520411,-9999,    9
 23337,257160,19520412,-9999,    9
 23337,257160,19520413,-9999,    9
 23337,257160,19520414,-9999,    9
 23337,257160,19520415,-9999,    9
 23337,257160,19520416,-9999,    9
 23337,257160,19520417,-9999,    9
 23337,257160,19520418,-9999,    9
 23337,257160,19520419,    0,    0
 23337,257160,19520420,-9999,    9
 23337,257160,19520421,-9999,    9
 23337,257160,19520422,-9999,    9
 23337,257160,19520423,-9999,    9
 23337,257160,19520424,-9999,    9
 23337,257160,19520425,-9999,    9
 23337,257160,19520426,-9999,    9
 23337,257160,19520427,-9999,    9
 23337,257160,19520428,-9999,    9
 23337,257160,19520429,-9999,    9
 23337,257160,19520430,-9999,    9
 23337,257160,19520501,-9999,    9
 23337,257160,19520502,-9999,    9
 23337,257160,19520503,-9999,    9
 23337,257160,19520504,-9999,    9
 23337,257160,19520505,-9999,    9
 23337,257160,19520506,-9999,    9
 23337,257160,19520507,    0,    0
 23337,257160,19520508,-9999,    9
 23337,257160,19520509,-9999,    9
 23337,257160,19520510,-9999,    9
 23337,257160,19520511,-9999,    9
 23337,257160,19520512,-9999,    9
 23337,257160,19520513,-9999,    9
 23337,257160,19520514,-9999,    9
 23337,257160,19520515,   41,    0
 23337,257160,19520516,-9999,    9
 23337,257160,19520517,-9999,    9
 23337,257160,19520518,   51,    0
 23337,257160,19520519,-9999,    9
 23337,257160,19520520,-9999,    9
 23337,257160,19520521,   30,    0
 23337,257160,19520522,-9999,    9
 23337,257160,19520523,-9999,    9
 23337,257160,19520524,-9999,    9
 23337,257160,19520525,-9999,    9
 23337,257160,19520526,-9999,    9
 23337,257160,19520527,-9999,    9
 23337,257160,19520528,-9999,    9
 23337,257160,19520529,-9999,    9
 23337,257160,19520530,-9999,    9
 23337,257160,19520531,-9999,    9
 23337,257160,19520601,-9999,    9
 23337,257160,19520602,-9999,    9
 23337,257160,19520603,-9999,    9
 23337,257160,19520604,-9999,    9
 23337,257160,19520605,-9999,    9
 23337,257160,19520606,-9999,    9
 23337,257160,19520607,-9999,    9
 23337,257160,19520608,-9999,    9
 23337,257160,19520609,-9999,    9
 23337,257160,19520610,-9999,    9
 23337,257160,19520611,-9999,    9
 23337,257160,19520612,-9999,    9
 23337,257160,19520613,-9999,    9
 23337,257160,19520614,-9999,    9
 23337,257160,19520615,-9999,    9
 23337,257160,19520616,-9999,    9
 23337,257160,19520617,-9999,    9
 23337,257160,19520618,-9999,    9
 23337,257160,19520619,-9999,    9
 23337,257160,19520620,-9999,    9
 23337,257160,19520621,    3,    0
 23337,257160,19520622,    0,    0
 23337,257160,19520623,    0,    0
 23337,257160,19520624,-9999,    9
 23337,257160,19520625,-9999,    9
 23337,257160,19520626,-9999,    9
 23337,257160,19520627,-9999,    9
 23337,257160,19520628,-9999,    9
 23337,257160,19520629,-9999,    9
 23337,257160,19520630,-9999,    9
 23337,257160,19520701,-9999,    9
 23337,257160,19520702,-9999,    9
 23337,257160,19520703,-9999,    9
 23337,257160,19520704,-9999,    9
 23337,257160,19520705,-9999,    9
 23337,257160,19520706,-9999,    9
 23337,257160,19520707,-9999,    9
 23337,257160,19520708,-9999,    9
 23337,257160,19520709,-9999,    9
 23337,257160,19520710,-9999,    9
 23337,257160,19520711,-9999,    9
 23337,257160,19520712,-9999,    9
 23337,257160,19520713,-9999,    9
 23337,257160,19520714,    0,    0
 23337,257160,19520715,-9999,    9
 23337,257160,19520716,-9999,    9
 23337,257160,19520717,-9999,    9
 23337,257160,19520718,-9999,    9
 23337,257160,19520719,-9999,    9
 23337,257160,19520720,-9999,    9
 23337,257160,19520721,-9999,    9
 23337,257160,19520722,-9999,    9
 23337,257160,19520723,-9999,    9
 23337,257160,19520724,-9999,    9
 23337,257160,19520725,-9999,    9
 23337,257160,19520726,-9999,    9
 23337,257160,19520727,-9999,    9
 23337,257160,19520728,-9999,    9
 23337,257160,19520729,-9999,    9
 23337,257160,19520730,-9999,    9
 23337,257160,19520731,-9999,    9
 23337,257160,19520801,-9999,    9
 23337,257160,19520802,-9999,    9
 23337,257160,19520803,-9999,    9
 23337,257160,19520804,-9999,    9
 23337,257160,19520805,-9999,    9
 23337,257160,19520806,-9999,    9
 23337,257160,19520807,-9999,    9
 23337,257160,19520808,-9999,    9
 23337,257160,19520809,-9999,    9
 23337,257160,19520810,-9999,    9
 23337,257160,19520811,-9999,    9
 23337,257160,19520812,-9999,    9
 23337,257160,19520813,-9999,    9
 23337,257160,19520814,-9999,    9
 23337,257160,19520815,-9999,    9
 23337,257160,19520816,-9999,    9
 23337,257160,19520817,-9999,    9
 23337,257160,19520818,-9999,    9
 23337,257160,19520819,-9999,    9
 23337,257160,19520820,-9999,    9
 23337,257160,19520821,-9999,    9
 23337,257160,19520822,-9999,    9
 23337,257160,19520823,-9999,    9
 23337,257160,19520824,-9999,    9
 23337,257160,19520825,-9999,    9
 23337,257160,19520826,-9999,    9
 23337,257160,19520827,-9999,    9
 23337,257160,19520828,-9999,    9
 23337,257160,19520829,-9999,    9
 23337,257160,19520830,-9999,    9
 23337,257160,19520831,-9999,    9
 23337,257160,19520901,-9999,    9
 23337,257160,19520902,-9999,    9
 23337,257160,19520903,-9999,    9
 23337,257160,19520904,-9999,    9
 23337,257160,19520905,-9999,    9
 23337,257160,19520906,-9999,    9
 23337,257160,19520907,-9999,    9
 23337,257160,19520908,-9999,    9
 23337,257160,19520909,-9999,    9
 23337,257160,19520910,-9999,    9
 23337,257160,19520911,-9999,    9
 23337,257160,19520912,-9999,    9
 23337,257160,19520913,-9999,    9
 23337,257160,19520914,-9999,    9
 23337,257160,19520915,-9999,    9
 23337,257160,19520916,-9999,    9
 23337,257160,19520917,-9999,    9
 23337,257160,19520918,-9999,    9
 23337,257160,19520919,-9999,    9
 23337,257160,19520920,-9999,    9
 23337,257160,19520921,-9999,    9
 23337,257160,19520922,-9999,    9
 23337,257160,19520923,-9999,    9
 23337,257160,19520924,-9999,    9
 23337,257160,19520925,-9999,    9
 23337,257160,19520926,-9999,    9
 23337,257160,19520927,-9999,    9
 23337,257160,19520928,-9999,    9
 23337,257160,19520929,-9999,    9
 23337,257160,19520930,-9999,    9
 23337,257160,19521001,-9999,    9
 23337,257160,19521002,-9999,    9
 23337,257160,19521003,-9999,    9
 23337,257160,19521004,-9999,    9
 23337,257160,19521005,-9999,    9
 23337,257160,19521006,-9999,    9
 23337,257160,19521007,-9999,    9
 23337,257160,19521008,-9999,    9
 23337,257160,19521009,-9999,    9
 23337,257160,19521010,-9999,    9
 23337,257160,19521011,-9999,    9
 23337,257160,19521012,-9999,    9
 23337,257160,19521013,-9999,    9
 23337,257160,19521014,-9999,    9
 23337,257160,19521015,-9999,    9
 23337,257160,19521016,   20,    0
 23337,257160,19521017,-9999,    9
 23337,257160,19521018,-9999,    9
 23337,257160,19521019,-9999,    9
 23337,257160,19521020,-9999,    9
 23337,257160,19521021,-9999,    9
 23337,257160,19521022,-9999,    9
 23337,257160,19521023,-9999,    9
 23337,257160,19521024,-9999,    9
 23337,257160,19521025,-9999,    9
 23337,257160,19521026,-9999,    9
 23337,257160,19521027,    0,    0
 23337,257160,19521028,-9999,    9
 23337,257160,19521029,-9999,    9
 23337,257160,19521030,-9999,    9
 23337,257160,19521031,-9999,    9
 23337,257160,19521101,-9999,    9
 23337,257160,19521102,-9999,    9
 23337,257160,19521103,-9999,    9
 23337,257160,19521104,-9999,    9
 23337,257160,19521105,-9999,    9
 23337,257160,19521106,-9999,    9
 23337,257160,19521107,-9999,    9
 23337,257160,19521108,-9999,    9
 23337,257160,19521109,-9999,    9
 23337,257160,19521110,-9999,    9
 23337,257160,19521111,-9999,    9
 23337,257160,19521112,-9999,    9
 23337,257160,19521113,-9999,    9
 23337,257160,19521114,-9999,    9
 23337,257160,19521115,-9999,    9
 23337,257160,19521116,-9999,    9
 23337,257160,19521117,-9999,    9
 23337,257160,19521118,-9999,    9
 23337,257160,19521119,-9999,    9
 23337,257160,19521120,-9999,    9
 23337,257160,19521121,-9999,    9
 23337,257160,19521122,-9999,    9
 23337,257160,19521123,-9999,    9
 23337,257160,19521124,-9999,    9
 23337,257160,19521125,-9999,    9
 23337,257160,19521126,-9999,    9
 23337,257160,19521127,-9999,    9
 23337,257160,19521128,-9999,    9
 23337,257160,19521129,-9999,    9
 23337,257160,19521130,-9999,    9
 23337,257160,19521201,-9999,    9
 23337,257160,19521202,-9999,    9
 23337,257160,19521203,-9999,    9
 23337,257160,19521204,-9999,    9
 23337,257160,19521205,-9999,    9
 23337,257160,19521206,-9999,    9
 23337,257160,19521207,-9999,    9
 23337,257160,19521208,-9999,    9
 23337,257160,19521209,-9999,    9
 23337,257160,19521210,-9999,    9
 23337,257160,19521211,-9999,    9
 23337,257160,19521212,-9999,    9
 23337,257160,19521213,-9999,    9
 23337,257160,19521214,-9999,    9
 23337,257160,19521215,-9999,    9
 23337,257160,19521216,-9999,    9
 23337,257160,19521217,-9999,    9
 23337,257160,19521218,-9999,    9
 23337,257160,19521219,-9999,    9
 23337,257160,19521220,-9999,    9
 23337,257160,19521221,-9999,    9
 23337,257160,19521222,-9999,    9
 23337,257160,19521223,-9999,    9
 23337,257160,19521224,-9999,    9
 23337,257160,19521225,-9999,    9
 23337,257160,19521226,-9999,    9
 23337,257160,19521227,-9999,    9
 23337,257160,19521228,-9999,    9
 23337,257160,19521229,-9999,    9
 23337,257160,19521230,-9999,    9
 23337,257160,19521231,-9999,    9
 23337,257160,19530101,-9999,    9
 23337,257160,19530102,   51,    0
 23337,257160,19530103,-9999,    9
 23337,257160,19530104,-9999,    9
 23337,257160,19530105,-9999,    9
 23337,257160,19530106,-9999,    9
 23337,257160,19530107,  201,    0
 23337,257160,19530108,-9999,    9
 23337,257160,19530109,-9999,    9
 23337,257160,19530110,-9999,    9
 23337,257160,19530111,-9999,    9
 23337,257160,19530112,   13,    0
 23337,257160,19530113,-9999,    9
 23337,257160,19530114,-9999,    9
 23337,257160,19530115,-9999,    9
 23337,257160,19530116,-9999,    9
 23337,257160,19530117,-9999,    9
 23337,257160,19530118,-9999,    9
 23337,257160,19530119,-9999,    9
 23337,257160,19530120,    5,    0
 23337,257160,19530121,-9999,    9
 23337,257160,19530122,-9999,    9
 23337,257160,19530123,-9999,    9
 23337,257160,19530124,-9999,    9
 23337,257160,19530125,-9999,    9
 23337,257160,19530126,-9999,    9
 23337,257160,19530127,-9999,    9
 23337,257160,19530128,-9999,    9
 23337,257160,19530129,-9999,    9
 23337,257160,19530130,-9999,    9
 23337,257160,19530131,-9999,    9
 23337,257160,19530201,   20,    0
 23337,257160,19530202,-9999,    9
 23337,257160,19530203,-9999,    9
 23337,257160,19530204,-9999,    9
 23337,257160,19530205,-9999,    9
 23337,257160,19530206,-9999,    9
 23337,257160,19530207,   20,    0
 23337,257160,19530208,   41,    0
 23337,257160,19530209,-9999,    9
 23337,257160,19530210,-9999,    9
 23337,257160,19530211,    0,    0
 23337,257160,19530212,   10,    0
 23337,257160,19530213,    0,    0
 23337,257160,19530214,-9999,    9
 23337,257160,19530215,-9999,    9
 23337,257160,19530216,  191,    0
 23337,257160,19530217,-9999,    9
 23337,257160,19530218,-9999,    9
 23337,257160,19530219,    0,    0
 23337,257160,19530220,-9999,    9
 23337,257160,19530221,-9999,    9
 23337,257160,19530222,-9999,    9
 23337,257160,19530223,-9999,    9
 23337,257160,19530224,-9999,    9
 23337,257160,19530225,-9999,    9
 23337,257160,19530226,    0,    0
 23337,257160,19530227,-9999,    9
 23337,257160,19530228,-9999,    9
 23337,257160,19530301,    5,    0
 23337,257160,19530302,-9999,    9
 23337,257160,19530303,-9999,    9
 23337,257160,19530304,    0,    0
 23337,257160,19530305,-9999,    9
 23337,257160,19530306,-9999,    9
 23337,257160,19530307,-9999,    9
 23337,257160,19530308,-9999,    9
 23337,257160,19530309,-9999,    9
 23337,257160,19530310,-9999,    9
 23337,257160,19530311,-9999,    9
 23337,257160,19530312,-9999,    9
 23337,257160,19530313,-9999,    9
 23337,257160,19530314,-9999,    9
 23337,257160,19530315,-9999,    9
 23337,257160,19530316,    0,    0
 23337,257160,19530317,-9999,    9
 23337,257160,19530318,    0,    0
 23337,257160,19530319,-9999,    9
 23337,257160,19530320,-9999,    9
 23337,257160,19530321,-9999,    9
 23337,257160,19530322,-9999,    9
 23337,257160,19530323,-9999,    9
 23337,257160,19530324,    0,    0
 23337,257160,19530325,-9999,    9
 23337,257160,19530326,-9999,    9
 23337,257160,19530327,-9999,    9
 23337,257160,19530328,-9999,    9
 23337,257160,19530329,-9999,    9
 23337,257160,19530330,-9999,    9
 23337,257160,19530331,-9999,    9
 23337,257160,19530401,-9999,    9
 23337,257160,19530402,-9999,    9
 23337,257160,19530403,    0,    0
 23337,257160,19530404,-9999,    9
 23337,257160,19530405,    0,    0
 23337,257160,19530406,-9999,    9
 23337,257160,19530407,-9999,    9
 23337,257160,19530408,-9999,    9
 23337,257160,19530409,-9999,    9
 23337,257160,19530410,-9999,    9
 23337,257160,19530411,-9999,    9
 23337,257160,19530412,-9999,    9
 23337,257160,19530413,-9999,    9
 23337,257160,19530414,    0,    0
 23337,257160,19530415,    0,    0
 23337,257160,19530416,-9999,    9
 23337,257160,19530417,-9999,    9
 23337,257160,19530418,-9999,    9
 23337,257160,19530419,-9999,    9
 23337,257160,19530420,    0,    0
 23337,257160,19530421,-9999,    9
 23337,257160,19530422,-9999,    9
 23337,257160,19530423,-9999,    9
 23337,257160,19530424,-9999,    9
 23337,257160,19530425,-9999,    9
