EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 257174) of station LOVETCH, BULGARIA (STAID:  23339)

 STAID,    SOUID,    DATE,   RR, Q_RR
 23339,257174,19751101,-9999,    9
 23339,257174,19751102,-9999,    9
 23339,257174,19751103,-9999,    9
 23339,257174,19751104,    0,    0
 23339,257174,19751105,-9999,    9
 23339,257174,19751106,-9999,    9
 23339,257174,19751107,    0,    0
 23339,257174,19751108,-9999,    9
 23339,257174,19751109,-9999,    9
 23339,257174,19751110,    0,    0
 23339,257174,19751111,-9999,    9
 23339,257174,19751112,-9999,    9
 23339,257174,19751113,-9999,    9
 23339,257174,19751114,    0,    0
 23339,257174,19751115,-9999,    9
 23339,257174,19751116,-9999,    9
 23339,257174,19751117,-9999,    9
 23339,257174,19751118,    0,    0
 23339,257174,19751119,-9999,    9
 23339,257174,19751120,    0,    0
 23339,257174,19751121,-9999,    9
 23339,257174,19751122,-9999,    9
 23339,257174,19751123,-9999,    9
 23339,257174,19751124,-9999,    9
 23339,257174,19751125,    0,    0
 23339,257174,19751126,    0,    0
 23339,257174,19751127,-9999,    9
 23339,257174,19751128,-9999,    9
 23339,257174,19751129,-9999,    9
 23339,257174,19751130,-9999,    9
 23339,257174,19751201,    0,    0
 23339,257174,19751202,    0,    0
 23339,257174,19751203,    0,    0
 23339,257174,19751204,    0,    0
 23339,257174,19751205,    0,    0
 23339,257174,19751206,    0,    0
 23339,257174,19751207,-9999,    9
 23339,257174,19751208,    0,    0
 23339,257174,19751209,    0,    0
 23339,257174,19751210,    0,    0
 23339,257174,19751211,    0,    0
 23339,257174,19751212,    0,    0
 23339,257174,19751213,    0,    0
 23339,257174,19751214,    0,    0
 23339,257174,19751215,-9999,    9
 23339,257174,19751216,    0,    0
 23339,257174,19751217,    0,    0
 23339,257174,19751218,-9999,    9
 23339,257174,19751219,-9999,    9
 23339,257174,19751220,-9999,    9
 23339,257174,19751221,-9999,    9
 23339,257174,19751222,    0,    0
 23339,257174,19751223,-9999,    9
 23339,257174,19751224,    0,    0
 23339,257174,19751225,    0,    0
 23339,257174,19751226,-9999,    9
 23339,257174,19751227,-9999,    9
 23339,257174,19751228,    0,    0
 23339,257174,19751229,-9999,    9
 23339,257174,19751230,-9999,    9
 23339,257174,19751231,-9999,    9
 23339,257174,19760101,-9999,    9
 23339,257174,19760102,    0,    0
 23339,257174,19760103,-9999,    9
 23339,257174,19760104,-9999,    9
 23339,257174,19760105,-9999,    9
 23339,257174,19760106,-9999,    9
 23339,257174,19760107,-9999,    9
 23339,257174,19760108,    0,    0
 23339,257174,19760109,    0,    0
 23339,257174,19760110,-9999,    9
 23339,257174,19760111,-9999,    9
 23339,257174,19760112,-9999,    9
 23339,257174,19760113,-9999,    9
 23339,257174,19760114,-9999,    9
 23339,257174,19760115,-9999,    9
 23339,257174,19760116,-9999,    9
 23339,257174,19760117,-9999,    9
 23339,257174,19760118,    0,    0
 23339,257174,19760119,    0,    0
 23339,257174,19760120,    0,    0
 23339,257174,19760121,-9999,    9
 23339,257174,19760122,    0,    0
 23339,257174,19760123,-9999,    9
 23339,257174,19760124,    0,    0
 23339,257174,19760125,    0,    0
 23339,257174,19760126,-9999,    9
 23339,257174,19760127,-9999,    9
 23339,257174,19760128,    3,    0
 23339,257174,19760129,-9999,    9
 23339,257174,19760130,    0,    0
 23339,257174,19760131,    0,    0
 23339,257174,19760201,    3,    0
 23339,257174,19760202,    0,    0
 23339,257174,19760203,   25,    0
 23339,257174,19760204,-9999,    9
 23339,257174,19760205,    0,    0
 23339,257174,19760206,    5,    0
 23339,257174,19760207,-9999,    9
 23339,257174,19760208,-9999,    9
 23339,257174,19760209,-9999,    9
 23339,257174,19760210,    0,    0
 23339,257174,19760211,   10,    0
 23339,257174,19760212,   20,    0
 23339,257174,19760213,-9999,    9
 23339,257174,19760214,-9999,    9
