EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 257202) of station SVICHTOV, BULGARIA (STAID:  23343)

 STAID,    SOUID,    DATE,   RR, Q_RR
 23343,257202,19530301,-9999,    9
 23343,257202,19530302,-9999,    9
 23343,257202,19530303,-9999,    9
 23343,257202,19530304,    0,    0
 23343,257202,19530305,-9999,    9
 23343,257202,19530306,-9999,    9
 23343,257202,19530307,-9999,    9
 23343,257202,19530308,-9999,    9
 23343,257202,19530309,-9999,    9
 23343,257202,19530310,-9999,    9
 23343,257202,19530311,-9999,    9
 23343,257202,19530312,-9999,    9
 23343,257202,19530313,-9999,    9
 23343,257202,19530314,-9999,    9
 23343,257202,19530315,-9999,    9
 23343,257202,19530316,-9999,    9
 23343,257202,19530317,-9999,    9
 23343,257202,19530318,-9999,    9
 23343,257202,19530319,-9999,    9
 23343,257202,19530320,-9999,    9
 23343,257202,19530321,-9999,    9
 23343,257202,19530322,-9999,    9
 23343,257202,19530323,-9999,    9
 23343,257202,19530324,-9999,    9
 23343,257202,19530325,-9999,    9
 23343,257202,19530326,-9999,    9
 23343,257202,19530327,-9999,    9
 23343,257202,19530328,-9999,    9
 23343,257202,19530329,-9999,    9
 23343,257202,19530330,-9999,    9
 23343,257202,19530331,-9999,    9
 23343,257202,19530401,-9999,    9
 23343,257202,19530402,-9999,    9
 23343,257202,19530403,-9999,    9
 23343,257202,19530404,-9999,    9
 23343,257202,19530405,    0,    0
 23343,257202,19530406,-9999,    9
 23343,257202,19530407,-9999,    9
 23343,257202,19530408,-9999,    9
 23343,257202,19530409,-9999,    9
 23343,257202,19530410,-9999,    9
 23343,257202,19530411,   61,    0
 23343,257202,19530412,-9999,    9
 23343,257202,19530413,-9999,    9
 23343,257202,19530414,-9999,    9
 23343,257202,19530415,-9999,    9
 23343,257202,19530416,-9999,    9
 23343,257202,19530417,-9999,    9
 23343,257202,19530418,-9999,    9
 23343,257202,19530419,-9999,    9
 23343,257202,19530420,    0,    0
 23343,257202,19530421,-9999,    9
 23343,257202,19530422,-9999,    9
 23343,257202,19530423,    0,    0
 23343,257202,19530424,-9999,    9
 23343,257202,19530425,    5,    0
 23343,257202,19530426,    0,    0
 23343,257202,19530427,    0,    0
 23343,257202,19530428,-9999,    9
 23343,257202,19530429,-9999,    9
 23343,257202,19530430,-9999,    9
 23343,257202,19530501,-9999,    9
 23343,257202,19530502,  130,    0
 23343,257202,19530503,-9999,    9
 23343,257202,19530504,-9999,    9
 23343,257202,19530505,-9999,    9
 23343,257202,19530506,   51,    0
 23343,257202,19530507,-9999,    9
 23343,257202,19530508,-9999,    9
 23343,257202,19530509,-9999,    9
 23343,257202,19530510,-9999,    9
 23343,257202,19530511,-9999,    9
 23343,257202,19530512,-9999,    9
 23343,257202,19530513,-9999,    9
 23343,257202,19530514,    0,    0
 23343,257202,19530515,-9999,    9
 23343,257202,19530516,-9999,    9
 23343,257202,19530517,    0,    0
 23343,257202,19530518,-9999,    9
 23343,257202,19530519,-9999,    9
 23343,257202,19530520,-9999,    9
 23343,257202,19530521,-9999,    9
 23343,257202,19530522,-9999,    9
 23343,257202,19530523,-9999,    9
 23343,257202,19530524,-9999,    9
 23343,257202,19530525,-9999,    9
 23343,257202,19530526,-9999,    9
 23343,257202,19530527,-9999,    9
 23343,257202,19530528,    0,    0
 23343,257202,19530529,-9999,    9
 23343,257202,19530530,-9999,    9
 23343,257202,19530531,-9999,    9
 23343,257202,19530601,-9999,    9
 23343,257202,19530602,-9999,    9
 23343,257202,19530603,-9999,    9
 23343,257202,19530604,-9999,    9
 23343,257202,19530605,    0,    0
 23343,257202,19530606,-9999,    9
 23343,257202,19530607,-9999,    9
 23343,257202,19530608,-9999,    9
 23343,257202,19530609,-9999,    9
 23343,257202,19530610,-9999,    9
 23343,257202,19530611,-9999,    9
 23343,257202,19530612,-9999,    9
 23343,257202,19530613,-9999,    9
 23343,257202,19530614,-9999,    9
 23343,257202,19530615,-9999,    9
 23343,257202,19530616,-9999,    9
 23343,257202,19530617,-9999,    9
 23343,257202,19530618,-9999,    9
 23343,257202,19530619,-9999,    9
 23343,257202,19530620,-9999,    9
 23343,257202,19530621,-9999,    9
 23343,257202,19530622,-9999,    9
 23343,257202,19530623,-9999,    9
 23343,257202,19530624,  170,    0
 23343,257202,19530625,-9999,    9
 23343,257202,19530626,-9999,    9
 23343,257202,19530627,-9999,    9
 23343,257202,19530628,-9999,    9
 23343,257202,19530629,   20,    0
 23343,257202,19530630,    0,    0
 23343,257202,19530701,-9999,    9
 23343,257202,19530702,-9999,    9
 23343,257202,19530703,-9999,    9
 23343,257202,19530704,-9999,    9
 23343,257202,19530705,-9999,    9
 23343,257202,19530706,-9999,    9
 23343,257202,19530707,-9999,    9
 23343,257202,19530708,-9999,    9
 23343,257202,19530709,    0,    0
 23343,257202,19530710,-9999,    9
 23343,257202,19530711,-9999,    9
 23343,257202,19530712,-9999,    9
 23343,257202,19530713,-9999,    9
 23343,257202,19530714,-9999,    9
 23343,257202,19530715,-9999,    9
 23343,257202,19530716,-9999,    9
 23343,257202,19530717,-9999,    9
 23343,257202,19530718,    0,    0
 23343,257202,19530719,-9999,    9
 23343,257202,19530720,-9999,    9
 23343,257202,19530721,-9999,    9
 23343,257202,19530722,-9999,    9
 23343,257202,19530723,-9999,    9
 23343,257202,19530724,-9999,    9
 23343,257202,19530725,-9999,    9
 23343,257202,19530726,-9999,    9
 23343,257202,19530727,-9999,    9
 23343,257202,19530728,    0,    0
 23343,257202,19530729,-9999,    9
 23343,257202,19530730,-9999,    9
 23343,257202,19530731,-9999,    9
 23343,257202,19530801,-9999,    9
 23343,257202,19530802,-9999,    9
 23343,257202,19530803,-9999,    9
 23343,257202,19530804,-9999,    9
 23343,257202,19530805,-9999,    9
 23343,257202,19530806,-9999,    9
 23343,257202,19530807,-9999,    9
 23343,257202,19530808,-9999,    9
 23343,257202,19530809,-9999,    9
 23343,257202,19530810,-9999,    9
 23343,257202,19530811,-9999,    9
 23343,257202,19530812,-9999,    9
 23343,257202,19530813,-9999,    9
 23343,257202,19530814,    0,    0
 23343,257202,19530815,-9999,    9
 23343,257202,19530816,-9999,    9
 23343,257202,19530817,-9999,    9
 23343,257202,19530818,-9999,    9
 23343,257202,19530819,    0,    0
 23343,257202,19530820,-9999,    9
 23343,257202,19530821,-9999,    9
 23343,257202,19530822,-9999,    9
 23343,257202,19530823,-9999,    9
 23343,257202,19530824,-9999,    9
 23343,257202,19530825,-9999,    9
 23343,257202,19530826,-9999,    9
 23343,257202,19530827,-9999,    9
 23343,257202,19530828,-9999,    9
 23343,257202,19530829,-9999,    9
 23343,257202,19530830,-9999,    9
 23343,257202,19530831,-9999,    9
 23343,257202,19530901,-9999,    9
 23343,257202,19530902,    0,    0
 23343,257202,19530903,-9999,    9
 23343,257202,19530904,    0,    0
 23343,257202,19530905,-9999,    9
 23343,257202,19530906,-9999,    9
 23343,257202,19530907,    0,    0
 23343,257202,19530908,-9999,    9
 23343,257202,19530909,    0,    0
 23343,257202,19530910,    0,    0
 23343,257202,19530911,-9999,    9
 23343,257202,19530912,    0,    0
 23343,257202,19530913,   30,    0
 23343,257202,19530914,-9999,    9
 23343,257202,19530915,-9999,    9
 23343,257202,19530916,    0,    0
 23343,257202,19530917,-9999,    9
 23343,257202,19530918,-9999,    9
 23343,257202,19530919,-9999,    9
 23343,257202,19530920,-9999,    9
 23343,257202,19530921,-9999,    9
 23343,257202,19530922,    0,    0
 23343,257202,19530923,    0,    0
 23343,257202,19530924,-9999,    9
 23343,257202,19530925,-9999,    9
 23343,257202,19530926,-9999,    9
 23343,257202,19530927,-9999,    9
 23343,257202,19530928,    0,    0
 23343,257202,19530929,    0,    0
 23343,257202,19530930,    0,    0
 23343,257202,19531001,-9999,    9
 23343,257202,19531002,-9999,    9
 23343,257202,19531003,-9999,    9
 23343,257202,19531004,-9999,    9
 23343,257202,19531005,    0,    0
 23343,257202,19531006,   10,    0
 23343,257202,19531007,    0,    0
 23343,257202,19531008,    5,    0
 23343,257202,19531009,  226,    0
 23343,257202,19531010,-9999,    9
 23343,257202,19531011,-9999,    9
 23343,257202,19531012,   89,    0
 23343,257202,19531013,-9999,    9
 23343,257202,19531014,-9999,    9
 23343,257202,19531015,-9999,    9
 23343,257202,19531016,    3,    0
 23343,257202,19531017,-9999,    9
 23343,257202,19531018,    5,    0
 23343,257202,19531019,    0,    0
 23343,257202,19531020,-9999,    9
 23343,257202,19531021,-9999,    9
 23343,257202,19531022,    0,    0
 23343,257202,19531023,-9999,    9
 23343,257202,19531024,-9999,    9
 23343,257202,19531025,    0,    0
 23343,257202,19531026,-9999,    9
 23343,257202,19531027,    0,    0
 23343,257202,19531028,    0,    0
 23343,257202,19531029,   20,    0
 23343,257202,19531030,-9999,    9
 23343,257202,19531031,    0,    0
 23343,257202,19531101,-9999,    9
 23343,257202,19531102,-9999,    9
 23343,257202,19531103,-9999,    9
 23343,257202,19531104,-9999,    9
 23343,257202,19531105,-9999,    9
 23343,257202,19531106,-9999,    9
 23343,257202,19531107,  140,    0
 23343,257202,19531108,-9999,    9
 23343,257202,19531109,    0,    0
 23343,257202,19531110,    0,    0
 23343,257202,19531111,    0,    0
 23343,257202,19531112,-9999,    9
 23343,257202,19531113,-9999,    9
 23343,257202,19531114,-9999,    9
 23343,257202,19531115,    0,    0
 23343,257202,19531116,    0,    0
 23343,257202,19531117,    0,    0
 23343,257202,19531118,-9999,    9
 23343,257202,19531119,-9999,    9
 23343,257202,19531120,    0,    0
 23343,257202,19531121,    0,    0
 23343,257202,19531122,    0,    0
 23343,257202,19531123,    5,    0
 23343,257202,19531124,-9999,    9
 23343,257202,19531125,-9999,    9
 23343,257202,19531126,-9999,    9
 23343,257202,19531127,    0,    0
 23343,257202,19531128,    0,    0
 23343,257202,19531129,    0,    0
 23343,257202,19531130,    5,    0
 23343,257202,19531201,    0,    0
 23343,257202,19531202,    0,    0
 23343,257202,19531203,    0,    0
 23343,257202,19531204,    0,    0
 23343,257202,19531205,-9999,    9
 23343,257202,19531206,-9999,    9
 23343,257202,19531207,    0,    0
 23343,257202,19531208,    0,    0
 23343,257202,19531209,-9999,    9
 23343,257202,19531210,-9999,    9
 23343,257202,19531211,    0,    0
 23343,257202,19531212,-9999,    9
 23343,257202,19531213,    0,    0
 23343,257202,19531214,-9999,    9
 23343,257202,19531215,    0,    0
 23343,257202,19531216,    5,    0
 23343,257202,19531217,-9999,    9
 23343,257202,19531218,    5,    0
 23343,257202,19531219,    0,    0
 23343,257202,19531220,-9999,    9
 23343,257202,19531221,-9999,    9
 23343,257202,19531222,-9999,    9
 23343,257202,19531223,   23,    0
 23343,257202,19531224,    5,    0
 23343,257202,19531225,-9999,    9
 23343,257202,19531226,    0,    0
 23343,257202,19531227,-9999,    9
 23343,257202,19531228,    0,    0
 23343,257202,19531229,-9999,    9
 23343,257202,19531230,-9999,    9
 23343,257202,19531231,-9999,    9
 23343,257202,19540101,   33,    0
 23343,257202,19540102,   71,    0
 23343,257202,19540103,-9999,    9
 23343,257202,19540104,-9999,    9
 23343,257202,19540105,-9999,    9
 23343,257202,19540106,-9999,    9
 23343,257202,19540107,   20,    0
 23343,257202,19540108,  231,    0
 23343,257202,19540109,-9999,    9
 23343,257202,19540110,-9999,    9
 23343,257202,19540111,   10,    0
 23343,257202,19540112,-9999,    9
 23343,257202,19540113,-9999,    9
 23343,257202,19540114,-9999,    9
 23343,257202,19540115,  170,    0
 23343,257202,19540116,-9999,    9
 23343,257202,19540117,    0,    0
 23343,257202,19540118,    5,    0
 23343,257202,19540119,    5,    0
 23343,257202,19540120,-9999,    9
 23343,257202,19540121,-9999,    9
 23343,257202,19540122,    0,    0
 23343,257202,19540123,   30,    0
 23343,257202,19540124,-9999,    9
 23343,257202,19540125,    0,    0
 23343,257202,19540126,-9999,    9
 23343,257202,19540127,-9999,    9
 23343,257202,19540128,-9999,    9
 23343,257202,19540129,   25,    0
 23343,257202,19540130,-9999,    9
 23343,257202,19540131,    0,    0
 23343,257202,19540201,-9999,    9
 23343,257202,19540202,-9999,    9
 23343,257202,19540203,-9999,    9
 23343,257202,19540204,-9999,    9
 23343,257202,19540205,-9999,    9
 23343,257202,19540206,-9999,    9
 23343,257202,19540207,-9999,    9
 23343,257202,19540208,-9999,    9
 23343,257202,19540209,-9999,    9
 23343,257202,19540210,-9999,    9
 23343,257202,19540211,    5,    0
 23343,257202,19540212,    0,    0
 23343,257202,19540213,-9999,    9
 23343,257202,19540214,-9999,    9
 23343,257202,19540215,    0,    0
 23343,257202,19540216,    0,    0
 23343,257202,19540217,-9999,    9
 23343,257202,19540218,-9999,    9
 23343,257202,19540219,-9999,    9
 23343,257202,19540220,   33,    0
 23343,257202,19540221,-9999,    9
 23343,257202,19540222,-9999,    9
 23343,257202,19540223,   79,    0
 23343,257202,19540224,   97,    0
 23343,257202,19540225,-9999,    9
 23343,257202,19540226,    0,    0
 23343,257202,19540227,-9999,    9
 23343,257202,19540228,-9999,    9
 23343,257202,19540301,    0,    0
 23343,257202,19540302,    0,    0
 23343,257202,19540303,-9999,    9
 23343,257202,19540304,   10,    0
 23343,257202,19540305,-9999,    9
 23343,257202,19540306,-9999,    9
 23343,257202,19540307,-9999,    9
 23343,257202,19540308,   51,    0
 23343,257202,19540309,   15,    0
 23343,257202,19540310,    5,    0
 23343,257202,19540311,-9999,    9
 23343,257202,19540312,-9999,    9
 23343,257202,19540313,-9999,    9
 23343,257202,19540314,   13,    0
 23343,257202,19540315,    5,    0
 23343,257202,19540316,-9999,    9
 23343,257202,19540317,-9999,    9
 23343,257202,19540318,-9999,    9
 23343,257202,19540319,-9999,    9
 23343,257202,19540320,-9999,    9
 23343,257202,19540321,-9999,    9
 23343,257202,19540322,-9999,    9
 23343,257202,19540323,-9999,    9
 23343,257202,19540324,-9999,    9
 23343,257202,19540325,-9999,    9
 23343,257202,19540326,-9999,    9
 23343,257202,19540327,-9999,    9
 23343,257202,19540328,   36,    0
 23343,257202,19540329,    3,    0
 23343,257202,19540330,  114,    0
 23343,257202,19540331,   20,    0
 23343,257202,19540401,-9999,    9
 23343,257202,19540402,    5,    0
 23343,257202,19540403,  160,    0
 23343,257202,19540404,    5,    0
