EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 257209) of station SHUMEN, BULGARIA (STAID:  23344)

 STAID,    SOUID,    DATE,   RR, Q_RR
 23344,257209,19650701,-9999,    9
 23344,257209,19650702,-9999,    9
 23344,257209,19650703,-9999,    9
 23344,257209,19650704,-9999,    9
 23344,257209,19650705,-9999,    9
 23344,257209,19650706,-9999,    9
 23344,257209,19650707,-9999,    9
 23344,257209,19650708,-9999,    9
 23344,257209,19650709,-9999,    9
 23344,257209,19650710,-9999,    9
 23344,257209,19650711,-9999,    9
 23344,257209,19650712,    0,    0
 23344,257209,19650713,    5,    0
 23344,257209,19650714,-9999,    9
 23344,257209,19650715,-9999,    9
 23344,257209,19650716,    0,    0
 23344,257209,19650717,    0,    0
 23344,257209,19650718,    0,    0
 23344,257209,19650719,    0,    0
 23344,257209,19650720,    0,    0
 23344,257209,19650721,    0,    0
 23344,257209,19650722,    0,    0
 23344,257209,19650723,    0,    0
 23344,257209,19650724,    0,    0
 23344,257209,19650725,    0,    0
 23344,257209,19650726,    0,    0
 23344,257209,19650727,    0,    0
 23344,257209,19650728,    0,    0
 23344,257209,19650729,    0,    0
 23344,257209,19650730,    0,    0
 23344,257209,19650731,    0,    0
 23344,257209,19650801,    0,    0
 23344,257209,19650802,    0,    0
 23344,257209,19650803,   20,    0
 23344,257209,19650804,    0,    0
 23344,257209,19650805,    0,    0
 23344,257209,19650806,    0,    0
 23344,257209,19650807,    0,    0
 23344,257209,19650808,    0,    0
 23344,257209,19650809,    0,    0
 23344,257209,19650810,    0,    0
 23344,257209,19650811,    0,    0
 23344,257209,19650812,    0,    0
 23344,257209,19650813,    0,    0
 23344,257209,19650814,    0,    0
 23344,257209,19650815,    0,    0
 23344,257209,19650816,   51,    0
 23344,257209,19650817,    0,    0
 23344,257209,19650818,    0,    0
 23344,257209,19650819,    0,    0
 23344,257209,19650820,    0,    0
 23344,257209,19650821,    0,    0
 23344,257209,19650822,    5,    0
 23344,257209,19650823,    0,    0
 23344,257209,19650824,    0,    0
 23344,257209,19650825,-9999,    9
 23344,257209,19650826,   51,    0
 23344,257209,19650827,    0,    0
 23344,257209,19650828,   20,    0
 23344,257209,19650829,    0,    0
 23344,257209,19650830,    5,    0
