EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 257237) of station SHABLA, BULGARIA (STAID:  23348)

 STAID,    SOUID,    DATE,   RR, Q_RR
 23348,257237,19750801,-9999,    9
 23348,257237,19750802,-9999,    9
 23348,257237,19750803,-9999,    9
 23348,257237,19750804,-9999,    9
 23348,257237,19750805,-9999,    9
 23348,257237,19750806,-9999,    9
 23348,257237,19750807,-9999,    9
 23348,257237,19750808,-9999,    9
 23348,257237,19750809,-9999,    9
 23348,257237,19750810,-9999,    9
 23348,257237,19750811,-9999,    9
 23348,257237,19750812,-9999,    9
 23348,257237,19750813,-9999,    9
 23348,257237,19750814,-9999,    9
 23348,257237,19750815,-9999,    9
 23348,257237,19750816,-9999,    9
 23348,257237,19750817,-9999,    9
 23348,257237,19750818,-9999,    9
 23348,257237,19750819,-9999,    9
 23348,257237,19750820,-9999,    9
 23348,257237,19750821,-9999,    9
 23348,257237,19750822,-9999,    9
 23348,257237,19750823,-9999,    9
 23348,257237,19750824,-9999,    9
 23348,257237,19750825,-9999,    9
 23348,257237,19750826,-9999,    9
 23348,257237,19750827,-9999,    9
 23348,257237,19750828,-9999,    9
 23348,257237,19750829,-9999,    9
 23348,257237,19750830,-9999,    9
 23348,257237,19750831,    0,    0
 23348,257237,19750901,-9999,    9
 23348,257237,19750902,-9999,    9
 23348,257237,19750903,-9999,    9
 23348,257237,19750904,-9999,    9
 23348,257237,19750905,-9999,    9
 23348,257237,19750906,-9999,    9
 23348,257237,19750907,-9999,    9
 23348,257237,19750908,-9999,    9
 23348,257237,19750909,-9999,    9
 23348,257237,19750910,    0,    0
 23348,257237,19750911,    0,    0
 23348,257237,19750912,    0,    0
 23348,257237,19750913,-9999,    9
