EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 257265) of station DRAGOMAN, BULGARIA (STAID:  23352)

 STAID,    SOUID,    DATE,   RR, Q_RR
 23352,257265,19750801,-9999,    9
 23352,257265,19750802,-9999,    9
 23352,257265,19750803,-9999,    9
 23352,257265,19750804,-9999,    9
 23352,257265,19750805,-9999,    9
 23352,257265,19750806,-9999,    9
 23352,257265,19750807,-9999,    9
 23352,257265,19750808,-9999,    9
 23352,257265,19750809,-9999,    9
 23352,257265,19750810,-9999,    9
 23352,257265,19750811,-9999,    9
 23352,257265,19750812,-9999,    9
 23352,257265,19750813,-9999,    9
 23352,257265,19750814,-9999,    9
 23352,257265,19750815,-9999,    9
 23352,257265,19750816,-9999,    9
 23352,257265,19750817,-9999,    9
 23352,257265,19750818,-9999,    9
 23352,257265,19750819,-9999,    9
 23352,257265,19750820,-9999,    9
 23352,257265,19750821,-9999,    9
 23352,257265,19750822,-9999,    9
 23352,257265,19750823,-9999,    9
 23352,257265,19750824,-9999,    9
 23352,257265,19750825,-9999,    9
 23352,257265,19750826,-9999,    9
 23352,257265,19750827,-9999,    9
 23352,257265,19750828,-9999,    9
 23352,257265,19750829,-9999,    9
 23352,257265,19750830,-9999,    9
 23352,257265,19750831,    0,    0
 23352,257265,19750901,-9999,    9
 23352,257265,19750902,-9999,    9
 23352,257265,19750903,    0,    0
 23352,257265,19750904,-9999,    9
 23352,257265,19750905,-9999,    9
 23352,257265,19750906,    0,    0
 23352,257265,19750907,    0,    0
 23352,257265,19750908,-9999,    9
 23352,257265,19750909,-9999,    9
 23352,257265,19750910,-9999,    9
 23352,257265,19750911,    0,    0
 23352,257265,19750912,    0,    0
 23352,257265,19750913,-9999,    9
 23352,257265,19750914,-9999,    9
 23352,257265,19750915,-9999,    9
 23352,257265,19750916,-9999,    9
 23352,257265,19750917,-9999,    9
 23352,257265,19750918,    0,    0
 23352,257265,19750919,    0,    0
 23352,257265,19750920,    0,    0
 23352,257265,19750921,    0,    0
 23352,257265,19750922,   30,    0
 23352,257265,19750923,    0,    0
 23352,257265,19750924,-9999,    9
 23352,257265,19750925,    0,    0
 23352,257265,19750926,-9999,    9
 23352,257265,19750927,    0,    0
 23352,257265,19750928,-9999,    9
 23352,257265,19750929,-9999,    9
 23352,257265,19750930,    0,    0
 23352,257265,19751001,    0,    0
 23352,257265,19751002,    0,    0
 23352,257265,19751003,    0,    0
 23352,257265,19751004,-9999,    9
 23352,257265,19751005,-9999,    9
 23352,257265,19751006,-9999,    9
 23352,257265,19751007,    0,    0
 23352,257265,19751008,-9999,    9
 23352,257265,19751009,    0,    0
 23352,257265,19751010,-9999,    9
 23352,257265,19751011,-9999,    9
 23352,257265,19751012,-9999,    9
 23352,257265,19751013,    5,    0
 23352,257265,19751014,    3,    0
 23352,257265,19751015,    0,    0
 23352,257265,19751016,    0,    0
 23352,257265,19751017,-9999,    9
 23352,257265,19751018,-9999,    9
 23352,257265,19751019,-9999,    9
 23352,257265,19751020,-9999,    9
 23352,257265,19751021,    0,    0
 23352,257265,19751022,-9999,    9
 23352,257265,19751023,-9999,    9
 23352,257265,19751024,-9999,    9
 23352,257265,19751025,    0,    0
 23352,257265,19751026,    0,    0
 23352,257265,19751027,    0,    0
 23352,257265,19751028,    0,    0
 23352,257265,19751029,    0,    0
 23352,257265,19751030,-9999,    9
 23352,257265,19751031,    0,    0
 23352,257265,19751101,-9999,    9
 23352,257265,19751102,-9999,    9
 23352,257265,19751103,-9999,    9
 23352,257265,19751104,    0,    0
 23352,257265,19751105,-9999,    9
 23352,257265,19751106,-9999,    9
 23352,257265,19751107,-9999,    9
 23352,257265,19751108,-9999,    9
 23352,257265,19751109,-9999,    9
 23352,257265,19751110,    0,    0
 23352,257265,19751111,-9999,    9
 23352,257265,19751112,    0,    0
 23352,257265,19751113,    0,    0
 23352,257265,19751114,-9999,    9
 23352,257265,19751115,-9999,    9
 23352,257265,19751116,-9999,    9
 23352,257265,19751117,-9999,    9
 23352,257265,19751118,    0,    0
 23352,257265,19751119,   30,    0
 23352,257265,19751120,-9999,    9
 23352,257265,19751121,    0,    0
 23352,257265,19751122,-9999,    9
 23352,257265,19751123,   41,    0
 23352,257265,19751124,-9999,    9
 23352,257265,19751125,-9999,    9
 23352,257265,19751126,-9999,    9
 23352,257265,19751127,    0,    0
 23352,257265,19751128,-9999,    9
 23352,257265,19751129,   10,    0
 23352,257265,19751130,-9999,    9
 23352,257265,19751201,-9999,    9
 23352,257265,19751202,-9999,    9
 23352,257265,19751203,-9999,    9
 23352,257265,19751204,    0,    0
 23352,257265,19751205,    0,    0
 23352,257265,19751206,    0,    0
 23352,257265,19751207,   20,    0
 23352,257265,19751208,    0,    0
 23352,257265,19751209,-9999,    9
 23352,257265,19751210,    0,    0
 23352,257265,19751211,    0,    0
 23352,257265,19751212,    0,    0
 23352,257265,19751213,    3,    0
 23352,257265,19751214,    0,    0
 23352,257265,19751215,-9999,    9
 23352,257265,19751216,    0,    0
 23352,257265,19751217,    0,    0
 23352,257265,19751218,-9999,    9
 23352,257265,19751219,-9999,    9
 23352,257265,19751220,   79,    0
 23352,257265,19751221,    3,    0
 23352,257265,19751222,-9999,    9
 23352,257265,19751223,    0,    0
 23352,257265,19751224,-9999,    9
 23352,257265,19751225,    0,    0
 23352,257265,19751226,-9999,    9
 23352,257265,19751227,    0,    0
 23352,257265,19751228,-9999,    9
