EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 257279) of station CHERNI VRAH, BULGARIA (STAID:  16343)

 STAID,    SOUID,    DATE,   RR, Q_RR
 16343,257279,19531101,-9999,    9
 16343,257279,19531102,-9999,    9
 16343,257279,19531103,-9999,    9
 16343,257279,19531104,-9999,    9
 16343,257279,19531105,-9999,    9
 16343,257279,19531106,-9999,    9
 16343,257279,19531107,-9999,    9
 16343,257279,19531108,-9999,    9
 16343,257279,19531109,-9999,    9
 16343,257279,19531110,-9999,    9
 16343,257279,19531111,-9999,    9
 16343,257279,19531112,-9999,    9
 16343,257279,19531113,-9999,    9
 16343,257279,19531114,-9999,    9
 16343,257279,19531115,-9999,    9
 16343,257279,19531116,-9999,    9
 16343,257279,19531117,-9999,    9
 16343,257279,19531118,-9999,    9
 16343,257279,19531119,-9999,    9
 16343,257279,19531120,-9999,    9
 16343,257279,19531121,-9999,    9
 16343,257279,19531122,-9999,    9
 16343,257279,19531123,-9999,    9
 16343,257279,19531124,-9999,    9
 16343,257279,19531125,-9999,    9
 16343,257279,19531126,-9999,    9
 16343,257279,19531127,-9999,    9
 16343,257279,19531128,    0,    0
 16343,257279,19531129,    0,    0
 16343,257279,19531130,    0,    0
 16343,257279,19531201,    0,    0
 16343,257279,19531202,-9999,    9
 16343,257279,19531203,-9999,    9
 16343,257279,19531204,-9999,    9
 16343,257279,19531205,-9999,    9
 16343,257279,19531206,-9999,    9
 16343,257279,19531207,    0,    0
 16343,257279,19531208,-9999,    9
 16343,257279,19531209,    0,    0
 16343,257279,19531210,-9999,    9
 16343,257279,19531211,    0,    0
 16343,257279,19531212,    0,    0
 16343,257279,19531213,-9999,    9
 16343,257279,19531214,    0,    0
 16343,257279,19531215,-9999,    9
 16343,257279,19531216,    0,    0
 16343,257279,19531217,-9999,    9
 16343,257279,19531218,-9999,    9
 16343,257279,19531219,-9999,    9
 16343,257279,19531220,-9999,    9
 16343,257279,19531221,-9999,    9
 16343,257279,19531222,    0,    0
 16343,257279,19531223,   20,    0
 16343,257279,19531224,   15,    0
 16343,257279,19531225,   10,    0
 16343,257279,19531226,    0,    0
 16343,257279,19531227,-9999,    9
 16343,257279,19531228,    0,    0
 16343,257279,19531229,-9999,    9
 16343,257279,19531230,   10,    0
 16343,257279,19531231,-9999,    9
 16343,257279,19540101,   41,    0
 16343,257279,19540102,-9999,    9
 16343,257279,19540103,-9999,    9
 16343,257279,19540104,-9999,    9
 16343,257279,19540105,-9999,    9
 16343,257279,19540106,-9999,    9
 16343,257279,19540107,-9999,    9
 16343,257279,19540108,-9999,    9
 16343,257279,19540109,-9999,    9
 16343,257279,19540110,-9999,    9
 16343,257279,19540111,-9999,    9
 16343,257279,19540112,-9999,    9
 16343,257279,19540113,-9999,    9
 16343,257279,19540114,-9999,    9
 16343,257279,19540115,-9999,    9
 16343,257279,19540116,   41,    0
 16343,257279,19540117,   20,    0
 16343,257279,19540118,-9999,    9
 16343,257279,19540119,-9999,    9
 16343,257279,19540120,-9999,    9
 16343,257279,19540121,-9999,    9
 16343,257279,19540122,-9999,    9
 16343,257279,19540123,-9999,    9
 16343,257279,19540124,-9999,    9
 16343,257279,19540125,   13,    0
 16343,257279,19540126,-9999,    9
 16343,257279,19540127,-9999,    9
 16343,257279,19540128,   79,    0
 16343,257279,19540129,   15,    0
 16343,257279,19540130,-9999,    9
 16343,257279,19540131,-9999,    9
 16343,257279,19540201,-9999,    9
 16343,257279,19540202,-9999,    9
 16343,257279,19540203,-9999,    9
 16343,257279,19540204,-9999,    9
 16343,257279,19540205,   20,    0
 16343,257279,19540206,-9999,    9
 16343,257279,19540207,   41,    0
 16343,257279,19540208,  130,    0
 16343,257279,19540209,-9999,    9
 16343,257279,19540210,-9999,    9
 16343,257279,19540211,-9999,    9
 16343,257279,19540212,    0,    0
 16343,257279,19540213,-9999,    9
 16343,257279,19540214,-9999,    9
 16343,257279,19540215,    0,    0
 16343,257279,19540216,-9999,    9
 16343,257279,19540217,  130,    0
 16343,257279,19540218,-9999,    9
 16343,257279,19540219,-9999,    9
 16343,257279,19540220,-9999,    9
 16343,257279,19540221,-9999,    9
 16343,257279,19540222,-9999,    9
 16343,257279,19540223,-9999,    9
 16343,257279,19540224,-9999,    9
 16343,257279,19540225,    0,    0
 16343,257279,19540226,-9999,    9
 16343,257279,19540227,-9999,    9
 16343,257279,19540228,-9999,    9
 16343,257279,19540301,-9999,    9
 16343,257279,19540302,-9999,    9
 16343,257279,19540303,-9999,    9
 16343,257279,19540304,-9999,    9
 16343,257279,19540305,-9999,    9
 16343,257279,19540306,-9999,    9
 16343,257279,19540307,-9999,    9
 16343,257279,19540308,-9999,    9
 16343,257279,19540309,-9999,    9
 16343,257279,19540310,-9999,    9
 16343,257279,19540311,-9999,    9
 16343,257279,19540312,-9999,    9
 16343,257279,19540313,-9999,    9
 16343,257279,19540314,-9999,    9
 16343,257279,19540315,-9999,    9
 16343,257279,19540316,-9999,    9
 16343,257279,19540317,-9999,    9
 16343,257279,19540318,-9999,    9
 16343,257279,19540319,-9999,    9
 16343,257279,19540320,-9999,    9
 16343,257279,19540321,-9999,    9
 16343,257279,19540322,-9999,    9
 16343,257279,19540323,-9999,    9
 16343,257279,19540324,-9999,    9
 16343,257279,19540325,-9999,    9
 16343,257279,19540326,-9999,    9
 16343,257279,19540327,-9999,    9
 16343,257279,19540328,-9999,    9
 16343,257279,19540329,-9999,    9
 16343,257279,19540330,-9999,    9
 16343,257279,19540331,-9999,    9
 16343,257279,19540401,-9999,    9
 16343,257279,19540402,-9999,    9
 16343,257279,19540403,-9999,    9
 16343,257279,19540404,-9999,    9
 16343,257279,19540405,-9999,    9
 16343,257279,19540406,-9999,    9
 16343,257279,19540407,-9999,    9
 16343,257279,19540408,    0,    0
 16343,257279,19540409,-9999,    9
 16343,257279,19540410,-9999,    9
 16343,257279,19540411,-9999,    9
 16343,257279,19540412,-9999,    9
 16343,257279,19540413,-9999,    9
 16343,257279,19540414,-9999,    9
 16343,257279,19540415,-9999,    9
 16343,257279,19540416,-9999,    9
 16343,257279,19540417,-9999,    9
 16343,257279,19540418,-9999,    9
 16343,257279,19540419,   25,    0
 16343,257279,19540420,-9999,    9
 16343,257279,19540421,-9999,    9
 16343,257279,19540422,-9999,    9
 16343,257279,19540423,-9999,    9
 16343,257279,19540424,-9999,    9
 16343,257279,19540425,-9999,    9
 16343,257279,19540426,-9999,    9
 16343,257279,19540427,-9999,    9
 16343,257279,19540428,-9999,    9
 16343,257279,19540429,-9999,    9
 16343,257279,19540430,-9999,    9
 16343,257279,19540501,-9999,    9
 16343,257279,19540502,-9999,    9
 16343,257279,19540503,-9999,    9
 16343,257279,19540504,-9999,    9
 16343,257279,19540505,-9999,    9
 16343,257279,19540506,-9999,    9
 16343,257279,19540507,-9999,    9
 16343,257279,19540508,-9999,    9
 16343,257279,19540509,-9999,    9
 16343,257279,19540510,-9999,    9
 16343,257279,19540511,-9999,    9
 16343,257279,19540512,-9999,    9
 16343,257279,19540513,-9999,    9
 16343,257279,19540514,-9999,    9
 16343,257279,19540515,-9999,    9
 16343,257279,19540516,-9999,    9
 16343,257279,19540517,-9999,    9
 16343,257279,19540518,-9999,    9
 16343,257279,19540519,-9999,    9
 16343,257279,19540520,-9999,    9
 16343,257279,19540521,-9999,    9
 16343,257279,19540522,-9999,    9
 16343,257279,19540523,    0,    0
 16343,257279,19540524,    5,    0
 16343,257279,19540525,-9999,    9
 16343,257279,19540526,-9999,    9
 16343,257279,19540527,-9999,    9
 16343,257279,19540528,-9999,    9
 16343,257279,19540529,-9999,    9
 16343,257279,19540530,-9999,    9
 16343,257279,19540531,-9999,    9
 16343,257279,19540601,-9999,    9
 16343,257279,19540602,-9999,    9
 16343,257279,19540603,-9999,    9
 16343,257279,19540604,-9999,    9
 16343,257279,19540605,-9999,    9
 16343,257279,19540606,   61,    0
 16343,257279,19540607,   79,    0
 16343,257279,19540608,   41,    0
 16343,257279,19540609,-9999,    9
 16343,257279,19540610,-9999,    9
 16343,257279,19540611,-9999,    9
 16343,257279,19540612,-9999,    9
 16343,257279,19540613,-9999,    9
 16343,257279,19540614,    0,    0
 16343,257279,19540615,    0,    0
 16343,257279,19540616,   10,    0
 16343,257279,19540617,   61,    0
 16343,257279,19540618,-9999,    9
 16343,257279,19540619,-9999,    9
 16343,257279,19540620,-9999,    9
 16343,257279,19540621,-9999,    9
 16343,257279,19540622,-9999,    9
 16343,257279,19540623,   20,    0
 16343,257279,19540624,-9999,    9
 16343,257279,19540625,-9999,    9
 16343,257279,19540626,-9999,    9
 16343,257279,19540627,    0,    0
 16343,257279,19540628,-9999,    9
 16343,257279,19540629,-9999,    9
 16343,257279,19540630,-9999,    9
 16343,257279,19540701,-9999,    9
 16343,257279,19540702,-9999,    9
 16343,257279,19540703,-9999,    9
 16343,257279,19540704,    0,    0
 16343,257279,19540705,-9999,    9
 16343,257279,19540706,-9999,    9
 16343,257279,19540707,-9999,    9
 16343,257279,19540708,-9999,    9
 16343,257279,19540709,-9999,    9
 16343,257279,19540710,-9999,    9
 16343,257279,19540711,-9999,    9
 16343,257279,19540712,-9999,    9
 16343,257279,19540713,    5,    0
 16343,257279,19540714,-9999,    9
 16343,257279,19540715,-9999,    9
 16343,257279,19540716,-9999,    9
 16343,257279,19540717,-9999,    9
 16343,257279,19540718,    0,    0
 16343,257279,19540719,-9999,    9
 16343,257279,19540720,    5,    0
 16343,257279,19540721,-9999,    9
 16343,257279,19540722,    0,    0
 16343,257279,19540723,-9999,    9
 16343,257279,19540724,-9999,    9
 16343,257279,19540725,    0,    0
 16343,257279,19540726,    0,    0
 16343,257279,19540727,    0,    0
 16343,257279,19540728,    0,    0
 16343,257279,19540729,-9999,    9
 16343,257279,19540730,    5,    0
 16343,257279,19540731,-9999,    9
 16343,257279,19540801,-9999,    9
 16343,257279,19540802,-9999,    9
 16343,257279,19540803,-9999,    9
 16343,257279,19540804,-9999,    9
 16343,257279,19540805,-9999,    9
 16343,257279,19540806,-9999,    9
 16343,257279,19540807,-9999,    9
 16343,257279,19540808,-9999,    9
 16343,257279,19540809,-9999,    9
 16343,257279,19540810,-9999,    9
 16343,257279,19540811,    0,    0
 16343,257279,19540812,-9999,    9
 16343,257279,19540813,-9999,    9
 16343,257279,19540814,-9999,    9
 16343,257279,19540815,-9999,    9
 16343,257279,19540816,    0,    0
 16343,257279,19540817,   79,    0
 16343,257279,19540818,-9999,    9
