EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 257293) of station BOTEV VRAH (TOP/SOMMET), BULGARIA (STAID:  23356)

 STAID,    SOUID,    DATE,   RR, Q_RR
 23356,257293,19570701,   20,    0
 23356,257293,19570702,   10,    0
 23356,257293,19570703,    0,    0
 23356,257293,19570704,   20,    0
 23356,257293,19570705,    0,    0
 23356,257293,19570706,    0,    0
 23356,257293,19570707,    0,    0
 23356,257293,19570708,    0,    0
 23356,257293,19570709,    0,    0
 23356,257293,19570710,    5,    0
 23356,257293,19570711,    0,    0
 23356,257293,19570712,-9999,    9
 23356,257293,19570713,   33,    0
 23356,257293,19570714,    0,    0
 23356,257293,19570715,    0,    0
 23356,257293,19570716,    5,    0
 23356,257293,19570717,   33,    0
 23356,257293,19570718,   30,    0
 23356,257293,19570719,    0,    0
 23356,257293,19570720,    0,    0
 23356,257293,19570721,    0,    0
 23356,257293,19570722,   30,    0
 23356,257293,19570723,    0,    0
 23356,257293,19570724,   46,    0
 23356,257293,19570725,    3,    0
 23356,257293,19570726,    0,    0
 23356,257293,19570727,    0,    0
 23356,257293,19570728,    0,    0
 23356,257293,19570729,    0,    0
 23356,257293,19570730,    3,    0
 23356,257293,19570731,   30,    0
 23356,257293,19570801,    0,    0
 23356,257293,19570802,    0,    0
 23356,257293,19570803,    0,    0
 23356,257293,19570804,   10,    0
 23356,257293,19570805,  142,    0
 23356,257293,19570806,    0,    0
 23356,257293,19570807,    0,    0
 23356,257293,19570808,    0,    0
 23356,257293,19570809,    5,    0
 23356,257293,19570810,    0,    0
 23356,257293,19570811,    0,    0
 23356,257293,19570812,    0,    0
 23356,257293,19570813,    0,    0
 23356,257293,19570814,    0,    0
 23356,257293,19570815,    0,    0
 23356,257293,19570816,    0,    0
 23356,257293,19570817,    5,    0
 23356,257293,19570818,    0,    0
 23356,257293,19570819,    0,    0
 23356,257293,19570820,   71,    0
 23356,257293,19570821,   10,    0
 23356,257293,19570822,  109,    0
 23356,257293,19570823,   36,    0
 23356,257293,19570824,    0,    0
 23356,257293,19570825,    0,    0
 23356,257293,19570826,    3,    0
 23356,257293,19570827,   30,    0
 23356,257293,19570828,    0,    0
 23356,257293,19570829,   36,    0
 23356,257293,19570830,    0,    0
 23356,257293,19570831,   15,    0
 23356,257293,19570901,    0,    0
 23356,257293,19570902,   20,    0
 23356,257293,19570903,    5,    0
 23356,257293,19570904,   20,    0
 23356,257293,19570905,  221,    0
 23356,257293,19570906,   41,    0
 23356,257293,19570907,  130,    0
 23356,257293,19570908,   51,    0
 23356,257293,19570909,    0,    0
 23356,257293,19570910,    0,    0
 23356,257293,19570911,    0,    0
 23356,257293,19570912,    0,    0
 23356,257293,19570913,    0,    0
 23356,257293,19570914,    0,    0
 23356,257293,19570915,    5,    0
 23356,257293,19570916,   71,    0
 23356,257293,19570917,   20,    0
 23356,257293,19570918,    0,    0
 23356,257293,19570919,    0,    0
 23356,257293,19570920,    0,    0
 23356,257293,19570921,   10,    0
 23356,257293,19570922,    0,    0
 23356,257293,19570923,    0,    0
 23356,257293,19570924,    0,    0
 23356,257293,19570925,    5,    0
 23356,257293,19570926,-9999,    9
 23356,257293,19570927,   23,    0
 23356,257293,19570928,   20,    0
 23356,257293,19570929,    0,    0
 23356,257293,19570930,    0,    0
 23356,257293,19571001,    0,    0
 23356,257293,19571002,    5,    0
 23356,257293,19571003,  137,    0
 23356,257293,19571004,   41,    0
 23356,257293,19571005,   30,    0
 23356,257293,19571006,-9999,    9
 23356,257293,19571007,    0,    0
 23356,257293,19571008,    0,    0
 23356,257293,19571009,    0,    0
 23356,257293,19571010,    0,    0
 23356,257293,19571011,    0,    0
 23356,257293,19571012,    0,    0
 23356,257293,19571013,    0,    0
 23356,257293,19571014,    0,    0
 23356,257293,19571015,    0,    0
