EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 257300) of station IVAILO, BULGARIA (STAID:  23357)

 STAID,    SOUID,    DATE,   RR, Q_RR
 23357,257300,19730301,-9999,    9
 23357,257300,19730302,-9999,    9
 23357,257300,19730303,-9999,    9
 23357,257300,19730304,-9999,    9
 23357,257300,19730305,-9999,    9
 23357,257300,19730306,-9999,    9
 23357,257300,19730307,-9999,    9
 23357,257300,19730308,-9999,    9
 23357,257300,19730309,-9999,    9
 23357,257300,19730310,-9999,    9
 23357,257300,19730311,-9999,    9
 23357,257300,19730312,-9999,    9
 23357,257300,19730313,-9999,    9
 23357,257300,19730314,-9999,    9
 23357,257300,19730315,-9999,    9
 23357,257300,19730316,-9999,    9
 23357,257300,19730317,-9999,    9
 23357,257300,19730318,-9999,    9
 23357,257300,19730319,   20,    0
 23357,257300,19730320,-9999,    9
 23357,257300,19730321,-9999,    9
 23357,257300,19730322,-9999,    9
 23357,257300,19730323,-9999,    9
 23357,257300,19730324,-9999,    9
 23357,257300,19730325,-9999,    9
 23357,257300,19730326,-9999,    9
 23357,257300,19730327,-9999,    9
 23357,257300,19730328,-9999,    9
 23357,257300,19730329,-9999,    9
 23357,257300,19730330,-9999,    9
 23357,257300,19730331,-9999,    9
 23357,257300,19730401,-9999,    9
 23357,257300,19730402,-9999,    9
 23357,257300,19730403,-9999,    9
 23357,257300,19730404,-9999,    9
 23357,257300,19730405,-9999,    9
 23357,257300,19730406,-9999,    9
 23357,257300,19730407,-9999,    9
 23357,257300,19730408,-9999,    9
 23357,257300,19730409,-9999,    9
 23357,257300,19730410,-9999,    9
 23357,257300,19730411,-9999,    9
 23357,257300,19730412,-9999,    9
 23357,257300,19730413,-9999,    9
 23357,257300,19730414,-9999,    9
 23357,257300,19730415,-9999,    9
 23357,257300,19730416,-9999,    9
 23357,257300,19730417,-9999,    9
 23357,257300,19730418,-9999,    9
 23357,257300,19730419,-9999,    9
 23357,257300,19730420,-9999,    9
 23357,257300,19730421,-9999,    9
 23357,257300,19730422,-9999,    9
 23357,257300,19730423,-9999,    9
 23357,257300,19730424,-9999,    9
 23357,257300,19730425,-9999,    9
 23357,257300,19730426,-9999,    9
 23357,257300,19730427,-9999,    9
 23357,257300,19730428,-9999,    9
 23357,257300,19730429,-9999,    9
 23357,257300,19730430,-9999,    9
 23357,257300,19730501,-9999,    9
 23357,257300,19730502,-9999,    9
 23357,257300,19730503,-9999,    9
 23357,257300,19730504,-9999,    9
 23357,257300,19730505,-9999,    9
 23357,257300,19730506,-9999,    9
 23357,257300,19730507,-9999,    9
 23357,257300,19730508,-9999,    9
