EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 257307) of station CHIRPAN, BULGARIA (STAID:  16344)

 STAID,    SOUID,    DATE,   RR, Q_RR
 16344,257307,19530501,-9999,    9
 16344,257307,19530502,-9999,    9
 16344,257307,19530503,-9999,    9
 16344,257307,19530504,-9999,    9
 16344,257307,19530505,-9999,    9
 16344,257307,19530506,-9999,    9
 16344,257307,19530507,-9999,    9
 16344,257307,19530508,-9999,    9
 16344,257307,19530509,-9999,    9
 16344,257307,19530510,-9999,    9
 16344,257307,19530511,-9999,    9
 16344,257307,19530512,-9999,    9
 16344,257307,19530513,-9999,    9
 16344,257307,19530514,-9999,    9
 16344,257307,19530515,-9999,    9
 16344,257307,19530516,-9999,    9
 16344,257307,19530517,-9999,    9
 16344,257307,19530518,-9999,    9
 16344,257307,19530519,-9999,    9
 16344,257307,19530520,-9999,    9
 16344,257307,19530521,-9999,    9
 16344,257307,19530522,-9999,    9
 16344,257307,19530523,-9999,    9
 16344,257307,19530524,    0,    0
 16344,257307,19530525,-9999,    9
 16344,257307,19530526,-9999,    9
 16344,257307,19530527,-9999,    9
 16344,257307,19530528,-9999,    9
 16344,257307,19530529,-9999,    9
 16344,257307,19530530,-9999,    9
 16344,257307,19530531,-9999,    9
 16344,257307,19530601,-9999,    9
 16344,257307,19530602,-9999,    9
 16344,257307,19530603,-9999,    9
 16344,257307,19530604,-9999,    9
 16344,257307,19530605,-9999,    9
 16344,257307,19530606,-9999,    9
 16344,257307,19530607,-9999,    9
 16344,257307,19530608,-9999,    9
 16344,257307,19530609,-9999,    9
 16344,257307,19530610,-9999,    9
 16344,257307,19530611,-9999,    9
 16344,257307,19530612,-9999,    9
 16344,257307,19530613,-9999,    9
 16344,257307,19530614,-9999,    9
 16344,257307,19530615,-9999,    9
 16344,257307,19530616,-9999,    9
 16344,257307,19530617,-9999,    9
 16344,257307,19530618,-9999,    9
 16344,257307,19530619,-9999,    9
 16344,257307,19530620,-9999,    9
 16344,257307,19530621,-9999,    9
 16344,257307,19530622,-9999,    9
 16344,257307,19530623,-9999,    9
 16344,257307,19530624,-9999,    9
 16344,257307,19530625,-9999,    9
 16344,257307,19530626,-9999,    9
 16344,257307,19530627,-9999,    9
 16344,257307,19530628,-9999,    9
 16344,257307,19530629,-9999,    9
 16344,257307,19530630,-9999,    9
 16344,257307,19530701,-9999,    9
 16344,257307,19530702,-9999,    9
 16344,257307,19530703,-9999,    9
 16344,257307,19530704,-9999,    9
 16344,257307,19530705,-9999,    9
 16344,257307,19530706,-9999,    9
 16344,257307,19530707,-9999,    9
 16344,257307,19530708,-9999,    9
 16344,257307,19530709,-9999,    9
 16344,257307,19530710,-9999,    9
 16344,257307,19530711,-9999,    9
 16344,257307,19530712,-9999,    9
 16344,257307,19530713,-9999,    9
 16344,257307,19530714,-9999,    9
 16344,257307,19530715,-9999,    9
 16344,257307,19530716,-9999,    9
 16344,257307,19530717,-9999,    9
 16344,257307,19530718,-9999,    9
 16344,257307,19530719,-9999,    9
 16344,257307,19530720,-9999,    9
 16344,257307,19530721,-9999,    9
 16344,257307,19530722,-9999,    9
 16344,257307,19530723,-9999,    9
 16344,257307,19530724,-9999,    9
 16344,257307,19530725,-9999,    9
 16344,257307,19530726,-9999,    9
 16344,257307,19530727,-9999,    9
 16344,257307,19530728,    0,    0
 16344,257307,19530729,-9999,    9
 16344,257307,19530730,-9999,    9
 16344,257307,19530731,-9999,    9
 16344,257307,19530801,-9999,    9
