EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 257335) of station BURGAS, BULGARIA (STAID:  23362)

 STAID,    SOUID,    DATE,   RR, Q_RR
 23362,257335,19530401,-9999,    9
 23362,257335,19530402,-9999,    9
 23362,257335,19530403,-9999,    9
 23362,257335,19530404,-9999,    9
 23362,257335,19530405,-9999,    9
 23362,257335,19530406,-9999,    9
 23362,257335,19530407,-9999,    9
 23362,257335,19530408,-9999,    9
 23362,257335,19530409,-9999,    9
 23362,257335,19530410,-9999,    9
 23362,257335,19530411,-9999,    9
 23362,257335,19530412,-9999,    9
 23362,257335,19530413,-9999,    9
 23362,257335,19530414,    0,    0
 23362,257335,19530415,-9999,    9
 23362,257335,19530416,-9999,    9
 23362,257335,19530417,-9999,    9
 23362,257335,19530418,-9999,    9
 23362,257335,19530419,-9999,    9
 23362,257335,19530420,-9999,    9
 23362,257335,19530421,-9999,    9
 23362,257335,19530422,-9999,    9
 23362,257335,19530423,-9999,    9
 23362,257335,19530424,-9999,    9
 23362,257335,19530425,-9999,    9
 23362,257335,19530426,    0,    0
 23362,257335,19530427,-9999,    9
 23362,257335,19530428,-9999,    9
 23362,257335,19530429,-9999,    9
 23362,257335,19530430,-9999,    9
 23362,257335,19530501,-9999,    9
 23362,257335,19530502,-9999,    9
 23362,257335,19530503,-9999,    9
 23362,257335,19530504,-9999,    9
 23362,257335,19530505,-9999,    9
 23362,257335,19530506,-9999,    9
 23362,257335,19530507,-9999,    9
 23362,257335,19530508,-9999,    9
 23362,257335,19530509,-9999,    9
 23362,257335,19530510,-9999,    9
 23362,257335,19530511,-9999,    9
 23362,257335,19530512,-9999,    9
 23362,257335,19530513,-9999,    9
 23362,257335,19530514,-9999,    9
 23362,257335,19530515,-9999,    9
 23362,257335,19530516,-9999,    9
 23362,257335,19530517,-9999,    9
 23362,257335,19530518,-9999,    9
 23362,257335,19530519,-9999,    9
 23362,257335,19530520,-9999,    9
 23362,257335,19530521,-9999,    9
 23362,257335,19530522,-9999,    9
 23362,257335,19530523,-9999,    9
 23362,257335,19530524,-9999,    9
 23362,257335,19530525,-9999,    9
 23362,257335,19530526,-9999,    9
 23362,257335,19530527,-9999,    9
 23362,257335,19530528,-9999,    9
 23362,257335,19530529,-9999,    9
 23362,257335,19530530,-9999,    9
 23362,257335,19530531,-9999,    9
 23362,257335,19530601,-9999,    9
 23362,257335,19530602,-9999,    9
 23362,257335,19530603,-9999,    9
 23362,257335,19530604,-9999,    9
 23362,257335,19530605,-9999,    9
 23362,257335,19530606,-9999,    9
 23362,257335,19530607,-9999,    9
 23362,257335,19530608,-9999,    9
 23362,257335,19530609,-9999,    9
 23362,257335,19530610,-9999,    9
 23362,257335,19530611,-9999,    9
 23362,257335,19530612,-9999,    9
 23362,257335,19530613,-9999,    9
 23362,257335,19530614,-9999,    9
 23362,257335,19530615,-9999,    9
 23362,257335,19530616,-9999,    9
 23362,257335,19530617,-9999,    9
 23362,257335,19530618,-9999,    9
 23362,257335,19530619,-9999,    9
 23362,257335,19530620,-9999,    9
 23362,257335,19530621,-9999,    9
 23362,257335,19530622,-9999,    9
 23362,257335,19530623,-9999,    9
 23362,257335,19530624,-9999,    9
 23362,257335,19530625,-9999,    9
 23362,257335,19530626,-9999,    9
