EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 257342) of station Sandanski, BULGARIA (STAID:   2068)

 STAID,    SOUID,    DATE,   RR, Q_RR
  2068,257342,19530101,-9999,    9
  2068,257342,19530102,-9999,    9
  2068,257342,19530103,-9999,    9
  2068,257342,19530104,-9999,    9
  2068,257342,19530105,-9999,    9
  2068,257342,19530106,-9999,    9
  2068,257342,19530107,-9999,    9
  2068,257342,19530108,-9999,    9
  2068,257342,19530109,-9999,    9
  2068,257342,19530110,    0,    0
  2068,257342,19530111,-9999,    9
  2068,257342,19530112,-9999,    9
  2068,257342,19530113,-9999,    9
  2068,257342,19530114,   30,    0
  2068,257342,19530115,-9999,    9
  2068,257342,19530116,-9999,    9
  2068,257342,19530117,    0,    0
  2068,257342,19530118,-9999,    9
  2068,257342,19530119,-9999,    9
  2068,257342,19530120,-9999,    9
  2068,257342,19530121,-9999,    9
  2068,257342,19530122,-9999,    9
  2068,257342,19530123,-9999,    9
  2068,257342,19530124,    0,    0
  2068,257342,19530125,-9999,    9
  2068,257342,19530126,-9999,    9
  2068,257342,19530127,-9999,    9
  2068,257342,19530128,-9999,    9
  2068,257342,19530129,-9999,    9
  2068,257342,19530130,-9999,    9
  2068,257342,19530131,-9999,    9
  2068,257342,19530201,-9999,    9
  2068,257342,19530202,-9999,    9
  2068,257342,19530203,    3,    0
  2068,257342,19530204,-9999,    9
  2068,257342,19530205,-9999,    9
  2068,257342,19530206,    5,    0
  2068,257342,19530207,-9999,    9
  2068,257342,19530208,   41,    0
  2068,257342,19530209,-9999,    9
  2068,257342,19530210,    0,    0
  2068,257342,19530211,-9999,    9
  2068,257342,19530212,-9999,    9
  2068,257342,19530213,-9999,    9
  2068,257342,19530214,    5,    0
  2068,257342,19530215,-9999,    9
  2068,257342,19530216,-9999,    9
  2068,257342,19530217,    0,    0
  2068,257342,19530218,-9999,    9
  2068,257342,19530219,-9999,    9
  2068,257342,19530220,    0,    0
  2068,257342,19530221,-9999,    9
  2068,257342,19530222,    0,    0
  2068,257342,19530223,-9999,    9
  2068,257342,19530224,-9999,    9
  2068,257342,19530225,-9999,    9
  2068,257342,19530226,-9999,    9
  2068,257342,19530227,-9999,    9
  2068,257342,19530228,-9999,    9
  2068,257342,19530301,-9999,    9
  2068,257342,19530302,-9999,    9
  2068,257342,19530303,-9999,    9
  2068,257342,19530304,-9999,    9
  2068,257342,19530305,-9999,    9
  2068,257342,19530306,    0,    0
  2068,257342,19530307,-9999,    9
  2068,257342,19530308,-9999,    9
  2068,257342,19530309,    0,    0
  2068,257342,19530310,-9999,    9
  2068,257342,19530311,   10,    0
  2068,257342,19530312,-9999,    9
  2068,257342,19530313,-9999,    9
  2068,257342,19530314,-9999,    9
  2068,257342,19530315,-9999,    9
  2068,257342,19530316,-9999,    9
  2068,257342,19530317,-9999,    9
  2068,257342,19530318,    0,    0
  2068,257342,19530319,    0,    0
  2068,257342,19530320,-9999,    9
  2068,257342,19530321,-9999,    9
  2068,257342,19530322,-9999,    9
  2068,257342,19530323,-9999,    9
  2068,257342,19530324,    0,    0
  2068,257342,19530325,-9999,    9
  2068,257342,19530326,-9999,    9
  2068,257342,19530327,-9999,    9
  2068,257342,19530328,-9999,    9
  2068,257342,19530329,-9999,    9
  2068,257342,19530330,-9999,    9
  2068,257342,19530331,-9999,    9
  2068,257342,19530401,-9999,    9
  2068,257342,19530402,-9999,    9
  2068,257342,19530403,-9999,    9
  2068,257342,19530404,-9999,    9
  2068,257342,19530405,-9999,    9
  2068,257342,19530406,    0,    0
  2068,257342,19530407,-9999,    9
  2068,257342,19530408,-9999,    9
  2068,257342,19530409,    0,    0
  2068,257342,19530410,-9999,    9
  2068,257342,19530411,-9999,    9
  2068,257342,19530412,-9999,    9
  2068,257342,19530413,   20,    0
  2068,257342,19530414,    0,    0
  2068,257342,19530415,   20,    0
  2068,257342,19530416,-9999,    9
  2068,257342,19530417,-9999,    9
  2068,257342,19530418,-9999,    9
  2068,257342,19530419,-9999,    9
  2068,257342,19530420,    0,    0
  2068,257342,19530421,-9999,    9
  2068,257342,19530422,-9999,    9
  2068,257342,19530423,    0,    0
  2068,257342,19530424,-9999,    9
  2068,257342,19530425,-9999,    9
  2068,257342,19530426,-9999,    9
  2068,257342,19530427,-9999,    9
  2068,257342,19530428,-9999,    9
  2068,257342,19530429,-9999,    9
  2068,257342,19530430,-9999,    9
  2068,257342,19530501,    0,    0
  2068,257342,19530502,-9999,    9
  2068,257342,19530503,-9999,    9
  2068,257342,19530504,-9999,    9
  2068,257342,19530505,-9999,    9
  2068,257342,19530506,    0,    0
  2068,257342,19530507,-9999,    9
  2068,257342,19530508,-9999,    9
  2068,257342,19530509,-9999,    9
  2068,257342,19530510,-9999,    9
  2068,257342,19530511,-9999,    9
  2068,257342,19530512,    0,    0
  2068,257342,19530513,-9999,    9
