EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 257363) of station KURDJALI, BULGARIA (STAID:  23367)

 STAID,    SOUID,    DATE,   RR, Q_RR
 23367,257363,19570601,-9999,    9
 23367,257363,19570602,-9999,    9
 23367,257363,19570603,-9999,    9
 23367,257363,19570604,-9999,    9
 23367,257363,19570605,-9999,    9
 23367,257363,19570606,-9999,    9
 23367,257363,19570607,-9999,    9
 23367,257363,19570608,-9999,    9
 23367,257363,19570609,-9999,    9
 23367,257363,19570610,-9999,    9
 23367,257363,19570611,-9999,    9
 23367,257363,19570612,-9999,    9
 23367,257363,19570613,-9999,    9
 23367,257363,19570614,-9999,    9
 23367,257363,19570615,-9999,    9
 23367,257363,19570616,-9999,    9
 23367,257363,19570617,-9999,    9
 23367,257363,19570618,-9999,    9
 23367,257363,19570619,-9999,    9
 23367,257363,19570620,-9999,    9
 23367,257363,19570621,-9999,    9
 23367,257363,19570622,-9999,    9
 23367,257363,19570623,-9999,    9
 23367,257363,19570624,-9999,    9
 23367,257363,19570625,-9999,    9
 23367,257363,19570626,-9999,    9
 23367,257363,19570627,-9999,    9
 23367,257363,19570628,-9999,    9
 23367,257363,19570629,-9999,    9
 23367,257363,19570630,    0,    0
 23367,257363,19570701,    0,    0
 23367,257363,19570702,   30,    0
 23367,257363,19570703,    0,    0
 23367,257363,19570704,    0,    0
 23367,257363,19570705,    0,    0
 23367,257363,19570706,    0,    0
 23367,257363,19570707,    0,    0
 23367,257363,19570708,    0,    0
 23367,257363,19570709,    0,    0
 23367,257363,19570710,    5,    0
 23367,257363,19570711,    3,    0
 23367,257363,19570712,   10,    0
 23367,257363,19570713,-9999,    9
 23367,257363,19570714,    0,    0
 23367,257363,19570715,    0,    0
 23367,257363,19570716,    3,    0
 23367,257363,19570717,    0,    0
 23367,257363,19570718,  201,    0
 23367,257363,19570719,    0,    0
 23367,257363,19570720,    0,    0
 23367,257363,19570721,    0,    0
 23367,257363,19570722,    0,    0
 23367,257363,19570723,    0,    0
 23367,257363,19570724,   36,    0
 23367,257363,19570725,    0,    0
 23367,257363,19570726,    0,    0
 23367,257363,19570727,    0,    0
 23367,257363,19570728,    0,    0
 23367,257363,19570729,    0,    0
 23367,257363,19570730,    0,    0
 23367,257363,19570731,    0,    0
 23367,257363,19570801,    0,    0
 23367,257363,19570802,    0,    0
 23367,257363,19570803,    0,    0
 23367,257363,19570804,    0,    0
 23367,257363,19570805,    0,    0
 23367,257363,19570806,    0,    0
 23367,257363,19570807,    0,    0
 23367,257363,19570808,    0,    0
 23367,257363,19570809,    5,    0
 23367,257363,19570810,    0,    0
 23367,257363,19570811,    0,    0
 23367,257363,19570812,    0,    0
 23367,257363,19570813,    0,    0
 23367,257363,19570814,    0,    0
 23367,257363,19570815,    0,    0
 23367,257363,19570816,    0,    0
 23367,257363,19570817,    0,    0
 23367,257363,19570818,    0,    0
 23367,257363,19570819,    0,    0
 23367,257363,19570820,    0,    0
 23367,257363,19570821,    0,    0
 23367,257363,19570822,    5,    0
 23367,257363,19570823,    0,    0
 23367,257363,19570824,    0,    0
 23367,257363,19570825,    0,    0
 23367,257363,19570826,    0,    0
 23367,257363,19570827,    0,    0
 23367,257363,19570828,    0,    0
 23367,257363,19570829,    0,    0
 23367,257363,19570830,    0,    0
 23367,257363,19570831,    0,    0
 23367,257363,19570901,    0,    0
 23367,257363,19570902,    0,    0
 23367,257363,19570903,    0,    0
 23367,257363,19570904,  130,    0
 23367,257363,19570905,  239,    0
 23367,257363,19570906,  150,    0
 23367,257363,19570907,    5,    0
 23367,257363,19570908,   36,    0
 23367,257363,19570909,    0,    0
 23367,257363,19570910,    0,    0
 23367,257363,19570911,    0,    0
 23367,257363,19570912,    0,    0
 23367,257363,19570913,    0,    0
 23367,257363,19570914,    0,    0
 23367,257363,19570915,    0,    0
 23367,257363,19570916,   79,    0
 23367,257363,19570917,    0,    0
 23367,257363,19570918,    0,    0
 23367,257363,19570919,    0,    0
 23367,257363,19570920,    0,    0
 23367,257363,19570921,    0,    0
 23367,257363,19570922,    0,    0
 23367,257363,19570923,    0,    0
 23367,257363,19570924,    0,    0
 23367,257363,19570925,    0,    0
 23367,257363,19570926,    0,    0
 23367,257363,19570927,  130,    0
 23367,257363,19570928,   10,    0
 23367,257363,19570929,    0,    0
 23367,257363,19570930,    0,    0
 23367,257363,19571001,    0,    0
 23367,257363,19571002,    0,    0
 23367,257363,19571003,    0,    0
 23367,257363,19571004,   10,    0
 23367,257363,19571005,  279,    0
 23367,257363,19571006,   89,    0
