EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 266478) of station VANDELLOS  , SPAIN (STAID:  26964)

 STAID,    SOUID,    DATE,   RR, Q_RR
 26964,266478,19680301,  210,    0
 26964,266478,19680302,    0,    0
 26964,266478,19680303,    0,    0
 26964,266478,19680304,   65,    0
 26964,266478,19680305,    0,    0
 26964,266478,19680306,    0,    0
 26964,266478,19680307,  235,    0
 26964,266478,19680308,  170,    0
 26964,266478,19680309,   35,    0
 26964,266478,19680310,    0,    0
 26964,266478,19680311,    0,    0
 26964,266478,19680312,    0,    0
 26964,266478,19680313,    0,    0
 26964,266478,19680314,    0,    0
 26964,266478,19680315,    0,    0
 26964,266478,19680316,    0,    0
 26964,266478,19680317,    0,    0
 26964,266478,19680318,    0,    0
 26964,266478,19680319,-9999,    9
 26964,266478,19680320,-9999,    9
 26964,266478,19680321,    0,    0
 26964,266478,19680322,    0,    0
 26964,266478,19680323,    0,    0
 26964,266478,19680324,    0,    0
 26964,266478,19680325,    0,    0
 26964,266478,19680326,    0,    0
 26964,266478,19680327,    0,    0
 26964,266478,19680328,    0,    0
 26964,266478,19680329,  190,    0
 26964,266478,19680330,    0,    0
 26964,266478,19680331,    0,    0
 26964,266478,19680401,    4,    0
 26964,266478,19680402,-9999,    9
 26964,266478,19680403,-9999,    9
 26964,266478,19680404,    0,    0
 26964,266478,19680405,    0,    0
 26964,266478,19680406,    0,    0
 26964,266478,19680407,    0,    0
 26964,266478,19680408,    0,    0
 26964,266478,19680409,    0,    0
 26964,266478,19680410,    0,    0
 26964,266478,19680411,-9999,    9
 26964,266478,19680412,-9999,    9
 26964,266478,19680413,   55,    0
 26964,266478,19680414,    0,    0
 26964,266478,19680415,    0,    0
 26964,266478,19680416,    0,    0
 26964,266478,19680417,    0,    0
 26964,266478,19680418,    0,    0
 26964,266478,19680419,    0,    0
 26964,266478,19680420,    0,    0
 26964,266478,19680421,    0,    0
 26964,266478,19680422,-9999,    9
 26964,266478,19680423,-9999,    9
 26964,266478,19680424,-9999,    9
 26964,266478,19680425,    0,    0
 26964,266478,19680426,    0,    0
 26964,266478,19680427,    0,    0
 26964,266478,19680428,    0,    0
 26964,266478,19680429,    0,    0
 26964,266478,19680430,    0,    0
 26964,266478,19680501,    0,    0
