EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 266646) of station MONTSERRAT, SPAIN (STAID:  26978)

 STAID,    SOUID,    DATE,   RR, Q_RR
 26978,266646,19700301,    0,    0
 26978,266646,19700302,    0,    0
 26978,266646,19700303,    0,    0
 26978,266646,19700304,    0,    0
 26978,266646,19700305,    0,    0
 26978,266646,19700306,    0,    0
 26978,266646,19700307,    0,    0
 26978,266646,19700308,    0,    0
 26978,266646,19700309,-9999,    9
 26978,266646,19700310,  160,    0
 26978,266646,19700311,  150,    0
 26978,266646,19700312,    0,    0
 26978,266646,19700313,    0,    0
 26978,266646,19700314,   40,    0
 26978,266646,19700315,   30,    0
 26978,266646,19700316,    0,    0
 26978,266646,19700317,    0,    0
 26978,266646,19700318,    0,    0
 26978,266646,19700319,    0,    0
 26978,266646,19700320,    0,    0
 26978,266646,19700321,    0,    0
 26978,266646,19700322,    0,    0
 26978,266646,19700323,   70,    0
 26978,266646,19700324,    0,    0
 26978,266646,19700325,    0,    0
 26978,266646,19700326,    0,    0
 26978,266646,19700327,    0,    0
 26978,266646,19700328,    0,    0
 26978,266646,19700329,    0,    0
 26978,266646,19700330,    0,    0
 26978,266646,19700331,    0,    0
 26978,266646,19700401,    0,    0
 26978,266646,19700402,    0,    0
 26978,266646,19700403,    0,    0
 26978,266646,19700404,    0,    0
 26978,266646,19700405,    0,    0
 26978,266646,19700406,    0,    0
 26978,266646,19700407,   10,    0
 26978,266646,19700408,   70,    0
 26978,266646,19700409,    2,    0
 26978,266646,19700410,    0,    0
 26978,266646,19700411,    0,    0
 26978,266646,19700412,    0,    0
 26978,266646,19700413,    0,    0
 26978,266646,19700414,    0,    0
 26978,266646,19700415,    0,    0
 26978,266646,19700416,    0,    0
 26978,266646,19700417,    0,    0
 26978,266646,19700418,    0,    0
 26978,266646,19700419,    0,    0
 26978,266646,19700420,    0,    0
 26978,266646,19700421,    0,    0
 26978,266646,19700422,    0,    0
 26978,266646,19700423,    0,    0
 26978,266646,19700424,    0,    0
 26978,266646,19700425,    0,    0
 26978,266646,19700426,    0,    0
 26978,266646,19700427,    0,    0
 26978,266646,19700428,   40,    0
 26978,266646,19700429,-9999,    9
 26978,266646,19700430,    0,    0
 26978,266646,19700501,    0,    0
 26978,266646,19700502,    0,    0
 26978,266646,19700503,    0,    0
 26978,266646,19700504,    0,    0
 26978,266646,19700505,   30,    0
 26978,266646,19700506,-9999,    9
 26978,266646,19700507,  130,    0
 26978,266646,19700508,  130,    0
 26978,266646,19700509,   20,    0
 26978,266646,19700510,  190,    0
 26978,266646,19700511,    0,    0
 26978,266646,19700512,   30,    0
 26978,266646,19700513,    0,    0
 26978,266646,19700514,    0,    0
 26978,266646,19700515,    0,    0
 26978,266646,19700516,    0,    0
 26978,266646,19700517,   10,    0
 26978,266646,19700518,    0,    0
 26978,266646,19700519,    0,    0
 26978,266646,19700520,    0,    0
 26978,266646,19700521,    0,    0
 26978,266646,19700522,    0,    0
 26978,266646,19700523,    0,    0
 26978,266646,19700524,    0,    0
 26978,266646,19700525,    0,    0
 26978,266646,19700526,    0,    0
 26978,266646,19700527,    0,    0
 26978,266646,19700528,    0,    0
 26978,266646,19700529,    0,    0
 26978,266646,19700530,    0,    0
 26978,266646,19700531,    0,    0
 26978,266646,19700601,    0,    0
 26978,266646,19700602,   80,    0
 26978,266646,19700603,    0,    0
 26978,266646,19700604,    0,    0
 26978,266646,19700605,    0,    0
 26978,266646,19700606,   20,    0
 26978,266646,19700607,    0,    0
 26978,266646,19700608,   50,    0
 26978,266646,19700609,  130,    0
 26978,266646,19700610,    0,    0
 26978,266646,19700611,    0,    0
 26978,266646,19700612,    0,    0
 26978,266646,19700613,    0,    0
 26978,266646,19700614,    0,    0
 26978,266646,19700615,    0,    0
 26978,266646,19700616,    0,    0
 26978,266646,19700617,-9999,    9
 26978,266646,19700618,    0,    0
 26978,266646,19700619,   90,    0
 26978,266646,19700620,   40,    0
 26978,266646,19700621,    0,    0
 26978,266646,19700622,    0,    0
 26978,266646,19700623,    0,    0
 26978,266646,19700624,    0,    0
 26978,266646,19700625,    0,    0
 26978,266646,19700626,    0,    0
 26978,266646,19700627,    0,    0
 26978,266646,19700628,    0,    0
 26978,266646,19700629,    0,    0
 26978,266646,19700630,    0,    0
 26978,266646,19700701,    0,    0
 26978,266646,19700702,   10,    0
 26978,266646,19700703,    0,    0
 26978,266646,19700704,    0,    0
 26978,266646,19700705,    0,    0
 26978,266646,19700706,    0,    0
 26978,266646,19700707,   10,    0
 26978,266646,19700708,    0,    0
 26978,266646,19700709,    0,    0
 26978,266646,19700710,    0,    0
 26978,266646,19700711,   20,    0
 26978,266646,19700712,    0,    0
 26978,266646,19700713,    0,    0
 26978,266646,19700714,    0,    0
 26978,266646,19700715,    0,    0
 26978,266646,19700716,    0,    0
 26978,266646,19700717,    0,    0
 26978,266646,19700718,    0,    0
 26978,266646,19700719,    0,    0
 26978,266646,19700720,    0,    0
 26978,266646,19700721,    0,    0
 26978,266646,19700722,    0,    0
 26978,266646,19700723,    0,    0
 26978,266646,19700724,    0,    0
 26978,266646,19700725,    0,    0
 26978,266646,19700726,    0,    0
 26978,266646,19700727,    0,    0
 26978,266646,19700728,    0,    0
 26978,266646,19700729,   40,    0
 26978,266646,19700730,  160,    0
 26978,266646,19700731,    0,    0
 26978,266646,19700801,    0,    0
 26978,266646,19700802,    0,    0
 26978,266646,19700803,   10,    0
 26978,266646,19700804,    0,    0
 26978,266646,19700805,    0,    0
 26978,266646,19700806,    0,    0
 26978,266646,19700807,    0,    0
 26978,266646,19700808,    0,    0
 26978,266646,19700809,    0,    0
 26978,266646,19700810,    0,    0
 26978,266646,19700811,    0,    0
 26978,266646,19700812,    0,    0
 26978,266646,19700813,    0,    0
 26978,266646,19700814,    0,    0
 26978,266646,19700815,    0,    0
 26978,266646,19700816,    0,    0
 26978,266646,19700817,    0,    0
 26978,266646,19700818,    0,    0
 26978,266646,19700819,   30,    0
 26978,266646,19700820,    0,    0
 26978,266646,19700821,    0,    0
 26978,266646,19700822,    0,    0
 26978,266646,19700823,  140,    0
 26978,266646,19700824,    0,    0
 26978,266646,19700825,    0,    0
 26978,266646,19700826,    0,    0
 26978,266646,19700827,-9999,    9
 26978,266646,19700828,-9999,    9
 26978,266646,19700829,  120,    0
 26978,266646,19700830,    0,    0
 26978,266646,19700831,    0,    0
 26978,266646,19700901,    0,    0
 26978,266646,19700902,    0,    0
 26978,266646,19700903,   25,    0
 26978,266646,19700904,    0,    0
 26978,266646,19700905,    0,    0
 26978,266646,19700906,    0,    0
 26978,266646,19700907,    0,    0
 26978,266646,19700908,    0,    0
 26978,266646,19700909,    0,    0
 26978,266646,19700910,   20,    0
 26978,266646,19700911,    0,    0
 26978,266646,19700912,    0,    0
 26978,266646,19700913,    0,    0
 26978,266646,19700914,    0,    0
 26978,266646,19700915,   50,    0
 26978,266646,19700916,    0,    0
 26978,266646,19700917,    0,    0
 26978,266646,19700918,    0,    0
 26978,266646,19700919,    0,    0
 26978,266646,19700920,    0,    0
 26978,266646,19700921,    0,    0
 26978,266646,19700922,    0,    0
 26978,266646,19700923,-9999,    9
 26978,266646,19700924,    0,    0
 26978,266646,19700925,    0,    0
 26978,266646,19700926,    0,    0
 26978,266646,19700927,    0,    0
 26978,266646,19700928,    0,    0
 26978,266646,19700929,    0,    0
 26978,266646,19700930,    0,    0
 26978,266646,19701001,    0,    0
 26978,266646,19701002,    0,    0
 26978,266646,19701003,    0,    0
 26978,266646,19701004,    0,    0
 26978,266646,19701005,-9999,    9
