EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 266850) of station CAMPDEVANOL, SPAIN (STAID:  26995)

 STAID,    SOUID,    DATE,   RR, Q_RR
 26995,266850,19500101,    0,    0
 26995,266850,19500102,    0,    0
 26995,266850,19500103,    0,    0
 26995,266850,19500104,    0,    0
 26995,266850,19500105,    0,    0
 26995,266850,19500106,    0,    0
 26995,266850,19500107,    0,    0
 26995,266850,19500108,    0,    0
 26995,266850,19500109,    0,    0
 26995,266850,19500110,    0,    0
 26995,266850,19500111,    0,    0
 26995,266850,19500112,    0,    0
 26995,266850,19500113,    0,    0
 26995,266850,19500114,    0,    0
 26995,266850,19500115,    0,    0
 26995,266850,19500116,    0,    0
 26995,266850,19500117,   43,    0
 26995,266850,19500118,    0,    0
 26995,266850,19500119,    0,    0
 26995,266850,19500120,    0,    0
 26995,266850,19500121,    0,    0
 26995,266850,19500122,    0,    0
 26995,266850,19500123,    0,    0
 26995,266850,19500124,    0,    0
 26995,266850,19500125,    0,    0
 26995,266850,19500126,    0,    0
 26995,266850,19500127,    0,    0
 26995,266850,19500128,    0,    0
 26995,266850,19500129,    0,    0
 26995,266850,19500130,    0,    0
 26995,266850,19500131,    0,    0
 26995,266850,19500201,    0,    0
 26995,266850,19500202,    0,    0
 26995,266850,19500203,   12,    0
 26995,266850,19500204,  199,    0
 26995,266850,19500205,    0,    0
 26995,266850,19500206,    0,    0
 26995,266850,19500207,    0,    0
 26995,266850,19500208,    0,    0
 26995,266850,19500209,    0,    0
 26995,266850,19500210,    0,    0
 26995,266850,19500211,    0,    0
 26995,266850,19500212,    0,    0
 26995,266850,19500213,    0,    0
 26995,266850,19500214,    0,    0
 26995,266850,19500215,    0,    0
 26995,266850,19500216,    0,    0
 26995,266850,19500217,    0,    0
 26995,266850,19500218,    0,    0
 26995,266850,19500219,    0,    0
 26995,266850,19500220,    0,    0
 26995,266850,19500221,    0,    0
 26995,266850,19500222,    0,    0
 26995,266850,19500223,    2,    0
 26995,266850,19500224,    0,    0
 26995,266850,19500225,    0,    0
 26995,266850,19500226,   14,    0
 26995,266850,19500227,    0,    0
 26995,266850,19500228,    0,    0
 26995,266850,19500301,    0,    0
 26995,266850,19500302,    0,    0
 26995,266850,19500303,    0,    0
 26995,266850,19500304,    0,    0
 26995,266850,19500305,    0,    0
 26995,266850,19500306,    0,    0
 26995,266850,19500307,    0,    0
 26995,266850,19500308,    0,    0
 26995,266850,19500309,    0,    0
 26995,266850,19500310,    0,    0
 26995,266850,19500311,    0,    0
 26995,266850,19500312,    0,    0
 26995,266850,19500313,    0,    0
 26995,266850,19500314,    0,    0
 26995,266850,19500315,  114,    0
 26995,266850,19500316,   21,    0
 26995,266850,19500317,    0,    0
 26995,266850,19500318,  153,    0
 26995,266850,19500319,    0,    0
 26995,266850,19500320,    0,    0
 26995,266850,19500321,    0,    0
 26995,266850,19500322,    0,    0
 26995,266850,19500323,    0,    0
 26995,266850,19500324,    0,    0
 26995,266850,19500325,    0,    0
 26995,266850,19500326,   15,    0
 26995,266850,19500327,   76,    0
 26995,266850,19500328,    0,    0
 26995,266850,19500329,  124,    0
 26995,266850,19500330,    0,    0
 26995,266850,19500331,    0,    0
 26995,266850,19500401,    0,    0
 26995,266850,19500402,    0,    0
 26995,266850,19500403,    0,    0
 26995,266850,19500404,    0,    0
 26995,266850,19500405,    0,    0
 26995,266850,19500406,    0,    0
 26995,266850,19500407,    0,    0
 26995,266850,19500408,    0,    0
 26995,266850,19500409,    0,    0
 26995,266850,19500410,    0,    0
 26995,266850,19500411,    0,    0
 26995,266850,19500412,    0,    0
 26995,266850,19500413,  361,    0
 26995,266850,19500414,   45,    0
 26995,266850,19500415,   49,    0
 26995,266850,19500416,    0,    0
 26995,266850,19500417,    0,    0
 26995,266850,19500418,  123,    0
 26995,266850,19500419,   19,    0
 26995,266850,19500420,    7,    0
 26995,266850,19500421,    0,    0
 26995,266850,19500422,    0,    0
 26995,266850,19500423,    0,    0
 26995,266850,19500424,    0,    0
 26995,266850,19500425,    0,    0
 26995,266850,19500426,    6,    0
 26995,266850,19500427,    0,    0
 26995,266850,19500428,    0,    0
 26995,266850,19500429,    0,    0
 26995,266850,19500430,    0,    0
 26995,266850,19500501,    0,    0
 26995,266850,19500502,    0,    0
 26995,266850,19500503,   30,    0
 26995,266850,19500504,    0,    0
 26995,266850,19500505,    0,    0
 26995,266850,19500506,    0,    0
 26995,266850,19500507,  104,    0
 26995,266850,19500508,  230,    0
 26995,266850,19500509,   55,    0
 26995,266850,19500510,    0,    0
 26995,266850,19500511,    0,    0
 26995,266850,19500512,  227,    0
 26995,266850,19500513,   49,    0
 26995,266850,19500514,  138,    0
 26995,266850,19500515,   21,    0
 26995,266850,19500516,   25,    0
 26995,266850,19500517,  111,    0
 26995,266850,19500518,   88,    0
 26995,266850,19500519,    0,    0
 26995,266850,19500520,    0,    0
 26995,266850,19500521,    0,    0
 26995,266850,19500522,    0,    0
 26995,266850,19500523,    0,    0
 26995,266850,19500524,    0,    0
 26995,266850,19500525,    0,    0
 26995,266850,19500526,    0,    0
 26995,266850,19500527,   65,    0
 26995,266850,19500528,    0,    0
 26995,266850,19500529,    0,    0
 26995,266850,19500530,    0,    0
 26995,266850,19500531,  348,    0
 26995,266850,19500601,   15,    0
 26995,266850,19500602,  563,    0
 26995,266850,19500603,    0,    0
 26995,266850,19500604,    0,    0
 26995,266850,19500605,   26,    0
 26995,266850,19500606,   20,    0
 26995,266850,19500607,    0,    0
 26995,266850,19500608,    0,    0
 26995,266850,19500609,    0,    0
 26995,266850,19500610,    0,    0
 26995,266850,19500611,    0,    0
 26995,266850,19500612,   92,    0
 26995,266850,19500613,   23,    0
 26995,266850,19500614,    0,    0
 26995,266850,19500615,    0,    0
 26995,266850,19500616,   17,    0
 26995,266850,19500617,   98,    0
 26995,266850,19500618,    0,    0
 26995,266850,19500619,    0,    0
 26995,266850,19500620,    0,    0
 26995,266850,19500621,    0,    0
 26995,266850,19500622,    0,    0
 26995,266850,19500623,    0,    0
 26995,266850,19500624,  703,    0
 26995,266850,19500625,    0,    0
 26995,266850,19500626,    0,    0
 26995,266850,19500627,    0,    0
 26995,266850,19500628,    0,    0
 26995,266850,19500629,    0,    0
 26995,266850,19500630,    0,    0
 26995,266850,19500701,    0,    0
 26995,266850,19500702,    0,    0
 26995,266850,19500703,    0,    0
 26995,266850,19500704,    0,    0
 26995,266850,19500705,   94,    0
 26995,266850,19500706,    0,    0
 26995,266850,19500707,    0,    0
 26995,266850,19500708,   75,    0
 26995,266850,19500709,    0,    0
 26995,266850,19500710,    0,    0
 26995,266850,19500711,    0,    0
 26995,266850,19500712,    0,    0
 26995,266850,19500713,    0,    0
 26995,266850,19500714,    0,    0
 26995,266850,19500715,    0,    0
 26995,266850,19500716,   10,    0
 26995,266850,19500717,   18,    0
 26995,266850,19500718,   41,    0
 26995,266850,19500719,   13,    0
 26995,266850,19500720,   13,    0
 26995,266850,19500721,    0,    0
 26995,266850,19500722,    0,    0
 26995,266850,19500723,    0,    0
 26995,266850,19500724,    0,    0
 26995,266850,19500725,  153,    0
 26995,266850,19500726,   41,    0
 26995,266850,19500727,    0,    0
 26995,266850,19500728,  252,    0
