EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 267990) of station VIMIANZO, SPAIN (STAID:  27090)

 STAID,    SOUID,    DATE,   RR, Q_RR
 27090,267990,19761001,    0,    0
 27090,267990,19761002,    0,    0
 27090,267990,19761003,  120,    0
 27090,267990,19761004,   73,    0
 27090,267990,19761005,   10,    0
 27090,267990,19761006,-9999,    9
 27090,267990,19761007,   18,    0
 27090,267990,19761008,    0,    0
 27090,267990,19761009,  289,    0
 27090,267990,19761010,  328,    0
 27090,267990,19761011,  191,    0
 27090,267990,19761012,  101,    0
 27090,267990,19761013,  229,    0
 27090,267990,19761014,   36,    0
 27090,267990,19761015,  130,    0
 27090,267990,19761016,  310,    0
 27090,267990,19761017,  194,    0
 27090,267990,19761018,   58,    0
 27090,267990,19761019,  222,    0
 27090,267990,19761020,-9999,    9
 27090,267990,19761021,    0,    0
 27090,267990,19761022,  155,    0
 27090,267990,19761023, 1256,    0
 27090,267990,19761024,   95,    0
 27090,267990,19761025,   43,    0
 27090,267990,19761026,  181,    0
 27090,267990,19761027,  250,    0
 27090,267990,19761028,   79,    0
 27090,267990,19761029,  100,    0
 27090,267990,19761030,   93,    0
 27090,267990,19761031,  103,    0
 27090,267990,19761101,   13,    0
 27090,267990,19761102,   75,    0
 27090,267990,19761103,  452,    0
 27090,267990,19761104,   85,    0
 27090,267990,19761105,  259,    0
 27090,267990,19761106,  285,    0
 27090,267990,19761107,   88,    0
 27090,267990,19761108,   35,    0
 27090,267990,19761109,  200,    0
 27090,267990,19761110,   65,    0
 27090,267990,19761111,   33,    0
 27090,267990,19761112,    0,    0
 27090,267990,19761113,    0,    0
 27090,267990,19761114,   28,    0
 27090,267990,19761115,    0,    0
 27090,267990,19761116,    0,    0
 27090,267990,19761117,    0,    0
 27090,267990,19761118,    0,    0
 27090,267990,19761119,    0,    0
 27090,267990,19761120,    0,    0
 27090,267990,19761121,    0,    0
 27090,267990,19761122,    0,    0
 27090,267990,19761123,    0,    0
 27090,267990,19761124,    0,    0
 27090,267990,19761125,    0,    0
 27090,267990,19761126,    0,    0
 27090,267990,19761127,    0,    0
 27090,267990,19761128,  115,    0
 27090,267990,19761129,  260,    0
 27090,267990,19761130,  232,    0
 27090,267990,19761201,  273,    0
 27090,267990,19761202,  153,    0
 27090,267990,19761203,  298,    0
 27090,267990,19761204,  267,    0
 27090,267990,19761205,  455,    0
 27090,267990,19761206,  390,    0
 27090,267990,19761207,  550,    0
 27090,267990,19761208,   67,    0
 27090,267990,19761209,    0,    0
 27090,267990,19761210,    0,    0
 27090,267990,19761211,    0,    0
 27090,267990,19761212,    0,    0
 27090,267990,19761213,    0,    0
 27090,267990,19761214,    0,    0
 27090,267990,19761215,   10,    0
