EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 268002) of station FISTERRA, SPAIN (STAID:  27091)

 STAID,    SOUID,    DATE,   RR, Q_RR
 27091,268002,19510101,  143,    0
 27091,268002,19510102,   40,    0
 27091,268002,19510103,    7,    0
 27091,268002,19510104,    5,    0
 27091,268002,19510105,   10,    0
 27091,268002,19510106,    0,    0
 27091,268002,19510107,    0,    0
 27091,268002,19510108,    0,    0
 27091,268002,19510109,  140,    0
 27091,268002,19510110,    0,    0
 27091,268002,19510111,  110,    0
 27091,268002,19510112,   40,    0
 27091,268002,19510113,   58,    0
 27091,268002,19510114,   40,    0
 27091,268002,19510115,   22,    0
 27091,268002,19510116,   21,    0
 27091,268002,19510117,    0,    0
 27091,268002,19510118,   47,    0
 27091,268002,19510119,    0,    0
 27091,268002,19510120,    0,    0
 27091,268002,19510121,    0,    0
 27091,268002,19510122,   40,    0
 27091,268002,19510123,  110,    0
 27091,268002,19510124,   91,    0
 27091,268002,19510125,  109,    0
 27091,268002,19510126,   50,    0
 27091,268002,19510127,   23,    0
 27091,268002,19510128,   12,    0
 27091,268002,19510129,    0,    0
 27091,268002,19510130,   10,    0
 27091,268002,19510131,   46,    0
 27091,268002,19510201,    0,    0
 27091,268002,19510202,  122,    0
 27091,268002,19510203,   60,    0
 27091,268002,19510204,   30,    0
 27091,268002,19510205,   50,    0
 27091,268002,19510206,  100,    0
 27091,268002,19510207,   20,    0
 27091,268002,19510208,   50,    0
 27091,268002,19510209,  130,    0
 27091,268002,19510210,   30,    0
 27091,268002,19510211,   63,    0
