EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 268194) of station ESCUELA NAVAL DE MARIN, SPAIN (STAID:  27107)

 STAID,    SOUID,    DATE,   RR, Q_RR
 27107,268194,19740101,    0,    0
 27107,268194,19740102,  240,    0
 27107,268194,19740103,   84,    0
 27107,268194,19740104,  330,    0
 27107,268194,19740105,  420,    0
 27107,268194,19740106,  311,    0
 27107,268194,19740107,  120,    0
 27107,268194,19740108,  260,    0
 27107,268194,19740109,  170,    0
 27107,268194,19740110,  190,    0
 27107,268194,19740111,   45,    0
 27107,268194,19740112,   90,    0
 27107,268194,19740113,  130,    0
 27107,268194,19740114,   80,    0
 27107,268194,19740115,    0,    0
 27107,268194,19740116,   65,    0
 27107,268194,19740117,    0,    0
 27107,268194,19740118,    0,    0
 27107,268194,19740119,    0,    0
 27107,268194,19740120,    0,    0
 27107,268194,19740121,  131,    0
 27107,268194,19740122,    0,    0
 27107,268194,19740123,   25,    0
 27107,268194,19740124,  100,    0
 27107,268194,19740125,    0,    0
 27107,268194,19740126,   94,    0
 27107,268194,19740127,  117,    0
 27107,268194,19740128,  530,    0
 27107,268194,19740129,   80,    0
 27107,268194,19740130,  100,    0
 27107,268194,19740131,  146,    0
 27107,268194,19740201,  115,    0
 27107,268194,19740202,   99,    0
 27107,268194,19740203,  215,    0
 27107,268194,19740204,    0,    0
 27107,268194,19740205,   73,    0
 27107,268194,19740206,  230,    0
 27107,268194,19740207,    8,    0
 27107,268194,19740208,    0,    0
 27107,268194,19740209,    0,    0
 27107,268194,19740210,  235,    0
 27107,268194,19740211,   85,    0
 27107,268194,19740212,  385,    0
 27107,268194,19740213,  105,    0
 27107,268194,19740214,  238,    0
 27107,268194,19740215,  278,    0
 27107,268194,19740216,   65,    0
 27107,268194,19740217,    0,    0
 27107,268194,19740218,   50,    0
 27107,268194,19740219,   55,    0
 27107,268194,19740220,    0,    0
 27107,268194,19740221,    0,    0
 27107,268194,19740222,    0,    0
 27107,268194,19740223,    0,    0
 27107,268194,19740224,    0,    0
 27107,268194,19740225,    0,    0
 27107,268194,19740226,    0,    0
 27107,268194,19740227,    0,    0
 27107,268194,19740228,    0,    0
 27107,268194,19740301,   24,    0
 27107,268194,19740302,   85,    0
 27107,268194,19740303,    5,    0
 27107,268194,19740304,    9,    0
 27107,268194,19740305,    0,    0
 27107,268194,19740306,    0,    0
 27107,268194,19740307,    0,    0
 27107,268194,19740308,   15,    0
 27107,268194,19740309,  155,    0
 27107,268194,19740310,    0,    0
 27107,268194,19740311,    0,    0
 27107,268194,19740312,   91,    0
 27107,268194,19740313,    0,    0
 27107,268194,19740314,    3,    0
 27107,268194,19740315,   62,    0
 27107,268194,19740316,    5,    0
 27107,268194,19740317,-9999,    9
 27107,268194,19740318,  290,    0
 27107,268194,19740319,   40,    0
 27107,268194,19740320,   15,    0
 27107,268194,19740321,    3,    0
 27107,268194,19740322,   47,    0
 27107,268194,19740323,   27,    0
 27107,268194,19740324,    0,    0
 27107,268194,19740325,    0,    0
 27107,268194,19740326,    0,    0
 27107,268194,19740327,    0,    0
 27107,268194,19740328,    0,    0
 27107,268194,19740329,    0,    0
 27107,268194,19740330,    0,    0
 27107,268194,19740331,    0,    0
 27107,268194,19740401,  116,    0
 27107,268194,19740402,  130,    0
 27107,268194,19740403,   15,    0
 27107,268194,19740404,    0,    0
 27107,268194,19740405,    0,    0
 27107,268194,19740406,    0,    0
 27107,268194,19740407,    0,    0
 27107,268194,19740408,    0,    0
 27107,268194,19740409,    0,    0
 27107,268194,19740410,   15,    0
 27107,268194,19740411,    0,    0
 27107,268194,19740412,    6,    0
 27107,268194,19740413,    0,    0
 27107,268194,19740414,    5,    0
 27107,268194,19740415,    0,    0
 27107,268194,19740416,    0,    0
 27107,268194,19740417,    0,    0
 27107,268194,19740418,    0,    0
 27107,268194,19740419,    0,    0
 27107,268194,19740420,    0,    0
 27107,268194,19740421,   24,    0
 27107,268194,19740422,    0,    0
 27107,268194,19740423,    0,    0
 27107,268194,19740424,    0,    0
 27107,268194,19740425,    0,    0
 27107,268194,19740426,    0,    0
 27107,268194,19740427,    0,    0
 27107,268194,19740428,    0,    0
 27107,268194,19740429,    0,    0
 27107,268194,19740430,   35,    0
 27107,268194,19740501,    4,    0
 27107,268194,19740502,  366,    0
 27107,268194,19740503,  120,    0
 27107,268194,19740504,   18,    0
 27107,268194,19740505,   27,    0
 27107,268194,19740506,    0,    0
 27107,268194,19740507,    0,    0
 27107,268194,19740508,   10,    0
 27107,268194,19740509,  240,    0
 27107,268194,19740510,    7,    0
 27107,268194,19740511,   32,    0
 27107,268194,19740512,   45,    0
 27107,268194,19740513,    0,    0
 27107,268194,19740514,    0,    0
 27107,268194,19740515,  127,    0
 27107,268194,19740516,    0,    0
 27107,268194,19740517,    0,    0
 27107,268194,19740518,    0,    0
 27107,268194,19740519,    0,    0
 27107,268194,19740520,    0,    0
 27107,268194,19740521,    0,    0
 27107,268194,19740522,    0,    0
 27107,268194,19740523,    0,    0
 27107,268194,19740524,    0,    0
 27107,268194,19740525,    0,    0
 27107,268194,19740526,    0,    0
 27107,268194,19740527,    0,    0
 27107,268194,19740528,    0,    0
 27107,268194,19740529,   76,    0
 27107,268194,19740530,    0,    0
 27107,268194,19740531,    0,    0
 27107,268194,19740601,    0,    0
 27107,268194,19740602,    0,    0
 27107,268194,19740603,    0,    0
 27107,268194,19740604,    0,    0
 27107,268194,19740605,    0,    0
 27107,268194,19740606,    0,    0
 27107,268194,19740607,    0,    0
 27107,268194,19740608,    0,    0
 27107,268194,19740609,    0,    0
 27107,268194,19740610,    0,    0
 27107,268194,19740611,    0,    0
 27107,268194,19740612,    0,    0
