EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 268242) of station O PARAMO, SPAIN (STAID:  27111)

 STAID,    SOUID,    DATE,   RR, Q_RR
 27111,268242,19740201,   90,    0
 27111,268242,19740202,  120,    0
 27111,268242,19740203,    0,    0
 27111,268242,19740204,    0,    0
 27111,268242,19740205,    0,    0
 27111,268242,19740206,    0,    0
 27111,268242,19740207,  100,    0
 27111,268242,19740208,   60,    0
 27111,268242,19740209,    0,    0
 27111,268242,19740210,    0,    0
 27111,268242,19740211,  280,    0
 27111,268242,19740212,  130,    0
 27111,268242,19740213,  130,    0
 27111,268242,19740214,  190,    0
 27111,268242,19740215,  200,    0
 27111,268242,19740216,  220,    0
 27111,268242,19740217,    0,    0
 27111,268242,19740218,    0,    0
 27111,268242,19740219,    0,    0
 27111,268242,19740220,    0,    0
 27111,268242,19740221,    0,    0
 27111,268242,19740222,    0,    0
 27111,268242,19740223,    0,    0
 27111,268242,19740224,    0,    0
 27111,268242,19740225,    0,    0
 27111,268242,19740226,    0,    0
 27111,268242,19740227,    0,    0
 27111,268242,19740228,    0,    0
 27111,268242,19740301,-9999,    9
 27111,268242,19740302,-9999,    9
 27111,268242,19740303,-9999,    9
 27111,268242,19740304,-9999,    9
 27111,268242,19740305,-9999,    9
 27111,268242,19740306,-9999,    9
 27111,268242,19740307,-9999,    9
 27111,268242,19740308,-9999,    9
 27111,268242,19740309,-9999,    9
 27111,268242,19740310,-9999,    9
 27111,268242,19740311,-9999,    9
 27111,268242,19740312,-9999,    9
 27111,268242,19740313,-9999,    9
 27111,268242,19740314,-9999,    9
 27111,268242,19740315,-9999,    9
 27111,268242,19740316,-9999,    9
 27111,268242,19740317,-9999,    9
 27111,268242,19740318,-9999,    9
 27111,268242,19740319,-9999,    9
 27111,268242,19740320,-9999,    9
 27111,268242,19740321,-9999,    9
 27111,268242,19740322,-9999,    9
 27111,268242,19740323,-9999,    9
 27111,268242,19740324,-9999,    9
 27111,268242,19740325,-9999,    9
 27111,268242,19740326,-9999,    9
 27111,268242,19740327,-9999,    9
 27111,268242,19740328,-9999,    9
 27111,268242,19740329,-9999,    9
 27111,268242,19740330,-9999,    9
 27111,268242,19740331,-9999,    9
 27111,268242,19740401,-9999,    9
 27111,268242,19740402,-9999,    9
 27111,268242,19740403,-9999,    9
 27111,268242,19740404,-9999,    9
 27111,268242,19740405,-9999,    9
 27111,268242,19740406,-9999,    9
 27111,268242,19740407,-9999,    9
 27111,268242,19740408,-9999,    9
 27111,268242,19740409,-9999,    9
 27111,268242,19740410,-9999,    9
 27111,268242,19740411,-9999,    9
 27111,268242,19740412,-9999,    9
 27111,268242,19740413,-9999,    9
 27111,268242,19740414,-9999,    9
 27111,268242,19740415,-9999,    9
 27111,268242,19740416,-9999,    9
 27111,268242,19740417,-9999,    9
 27111,268242,19740418,-9999,    9
 27111,268242,19740419,-9999,    9
 27111,268242,19740420,-9999,    9
 27111,268242,19740421,-9999,    9
 27111,268242,19740422,-9999,    9
 27111,268242,19740423,-9999,    9
 27111,268242,19740424,-9999,    9
 27111,268242,19740425,-9999,    9
 27111,268242,19740426,-9999,    9
 27111,268242,19740427,-9999,    9
 27111,268242,19740428,-9999,    9
 27111,268242,19740429,-9999,    9
 27111,268242,19740430,-9999,    9
 27111,268242,19740501,-9999,    9
 27111,268242,19740502,-9999,    9
 27111,268242,19740503,-9999,    9
 27111,268242,19740504,-9999,    9
 27111,268242,19740505,-9999,    9
 27111,268242,19740506,-9999,    9
 27111,268242,19740507,-9999,    9
 27111,268242,19740508,-9999,    9
 27111,268242,19740509,-9999,    9
 27111,268242,19740510,-9999,    9
 27111,268242,19740511,-9999,    9
 27111,268242,19740512,-9999,    9
 27111,268242,19740513,-9999,    9
