EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 268338) of station FOLGOSO DO COUREL, SPAIN (STAID:  27119)

 STAID,    SOUID,    DATE,   RR, Q_RR
 27119,268338,19650301,    0,    0
 27119,268338,19650302,    0,    0
 27119,268338,19650303,    0,    0
 27119,268338,19650304,    0,    0
 27119,268338,19650305,    0,    0
 27119,268338,19650306,    0,    0
 27119,268338,19650307,    0,    0
 27119,268338,19650308,    0,    0
 27119,268338,19650309,    0,    0
 27119,268338,19650310,    0,    0
 27119,268338,19650311,    0,    0
 27119,268338,19650312,    0,    0
 27119,268338,19650313,    0,    0
 27119,268338,19650314,    0,    0
 27119,268338,19650315,    0,    0
 27119,268338,19650316,    0,    0
 27119,268338,19650317,    0,    0
 27119,268338,19650318,    0,    0
 27119,268338,19650319,    0,    0
 27119,268338,19650320,    0,    0
 27119,268338,19650321,    0,    0
 27119,268338,19650322,  300,    0
 27119,268338,19650323,  310,    0
 27119,268338,19650324,   20,    0
 27119,268338,19650325,    0,    0
 27119,268338,19650326,    0,    0
 27119,268338,19650327,    0,    0
 27119,268338,19650328,    0,    0
 27119,268338,19650329,    0,    0
 27119,268338,19650330,    0,    0
 27119,268338,19650331,-9999,    9
 27119,268338,19650401,   30,    0
 27119,268338,19650402,    0,    0
 27119,268338,19650403,    0,    0
 27119,268338,19650404,-9999,    9
 27119,268338,19650405,    0,    0
 27119,268338,19650406,   40,    0
 27119,268338,19650407,    0,    0
 27119,268338,19650408,    0,    0
 27119,268338,19650409,  100,    0
 27119,268338,19650410,   10,    0
 27119,268338,19650411,  110,    0
 27119,268338,19650412,    0,    0
 27119,268338,19650413,  300,    0
 27119,268338,19650414,  500,    0
 27119,268338,19650415,    0,    0
 27119,268338,19650416,    0,    0
 27119,268338,19650417,    0,    0
 27119,268338,19650418,    0,    0
 27119,268338,19650419,    0,    0
 27119,268338,19650420,    0,    0
 27119,268338,19650421,    0,    0
 27119,268338,19650422,   10,    0
 27119,268338,19650423,    0,    0
 27119,268338,19650424,    0,    0
 27119,268338,19650425,    0,    0
 27119,268338,19650426,    0,    0
 27119,268338,19650427,    0,    0
 27119,268338,19650428,   30,    0
 27119,268338,19650429,   60,    0
 27119,268338,19650430,   30,    0
 27119,268338,19650501,  100,    0
 27119,268338,19650502,  110,    0
 27119,268338,19650503,    0,    0
 27119,268338,19650504,    0,    0
 27119,268338,19650505,    0,    0
 27119,268338,19650506,    0,    0
 27119,268338,19650507,    0,    0
 27119,268338,19650508,    0,    0
 27119,268338,19650509,    0,    0
 27119,268338,19650510,    0,    0
 27119,268338,19650511,    0,    0
 27119,268338,19650512,    0,    0
 27119,268338,19650513,    0,    0
 27119,268338,19650514,    0,    0
 27119,268338,19650515,    0,    0
 27119,268338,19650516,    0,    0
 27119,268338,19650517,   50,    0
 27119,268338,19650518,  100,    0
 27119,268338,19650519,  300,    0
 27119,268338,19650520,    0,    0
 27119,268338,19650521,    0,    0
 27119,268338,19650522,    0,    0
 27119,268338,19650523,    0,    0
 27119,268338,19650524,    0,    0
 27119,268338,19650525,    0,    0
 27119,268338,19650526,    0,    0
 27119,268338,19650527,    0,    0
 27119,268338,19650528,    0,    0
 27119,268338,19650529,    0,    0
 27119,268338,19650530,    0,    0
 27119,268338,19650531,    0,    0
 27119,268338,19650601,    0,    0
 27119,268338,19650602,    0,    0
 27119,268338,19650603,    0,    0
 27119,268338,19650604,    0,    0
 27119,268338,19650605,    0,    0
 27119,268338,19650606,    0,    0
 27119,268338,19650607,  100,    0
 27119,268338,19650608,  100,    0
 27119,268338,19650609,    0,    0
 27119,268338,19650610,    0,    0
 27119,268338,19650611,    0,    0
 27119,268338,19650612,    0,    0
 27119,268338,19650613,    0,    0
 27119,268338,19650614,    0,    0
 27119,268338,19650615,    0,    0
 27119,268338,19650616,    0,    0
 27119,268338,19650617,-9999,    9
 27119,268338,19650618,    0,    0
 27119,268338,19650619,    0,    0
 27119,268338,19650620,    0,    0
 27119,268338,19650621,-9999,    9
 27119,268338,19650622,    0,    0
 27119,268338,19650623,    0,    0
 27119,268338,19650624,    0,    0
 27119,268338,19650625,    0,    0
 27119,268338,19650626,    0,    0
 27119,268338,19650627,    0,    0
 27119,268338,19650628,    0,    0
 27119,268338,19650629,    0,    0
 27119,268338,19650630,    0,    0
 27119,268338,19650701,    0,    0
 27119,268338,19650702,    0,    0
 27119,268338,19650703,   60,    0
 27119,268338,19650704,   80,    0
 27119,268338,19650705,    0,    0
 27119,268338,19650706,    0,    0
 27119,268338,19650707,    0,    0
 27119,268338,19650708,    0,    0
 27119,268338,19650709,    0,    0
 27119,268338,19650710,    0,    0
 27119,268338,19650711,    0,    0
