EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 268362) of station BEARIZ, SPAIN (STAID:  27121)

 STAID,    SOUID,    DATE,   RR, Q_RR
 27121,268362,19740201,   40,    0
 27121,268362,19740202,   36,    0
 27121,268362,19740203,   54,    0
 27121,268362,19740204,   29,    0
 27121,268362,19740205,   65,    0
 27121,268362,19740206,   72,    0
 27121,268362,19740207,   82,    0
 27121,268362,19740208,   25,    0
 27121,268362,19740209,   18,    0
 27121,268362,19740210,   90,    0
 27121,268362,19740211,   62,    0
 27121,268362,19740212,   57,    0
 27121,268362,19740213,    9,    0
 27121,268362,19740214,  100,    0
 27121,268362,19740215,   68,    0
 27121,268362,19740216,   37,    0
 27121,268362,19740217,    0,    0
 27121,268362,19740218,    0,    0
 27121,268362,19740219,   28,    0
 27121,268362,19740220,   12,    0
 27121,268362,19740221,    0,    0
 27121,268362,19740222,    0,    0
 27121,268362,19740223,    0,    0
 27121,268362,19740224,    0,    0
 27121,268362,19740225,    0,    0
 27121,268362,19740226,    0,    0
 27121,268362,19740227,    0,    0
 27121,268362,19740228,    0,    0
 27121,268362,19740301,-9999,    9
 27121,268362,19740302,-9999,    9
 27121,268362,19740303,-9999,    9
 27121,268362,19740304,-9999,    9
 27121,268362,19740305,-9999,    9
 27121,268362,19740306,-9999,    9
 27121,268362,19740307,-9999,    9
 27121,268362,19740308,-9999,    9
 27121,268362,19740309,-9999,    9
 27121,268362,19740310,-9999,    9
 27121,268362,19740311,-9999,    9
 27121,268362,19740312,-9999,    9
 27121,268362,19740313,-9999,    9
 27121,268362,19740314,-9999,    9
 27121,268362,19740315,-9999,    9
 27121,268362,19740316,-9999,    9
 27121,268362,19740317,-9999,    9
 27121,268362,19740318,-9999,    9
 27121,268362,19740319,-9999,    9
 27121,268362,19740320,-9999,    9
 27121,268362,19740321,-9999,    9
 27121,268362,19740322,-9999,    9
 27121,268362,19740323,-9999,    9
 27121,268362,19740324,-9999,    9
 27121,268362,19740325,-9999,    9
 27121,268362,19740326,-9999,    9
 27121,268362,19740327,-9999,    9
 27121,268362,19740328,-9999,    9
 27121,268362,19740329,-9999,    9
 27121,268362,19740330,-9999,    9
 27121,268362,19740331,-9999,    9
 27121,268362,19740401,    0,    0
 27121,268362,19740402,    0,    0
 27121,268362,19740403,    0,    0
 27121,268362,19740404,    0,    0
 27121,268362,19740405,    0,    0
 27121,268362,19740406,    0,    0
 27121,268362,19740407,    0,    0
 27121,268362,19740408,    0,    0
 27121,268362,19740409,    0,    0
 27121,268362,19740410,    0,    0
 27121,268362,19740411,   30,    0
 27121,268362,19740412,   50,    0
 27121,268362,19740413,    0,    0
 27121,268362,19740414,    0,    0
 27121,268362,19740415,    0,    0
 27121,268362,19740416,    0,    0
 27121,268362,19740417,    0,    0
 27121,268362,19740418,    0,    0
 27121,268362,19740419,    0,    0
 27121,268362,19740420,   20,    0
 27121,268362,19740421,    0,    0
 27121,268362,19740422,    0,    0
 27121,268362,19740423,    0,    0
 27121,268362,19740424,    0,    0
 27121,268362,19740425,    0,    0
 27121,268362,19740426,    0,    0
 27121,268362,19740427,    0,    0
 27121,268362,19740428,    0,    0
 27121,268362,19740429,    0,    0
 27121,268362,19740430,    0,    0
 27121,268362,19740501,-9999,    9
 27121,268362,19740502,-9999,    9
 27121,268362,19740503,-9999,    9
 27121,268362,19740504,-9999,    9
 27121,268362,19740505,-9999,    9
 27121,268362,19740506,-9999,    9
 27121,268362,19740507,-9999,    9
 27121,268362,19740508,-9999,    9
 27121,268362,19740509,-9999,    9
 27121,268362,19740510,-9999,    9
 27121,268362,19740511,-9999,    9
 27121,268362,19740512,-9999,    9
 27121,268362,19740513,-9999,    9
 27121,268362,19740514,-9999,    9
 27121,268362,19740515,-9999,    9
 27121,268362,19740516,-9999,    9
 27121,268362,19740517,-9999,    9
 27121,268362,19740518,-9999,    9
 27121,268362,19740519,-9999,    9
 27121,268362,19740520,-9999,    9
 27121,268362,19740521,-9999,    9
 27121,268362,19740522,-9999,    9
 27121,268362,19740523,-9999,    9
 27121,268362,19740524,-9999,    9
 27121,268362,19740525,-9999,    9
 27121,268362,19740526,-9999,    9
 27121,268362,19740527,-9999,    9
 27121,268362,19740528,-9999,    9
 27121,268362,19740529,-9999,    9
 27121,268362,19740530,-9999,    9
 27121,268362,19740531,-9999,    9
 27121,268362,19740601,    0,    0
 27121,268362,19740602,    0,    0
 27121,268362,19740603,    0,    0
 27121,268362,19740604,    0,    0
 27121,268362,19740605,    0,    0
 27121,268362,19740606,    0,    0
 27121,268362,19740607,    0,    0
 27121,268362,19740608,    0,    0
 27121,268362,19740609,    0,    0
 27121,268362,19740610,    0,    0
 27121,268362,19740611,    0,    0
 27121,268362,19740612,    0,    0
 27121,268362,19740613,    0,    0
 27121,268362,19740614,    0,    0
 27121,268362,19740615,    0,    0
 27121,268362,19740616,    0,    0
 27121,268362,19740617,    0,    0
 27121,268362,19740618,    0,    0
 27121,268362,19740619,    0,    0
 27121,268362,19740620,    0,    0
 27121,268362,19740621,   70,    0
 27121,268362,19740622,  110,    0
 27121,268362,19740623,   60,    0
 27121,268362,19740624,   50,    0
 27121,268362,19740625,   80,    0
 27121,268362,19740626,  150,    0
 27121,268362,19740627,  240,    0
 27121,268362,19740628,  270,    0
 27121,268362,19740629,  120,    0
 27121,268362,19740630,   30,    0
 27121,268362,19740701,    0,    0
 27121,268362,19740702,    0,    0
 27121,268362,19740703,    0,    0
 27121,268362,19740704,    0,    0
 27121,268362,19740705,    0,    0
 27121,268362,19740706,    0,    0
 27121,268362,19740707,    0,    0
 27121,268362,19740708,    0,    0
 27121,268362,19740709,    0,    0
 27121,268362,19740710,    0,    0
 27121,268362,19740711,    0,    0
 27121,268362,19740712,    0,    0
 27121,268362,19740713,    0,    0
 27121,268362,19740714,    0,    0
 27121,268362,19740715,    0,    0
 27121,268362,19740716,    0,    0
 27121,268362,19740717,    0,    0
 27121,268362,19740718,    0,    0
 27121,268362,19740719,    0,    0
 27121,268362,19740720,    0,    0
 27121,268362,19740721,    0,    0
 27121,268362,19740722,    0,    0
 27121,268362,19740723,    0,    0
 27121,268362,19740724,    0,    0
 27121,268362,19740725,    0,    0
 27121,268362,19740726,    0,    0
 27121,268362,19740727,    0,    0
 27121,268362,19740728,    0,    0
 27121,268362,19740729,    0,    0
 27121,268362,19740730,    0,    0
 27121,268362,19740731,    0,    0
 27121,268362,19740801,    0,    0
 27121,268362,19740802,    0,    0
 27121,268362,19740803,    0,    0
 27121,268362,19740804,    0,    0
 27121,268362,19740805,    0,    0
 27121,268362,19740806,    0,    0
 27121,268362,19740807,    0,    0
 27121,268362,19740808,    0,    0
 27121,268362,19740809,    0,    0
 27121,268362,19740810,    0,    0
 27121,268362,19740811,    0,    0
 27121,268362,19740812,    0,    0
 27121,268362,19740813,    0,    0
 27121,268362,19740814,    0,    0
 27121,268362,19740815,    0,    0
 27121,268362,19740816,    0,    0
 27121,268362,19740817,    0,    0
 27121,268362,19740818,    0,    0
 27121,268362,19740819,    0,    0
 27121,268362,19740820,    0,    0
 27121,268362,19740821,    0,    0
 27121,268362,19740822,    0,    0
 27121,268362,19740823,    0,    0
 27121,268362,19740824,    0,    0
 27121,268362,19740825,    0,    0
 27121,268362,19740826,    0,    0
 27121,268362,19740827,    0,    0
 27121,268362,19740828,    0,    0
 27121,268362,19740829,   20,    0
 27121,268362,19740830,   30,    0
 27121,268362,19740831,   50,    0
 27121,268362,19740901,   40,    0
 27121,268362,19740902,   90,    0
 27121,268362,19740903,   60,    0
 27121,268362,19740904,   20,    0
 27121,268362,19740905,   30,    0
 27121,268362,19740906,    0,    0
 27121,268362,19740907,    0,    0
 27121,268362,19740908,    0,    0
 27121,268362,19740909,   30,    0
 27121,268362,19740910,   80,    0
 27121,268362,19740911,    0,    0
 27121,268362,19740912,    0,    0
 27121,268362,19740913,    0,    0
 27121,268362,19740914,    0,    0
 27121,268362,19740915,    0,    0
 27121,268362,19740916,    0,    0
 27121,268362,19740917,    0,    0
 27121,268362,19740918,    0,    0
 27121,268362,19740919,    0,    0
 27121,268362,19740920,    0,    0
 27121,268362,19740921,    0,    0
 27121,268362,19740922,    0,    0
 27121,268362,19740923,    0,    0
 27121,268362,19740924,    0,    0
 27121,268362,19740925,    0,    0
 27121,268362,19740926,    0,    0
 27121,268362,19740927,    0,    0
 27121,268362,19740928,    0,    0
 27121,268362,19740929,    0,    0
 27121,268362,19740930,    0,    0
 27121,268362,19741001,    0,    0
 27121,268362,19741002,    0,    0
 27121,268362,19741003,    0,    0
 27121,268362,19741004,    0,    0
 27121,268362,19741005,    0,    0
 27121,268362,19741006,    0,    0
 27121,268362,19741007,    0,    0
 27121,268362,19741008,    0,    0
 27121,268362,19741009,    0,    0
 27121,268362,19741010,    0,    0
 27121,268362,19741011,    0,    0
 27121,268362,19741012,    0,    0
 27121,268362,19741013,    0,    0
 27121,268362,19741014,    0,    0
 27121,268362,19741015,    0,    0
 27121,268362,19741016,    0,    0
 27121,268362,19741017,    0,    0
 27121,268362,19741018,   30,    0
 27121,268362,19741019,   10,    0
 27121,268362,19741020,   40,    0
 27121,268362,19741021,   40,    0
 27121,268362,19741022,   10,    0
 27121,268362,19741023,    0,    0
 27121,268362,19741024,    0,    0
 27121,268362,19741025,    0,    0
 27121,268362,19741026,    0,    0
 27121,268362,19741027,    0,    0
 27121,268362,19741028,    0,    0
 27121,268362,19741029,    0,    0
 27121,268362,19741030,    0,    0
 27121,268362,19741031,    0,    0
 27121,268362,19741101,-9999,    9
 27121,268362,19741102,-9999,    9
 27121,268362,19741103,-9999,    9
 27121,268362,19741104,-9999,    9
 27121,268362,19741105,-9999,    9
 27121,268362,19741106,-9999,    9
 27121,268362,19741107,-9999,    9
 27121,268362,19741108,-9999,    9
 27121,268362,19741109,-9999,    9
 27121,268362,19741110,-9999,    9
 27121,268362,19741111,-9999,    9
 27121,268362,19741112,-9999,    9
 27121,268362,19741113,-9999,    9
 27121,268362,19741114,-9999,    9
 27121,268362,19741115,-9999,    9
 27121,268362,19741116,-9999,    9
 27121,268362,19741117,-9999,    9
 27121,268362,19741118,-9999,    9
 27121,268362,19741119,-9999,    9
 27121,268362,19741120,-9999,    9
 27121,268362,19741121,-9999,    9
 27121,268362,19741122,-9999,    9
 27121,268362,19741123,-9999,    9
 27121,268362,19741124,-9999,    9
 27121,268362,19741125,-9999,    9
 27121,268362,19741126,-9999,    9
 27121,268362,19741127,-9999,    9
 27121,268362,19741128,-9999,    9
 27121,268362,19741129,-9999,    9
 27121,268362,19741130,-9999,    9
 27121,268362,19741201,    0,    0
 27121,268362,19741202,    0,    0
 27121,268362,19741203,    0,    0
 27121,268362,19741204,    0,    0
 27121,268362,19741205,    0,    0
 27121,268362,19741206,    0,    0
 27121,268362,19741207,    0,    0
 27121,268362,19741208,    0,    0
 27121,268362,19741209,    0,    0
 27121,268362,19741210,    0,    0
 27121,268362,19741211,    0,    0
 27121,268362,19741212,    0,    0
 27121,268362,19741213,    0,    0
 27121,268362,19741214,    0,    0
 27121,268362,19741215,    0,    0
 27121,268362,19741216,    0,    0
 27121,268362,19741217,    0,    0
 27121,268362,19741218,    0,    0
 27121,268362,19741219,    0,    0
 27121,268362,19741220,   70,    0
 27121,268362,19741221,  120,    0
 27121,268362,19741222,   30,    0
 27121,268362,19741223,   80,    0
 27121,268362,19741224,    0,    0
 27121,268362,19741225,    0,    0
 27121,268362,19741226,    0,    0
 27121,268362,19741227,    0,    0
 27121,268362,19741228,    0,    0
 27121,268362,19741229,    0,    0
 27121,268362,19741230,    0,    0
 27121,268362,19741231,    0,    0
 27121,268362,19750101,    0,    0
 27121,268362,19750102,    0,    0
 27121,268362,19750103,    0,    0
 27121,268362,19750104,   10,    0
 27121,268362,19750105,   30,    0
 27121,268362,19750106,   32,    0
 27121,268362,19750107,   25,    0
 27121,268362,19750108,   30,    0
 27121,268362,19750109,   90,    0
 27121,268362,19750110,  105,    0
 27121,268362,19750111,   30,    0
 27121,268362,19750112,   17,    0
 27121,268362,19750113,    8,    0
 27121,268362,19750114,    0,    0
 27121,268362,19750115,   20,    0
 27121,268362,19750116,   15,    0
 27121,268362,19750117,   25,    0
 27121,268362,19750118,   40,    0
 27121,268362,19750119,   60,    0
 27121,268362,19750120,   25,    0
 27121,268362,19750121,   15,    0
 27121,268362,19750122,    0,    0
 27121,268362,19750123,    0,    0
 27121,268362,19750124,    0,    0
 27121,268362,19750125,    0,    0
 27121,268362,19750126,    0,    0
 27121,268362,19750127,    0,    0
 27121,268362,19750128,    0,    0
 27121,268362,19750129,    0,    0
 27121,268362,19750130,    0,    0
 27121,268362,19750131,    0,    0
 27121,268362,19750201,    0,    0
 27121,268362,19750202,    0,    0
 27121,268362,19750203,    0,    0
 27121,268362,19750204,    0,    0
 27121,268362,19750205,    0,    0
 27121,268362,19750206,    7,    0
 27121,268362,19750207,   27,    0
 27121,268362,19750208,   25,    0
 27121,268362,19750209,   10,    0
 27121,268362,19750210,   50,    0
 27121,268362,19750211,   40,    0
 27121,268362,19750212,   10,    0
 27121,268362,19750213,   32,    0
 27121,268362,19750214,   25,    0
 27121,268362,19750215,    3,    0
 27121,268362,19750216,    0,    0
 27121,268362,19750217,    0,    0
 27121,268362,19750218,    0,    0
 27121,268362,19750219,    0,    0
 27121,268362,19750220,    0,    0
 27121,268362,19750221,    0,    0
 27121,268362,19750222,    0,    0
 27121,268362,19750223,    0,    0
 27121,268362,19750224,    0,    0
 27121,268362,19750225,    0,    0
 27121,268362,19750226,    0,    0
 27121,268362,19750227,   17,    0
 27121,268362,19750228,   80,    0
 27121,268362,19750301,  270,    0
 27121,268362,19750302,  500,    0
 27121,268362,19750303,  600,    0
 27121,268362,19750304,  300,    0
 27121,268362,19750305,  120,    0
 27121,268362,19750306,  100,    0
 27121,268362,19750307,  750,    0
 27121,268362,19750308,  300,    0
 27121,268362,19750309,  100,    0
 27121,268362,19750310,  120,    0
 27121,268362,19750311,    0,    0
 27121,268362,19750312,    0,    0
 27121,268362,19750313,    0,    0
 27121,268362,19750314,    0,    0
 27121,268362,19750315,  500,    0
 27121,268362,19750316,   70,    0
 27121,268362,19750317,   30,    0
 27121,268362,19750318,    0,    0
 27121,268362,19750319,    0,    0
 27121,268362,19750320,    0,    0
 27121,268362,19750321,    0,    0
 27121,268362,19750322,    0,    0
 27121,268362,19750323,    0,    0
 27121,268362,19750324,    0,    0
 27121,268362,19750325,    0,    0
 27121,268362,19750326,    0,    0
 27121,268362,19750327,   50,    0
 27121,268362,19750328,   90,    0
 27121,268362,19750329,   60,    0
 27121,268362,19750330,    0,    0
 27121,268362,19750331,    0,    0
 27121,268362,19750401,-9999,    9
 27121,268362,19750402,-9999,    9
 27121,268362,19750403,-9999,    9
 27121,268362,19750404,-9999,    9
 27121,268362,19750405,-9999,    9
 27121,268362,19750406,-9999,    9
 27121,268362,19750407,-9999,    9
 27121,268362,19750408,-9999,    9
 27121,268362,19750409,-9999,    9
 27121,268362,19750410,-9999,    9
 27121,268362,19750411,-9999,    9
 27121,268362,19750412,-9999,    9
 27121,268362,19750413,-9999,    9
 27121,268362,19750414,-9999,    9
 27121,268362,19750415,-9999,    9
 27121,268362,19750416,-9999,    9
 27121,268362,19750417,-9999,    9
 27121,268362,19750418,-9999,    9
 27121,268362,19750419,-9999,    9
 27121,268362,19750420,-9999,    9
 27121,268362,19750421,-9999,    9
 27121,268362,19750422,-9999,    9
 27121,268362,19750423,-9999,    9
 27121,268362,19750424,-9999,    9
 27121,268362,19750425,-9999,    9
 27121,268362,19750426,-9999,    9
 27121,268362,19750427,-9999,    9
 27121,268362,19750428,-9999,    9
 27121,268362,19750429,-9999,    9
 27121,268362,19750430,-9999,    9
 27121,268362,19750501,    0,    0
 27121,268362,19750502,    0,    0
 27121,268362,19750503,    0,    0
 27121,268362,19750504,    0,    0
 27121,268362,19750505,    0,    0
 27121,268362,19750506,    0,    0
 27121,268362,19750507,    0,    0
 27121,268362,19750508,    0,    0
 27121,268362,19750509,    0,    0
 27121,268362,19750510,    0,    0
 27121,268362,19750511,    0,    0
 27121,268362,19750512,    0,    0
 27121,268362,19750513,    0,    0
 27121,268362,19750514,    0,    0
 27121,268362,19750515,  470,    0
 27121,268362,19750516,  300,    0
 27121,268362,19750517,  200,    0
 27121,268362,19750518,  120,    0
 27121,268362,19750519,   70,    0
 27121,268362,19750520,   30,    0
 27121,268362,19750521,   20,    0
 27121,268362,19750522,    0,    0
 27121,268362,19750523,    0,    0
 27121,268362,19750524,    0,    0
 27121,268362,19750525,    0,    0
 27121,268362,19750526,    0,    0
 27121,268362,19750527,    0,    0
 27121,268362,19750528,    0,    0
 27121,268362,19750529,    0,    0
 27121,268362,19750530,   40,    0
 27121,268362,19750531,   60,    0
 27121,268362,19750601,    0,    0
 27121,268362,19750602,    0,    0
 27121,268362,19750603,    0,    0
 27121,268362,19750604,    0,    0
 27121,268362,19750605,    0,    0
 27121,268362,19750606,    0,    0
 27121,268362,19750607,    0,    0
 27121,268362,19750608,    0,    0
 27121,268362,19750609,    0,    0
 27121,268362,19750610,    0,    0
 27121,268362,19750611,    0,    0
 27121,268362,19750612,    0,    0
 27121,268362,19750613,    0,    0
 27121,268362,19750614,    0,    0
 27121,268362,19750615,    0,    0
 27121,268362,19750616,    0,    0
 27121,268362,19750617,    0,    0
 27121,268362,19750618,    0,    0
 27121,268362,19750619,    0,    0
 27121,268362,19750620,   30,    0
 27121,268362,19750621,   70,    0
 27121,268362,19750622,   20,    0
 27121,268362,19750623,  100,    0
 27121,268362,19750624,   50,    0
 27121,268362,19750625,    0,    0
 27121,268362,19750626,    0,    0
 27121,268362,19750627,   30,    0
 27121,268362,19750628,    0,    0
 27121,268362,19750629,    0,    0
 27121,268362,19750630,    0,    0
 27121,268362,19750701,-9999,    9
 27121,268362,19750702,-9999,    9
 27121,268362,19750703,-9999,    9
 27121,268362,19750704,-9999,    9
 27121,268362,19750705,-9999,    9
 27121,268362,19750706,-9999,    9
 27121,268362,19750707,-9999,    9
 27121,268362,19750708,-9999,    9
 27121,268362,19750709,-9999,    9
 27121,268362,19750710,-9999,    9
 27121,268362,19750711,-9999,    9
 27121,268362,19750712,-9999,    9
 27121,268362,19750713,-9999,    9
 27121,268362,19750714,-9999,    9
 27121,268362,19750715,-9999,    9
 27121,268362,19750716,-9999,    9
 27121,268362,19750717,-9999,    9
 27121,268362,19750718,-9999,    9
 27121,268362,19750719,-9999,    9
 27121,268362,19750720,-9999,    9
 27121,268362,19750721,-9999,    9
 27121,268362,19750722,-9999,    9
 27121,268362,19750723,-9999,    9
 27121,268362,19750724,-9999,    9
 27121,268362,19750725,-9999,    9
 27121,268362,19750726,-9999,    9
 27121,268362,19750727,-9999,    9
 27121,268362,19750728,-9999,    9
 27121,268362,19750729,-9999,    9
 27121,268362,19750730,-9999,    9
 27121,268362,19750731,-9999,    9
 27121,268362,19750801,    0,    0
 27121,268362,19750802,    0,    0
 27121,268362,19750803,    0,    0
 27121,268362,19750804,    0,    0
 27121,268362,19750805,    0,    0
 27121,268362,19750806,    0,    0
 27121,268362,19750807,    0,    0
 27121,268362,19750808,    0,    0
 27121,268362,19750809,    0,    0
 27121,268362,19750810,    0,    0
 27121,268362,19750811,    0,    0
 27121,268362,19750812,    0,    0
 27121,268362,19750813,    0,    0
 27121,268362,19750814,    0,    0
 27121,268362,19750815,    0,    0
 27121,268362,19750816,    0,    0
 27121,268362,19750817,    0,    0
 27121,268362,19750818,    0,    0
 27121,268362,19750819,    0,    0
 27121,268362,19750820,    0,    0
 27121,268362,19750821,    0,    0
 27121,268362,19750822,    0,    0
 27121,268362,19750823,    0,    0
 27121,268362,19750824,    0,    0
 27121,268362,19750825,    0,    0
 27121,268362,19750826,    0,    0
 27121,268362,19750827,    0,    0
 27121,268362,19750828,    0,    0
 27121,268362,19750829,    0,    0
 27121,268362,19750830,    0,    0
 27121,268362,19750831,    0,    0
 27121,268362,19750901,    0,    0
 27121,268362,19750902,    0,    0
 27121,268362,19750903,    0,    0
 27121,268362,19750904,    0,    0
 27121,268362,19750905, 1070,    0
 27121,268362,19750906,  200,    0
 27121,268362,19750907,    0,    0
 27121,268362,19750908,    0,    0
 27121,268362,19750909,    0,    0
 27121,268362,19750910,    0,    0
 27121,268362,19750911,    0,    0
 27121,268362,19750912,  100,    0
 27121,268362,19750913,  220,    0
 27121,268362,19750914,    0,    0
 27121,268362,19750915,   70,    0
 27121,268362,19750916,   80,    0
 27121,268362,19750917,    0,    0
 27121,268362,19750918,    0,    0
 27121,268362,19750919,    0,    0
 27121,268362,19750920,    0,    0
 27121,268362,19750921,   30,    0
 27121,268362,19750922,    0,    0
 27121,268362,19750923,    0,    0
 27121,268362,19750924,    0,    0
 27121,268362,19750925,  300,    0
 27121,268362,19750926,  100,    0
 27121,268362,19750927,  102,    0
 27121,268362,19750928,  470,    0
 27121,268362,19750929,  400,    0
 27121,268362,19750930,  600,    0
 27121,268362,19751001,   20,    0
 27121,268362,19751002,    0,    0
 27121,268362,19751003,    0,    0
 27121,268362,19751004,    0,    0
 27121,268362,19751005,    0,    0
 27121,268362,19751006,    0,    0
 27121,268362,19751007,    0,    0
 27121,268362,19751008,    0,    0
 27121,268362,19751009,    0,    0
 27121,268362,19751010,    0,    0
 27121,268362,19751011,   30,    0
 27121,268362,19751012,    0,    0
 27121,268362,19751013,   40,    0
 27121,268362,19751014,   70,    0
 27121,268362,19751015,   90,    0
 27121,268362,19751016,   80,    0
 27121,268362,19751017,   10,    0
 27121,268362,19751018,   40,    0
 27121,268362,19751019,   30,    0
 27121,268362,19751020,    0,    0
 27121,268362,19751021,    0,    0
 27121,268362,19751022,   20,    0
 27121,268362,19751023,   50,    0
 27121,268362,19751024,    0,    0
 27121,268362,19751025,    0,    0
 27121,268362,19751026,    0,    0
 27121,268362,19751027,    0,    0
 27121,268362,19751028,    0,    0
 27121,268362,19751029,  110,    0
 27121,268362,19751030,  140,    0
 27121,268362,19751031,  120,    0
 27121,268362,19751101,    0,    0
 27121,268362,19751102,    0,    0
 27121,268362,19751103,    0,    0
 27121,268362,19751104,    0,    0
 27121,268362,19751105,    0,    0
 27121,268362,19751106,    0,    0
 27121,268362,19751107,    0,    0
 27121,268362,19751108,    0,    0
 27121,268362,19751109,    0,    0
 27121,268362,19751110,    0,    0
 27121,268362,19751111,  120,    0
 27121,268362,19751112,    0,    0
 27121,268362,19751113,    0,    0
 27121,268362,19751114,    0,    0
 27121,268362,19751115,   30,    0
 27121,268362,19751116,   40,    0
 27121,268362,19751117,    0,    0
