EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 268470) of station SANTILLANA DEL MAR  ALTAMIRA, SPAIN (STAID:  27130)

 STAID,    SOUID,    DATE,   RR, Q_RR
 27130,268470,19500101,   59,    0
 27130,268470,19500102,    0,    0
 27130,268470,19500103,    0,    0
 27130,268470,19500104,    0,    0
 27130,268470,19500105,    0,    0
 27130,268470,19500106,    0,    0
 27130,268470,19500107,    0,    0
 27130,268470,19500108,    0,    0
 27130,268470,19500109,    0,    0
 27130,268470,19500110,   60,    0
 27130,268470,19500111,    0,    0
 27130,268470,19500112,    0,    0
 27130,268470,19500113,    0,    0
 27130,268470,19500114,    0,    0
 27130,268470,19500115,    0,    0
 27130,268470,19500116,    0,    0
 27130,268470,19500117,  320,    0
 27130,268470,19500118,  108,    0
 27130,268470,19500119,    0,    0
 27130,268470,19500120,    0,    0
 27130,268470,19500121,    0,    0
 27130,268470,19500122,    0,    0
 27130,268470,19500123,    0,    0
 27130,268470,19500124,   83,    0
 27130,268470,19500125,   16,    0
 27130,268470,19500126,    0,    0
 27130,268470,19500127,    0,    0
 27130,268470,19500128,    0,    0
 27130,268470,19500129,    0,    0
 27130,268470,19500130,    0,    0
 27130,268470,19500131,    0,    0
 27130,268470,19500201,  157,    0
 27130,268470,19500202,    0,    0
 27130,268470,19500203,    0,    0
 27130,268470,19500204,    0,    0
 27130,268470,19500205,    0,    0
 27130,268470,19500206,    0,    0
 27130,268470,19500207,    0,    0
 27130,268470,19500208,   64,    0
 27130,268470,19500209,    0,    0
 27130,268470,19500210,    0,    0
 27130,268470,19500211,   36,    0
 27130,268470,19500212,   70,    0
 27130,268470,19500213,   97,    0
 27130,268470,19500214,  173,    0
 27130,268470,19500215,    0,    0
 27130,268470,19500216,    0,    0
 27130,268470,19500217,    0,    0
 27130,268470,19500218,    0,    0
 27130,268470,19500219,    0,    0
 27130,268470,19500220,    0,    0
 27130,268470,19500221,    0,    0
 27130,268470,19500222,    0,    0
 27130,268470,19500223,    0,    0
 27130,268470,19500224,   10,    0
 27130,268470,19500225,   31,    0
 27130,268470,19500226,  149,    0
 27130,268470,19500227,  277,    0
 27130,268470,19500228,   85,    0
 27130,268470,19500301,   56,    0
 27130,268470,19500302,    0,    0
 27130,268470,19500303,    0,    0
 27130,268470,19500304,    0,    0
 27130,268470,19500305,    0,    0
 27130,268470,19500306,    0,    0
 27130,268470,19500307,    0,    0
 27130,268470,19500308,    0,    0
 27130,268470,19500309,    0,    0
 27130,268470,19500310,    0,    0
 27130,268470,19500311,    0,    0
 27130,268470,19500312,    0,    0
 27130,268470,19500313,    0,    0
 27130,268470,19500314,    0,    0
 27130,268470,19500315,    0,    0
 27130,268470,19500316,   51,    0
 27130,268470,19500317,    0,    0
 27130,268470,19500318,   41,    0
 27130,268470,19500319,   65,    0
 27130,268470,19500320,    0,    0
 27130,268470,19500321,    0,    0
 27130,268470,19500322,    7,    0
 27130,268470,19500323,    0,    0
 27130,268470,19500324,    0,    0
 27130,268470,19500325,    0,    0
 27130,268470,19500326,    0,    0
 27130,268470,19500327,   82,    0
 27130,268470,19500328,   17,    0
 27130,268470,19500329,    0,    0
 27130,268470,19500330,    0,    0
 27130,268470,19500331,   85,    0
 27130,268470,19500401,   10,    0
 27130,268470,19500402,   95,    0
 27130,268470,19500403,   14,    0
 27130,268470,19500404,    0,    0
 27130,268470,19500405,    0,    0
 27130,268470,19500406,    0,    0
 27130,268470,19500407,    0,    0
 27130,268470,19500408,    0,    0
 27130,268470,19500409,    0,    0
 27130,268470,19500410,   39,    0
 27130,268470,19500411,    0,    0
 27130,268470,19500412,    0,    0
 27130,268470,19500413,   86,    0
 27130,268470,19500414,  151,    0
 27130,268470,19500415,  295,    0
 27130,268470,19500416,   83,    0
 27130,268470,19500417,    0,    0
 27130,268470,19500418,  340,    0
 27130,268470,19500419,  328,    0
 27130,268470,19500420,  145,    0
 27130,268470,19500421,   60,    0
 27130,268470,19500422,  104,    0
 27130,268470,19500423,   60,    0
 27130,268470,19500424,   71,    0
 27130,268470,19500425,   41,    0
 27130,268470,19500426,    0,    0
 27130,268470,19500427,    6,    0
 27130,268470,19500428,    8,    0
 27130,268470,19500429,    0,    0
 27130,268470,19500430,    0,    0
 27130,268470,19500501,    0,    0
 27130,268470,19500502,    0,    0
 27130,268470,19500503,    0,    0
 27130,268470,19500504,    0,    0
 27130,268470,19500505,    0,    0
 27130,268470,19500506,    0,    0
 27130,268470,19500507,    0,    0
 27130,268470,19500508,    0,    0
 27130,268470,19500509,  168,    0
 27130,268470,19500510,   34,    0
 27130,268470,19500511,    0,    0
 27130,268470,19500512,   47,    0
 27130,268470,19500513,    0,    0
 27130,268470,19500514,    0,    0
 27130,268470,19500515,    0,    0
 27130,268470,19500516,    0,    0
 27130,268470,19500517,   14,    0
 27130,268470,19500518,    2,    0
 27130,268470,19500519,   27,    0
 27130,268470,19500520,    0,    0
 27130,268470,19500521,    0,    0
 27130,268470,19500522,   77,    0
 27130,268470,19500523,    0,    0
 27130,268470,19500524,    0,    0
 27130,268470,19500525,   12,    0
 27130,268470,19500526,    0,    0
 27130,268470,19500527,    0,    0
 27130,268470,19500528,    0,    0
 27130,268470,19500529,    0,    0
 27130,268470,19500530,    0,    0
 27130,268470,19500531,   11,    0
 27130,268470,19500601,   35,    0
 27130,268470,19500602,    0,    0
 27130,268470,19500603,    0,    0
 27130,268470,19500604,    0,    0
 27130,268470,19500605,   28,    0
 27130,268470,19500606,    0,    0
 27130,268470,19500607,    0,    0
 27130,268470,19500608,   64,    0
 27130,268470,19500609,    0,    0
 27130,268470,19500610,   31,    0
 27130,268470,19500611,   19,    0
 27130,268470,19500612,  120,    0
 27130,268470,19500613,   13,    0
 27130,268470,19500614,    0,    0
 27130,268470,19500615,    0,    0
 27130,268470,19500616,   44,    0
 27130,268470,19500617,  114,    0
 27130,268470,19500618,    0,    0
 27130,268470,19500619,    9,    0
 27130,268470,19500620,    0,    0
 27130,268470,19500621,    0,    0
 27130,268470,19500622,    0,    0
 27130,268470,19500623,    0,    0
 27130,268470,19500624,    0,    0
 27130,268470,19500625,    0,    0
 27130,268470,19500626,    0,    0
 27130,268470,19500627,    0,    0
 27130,268470,19500628,    0,    0
 27130,268470,19500629,    0,    0
 27130,268470,19500630,    0,    0
 27130,268470,19500701,    0,    0
 27130,268470,19500702,   58,    0
 27130,268470,19500703,   56,    0
 27130,268470,19500704,    0,    0
 27130,268470,19500705,  241,    0
 27130,268470,19500706,    9,    0
 27130,268470,19500707,    6,    0
 27130,268470,19500708,    0,    0
 27130,268470,19500709,    0,    0
 27130,268470,19500710,    0,    0
 27130,268470,19500711,    0,    0
 27130,268470,19500712,    0,    0
 27130,268470,19500713,    0,    0
 27130,268470,19500714,   51,    0
 27130,268470,19500715,    0,    0
 27130,268470,19500716,    0,    0
 27130,268470,19500717,   11,    0
 27130,268470,19500718,    0,    0
 27130,268470,19500719,    0,    0
 27130,268470,19500720,    0,    0
 27130,268470,19500721,    0,    0
 27130,268470,19500722,    0,    0
 27130,268470,19500723,    0,    0
 27130,268470,19500724,    0,    0
 27130,268470,19500725,    0,    0
 27130,268470,19500726,    0,    0
 27130,268470,19500727,    0,    0
 27130,268470,19500728,    0,    0
 27130,268470,19500729,    0,    0
 27130,268470,19500730,    0,    0
 27130,268470,19500731,    0,    0
 27130,268470,19500801,   44,    0
 27130,268470,19500802,   15,    0
 27130,268470,19500803,    0,    0
 27130,268470,19500804,   20,    0
 27130,268470,19500805,    0,    0
 27130,268470,19500806,    0,    0
 27130,268470,19500807,   51,    0
 27130,268470,19500808,   31,    0
 27130,268470,19500809,    0,    0
 27130,268470,19500810,  230,    0
 27130,268470,19500811,   24,    0
 27130,268470,19500812,    0,    0
 27130,268470,19500813,    0,    0
 27130,268470,19500814,   25,    0
 27130,268470,19500815,    0,    0
 27130,268470,19500816,    0,    0
 27130,268470,19500817,   96,    0
 27130,268470,19500818,   20,    0
 27130,268470,19500819,   11,    0
 27130,268470,19500820,    0,    0
 27130,268470,19500821,   32,    0
 27130,268470,19500822,   23,    0
 27130,268470,19500823,    0,    0
 27130,268470,19500824,    0,    0
 27130,268470,19500825,    0,    0
 27130,268470,19500826,    0,    0
 27130,268470,19500827,    0,    0
 27130,268470,19500828,    0,    0
 27130,268470,19500829,   48,    0
 27130,268470,19500830,    0,    0
 27130,268470,19500831,   50,    0
 27130,268470,19500901,  111,    0
 27130,268470,19500902,   50,    0
 27130,268470,19500903,  239,    0
 27130,268470,19500904,    0,    0
 27130,268470,19500905,   20,    0
 27130,268470,19500906,   24,    0
 27130,268470,19500907,    0,    0
 27130,268470,19500908,    0,    0
 27130,268470,19500909,    0,    0
 27130,268470,19500910,    0,    0
 27130,268470,19500911,    0,    0
 27130,268470,19500912,    0,    0
 27130,268470,19500913,    0,    0
 27130,268470,19500914,    0,    0
 27130,268470,19500915,  114,    0
 27130,268470,19500916,    0,    0
 27130,268470,19500917,   32,    0
 27130,268470,19500918,   20,    0
 27130,268470,19500919,    0,    0
 27130,268470,19500920,    0,    0
 27130,268470,19500921,   78,    0
 27130,268470,19500922,    0,    0
 27130,268470,19500923,    0,    0
 27130,268470,19500924,    0,    0
 27130,268470,19500925,    0,    0
 27130,268470,19500926,  187,    0
 27130,268470,19500927,  260,    0
 27130,268470,19500928,    0,    0
 27130,268470,19500929,    0,    0
 27130,268470,19500930,   29,    0
 27130,268470,19501001,    0,    0
 27130,268470,19501002,    0,    0
 27130,268470,19501003,    0,    0
 27130,268470,19501004,    0,    0
 27130,268470,19501005,    0,    0
 27130,268470,19501006,    0,    0
