EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 268758) of station PALACIOS DE LA SIERRA, SPAIN (STAID:  27154)

 STAID,    SOUID,    DATE,   RR, Q_RR
 27154,268758,19500101,    0,    0
 27154,268758,19500102,    0,    0
 27154,268758,19500103,    0,    0
 27154,268758,19500104,    0,    0
 27154,268758,19500105,    0,    0
 27154,268758,19500106,    0,    0
 27154,268758,19500107,    0,    0
 27154,268758,19500108,    0,    0
 27154,268758,19500109,    0,    0
 27154,268758,19500110,    0,    0
 27154,268758,19500111,    0,    0
 27154,268758,19500112,    0,    0
 27154,268758,19500113,    0,    0
 27154,268758,19500114,    0,    0
 27154,268758,19500115,    0,    0
 27154,268758,19500116,    0,    0
 27154,268758,19500117,   20,    0
 27154,268758,19500118,   30,    0
 27154,268758,19500119,   30,    0
 27154,268758,19500120,    0,    0
 27154,268758,19500121,    0,    0
 27154,268758,19500122,    0,    0
 27154,268758,19500123,    0,    0
 27154,268758,19500124,    0,    0
 27154,268758,19500125,    0,    0
 27154,268758,19500126,    0,    0
 27154,268758,19500127,    0,    0
 27154,268758,19500128,    0,    0
 27154,268758,19500129,   20,    0
 27154,268758,19500130,    0,    0
 27154,268758,19500131,   30,    0
 27154,268758,19500201,    0,    0
 27154,268758,19500202,    0,    0
 27154,268758,19500203,    0,    0
 27154,268758,19500204,   80,    0
 27154,268758,19500205,  220,    0
 27154,268758,19500206,    0,    0
 27154,268758,19500207,    0,    0
