EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 269538) of station ARANJUEZ, SPAIN (STAID:  27219)

 STAID,    SOUID,    DATE,   RR, Q_RR
 27219,269538,19760401,    0,    0
 27219,269538,19760402,    0,    0
 27219,269538,19760403,    0,    0
 27219,269538,19760404,  130,    0
 27219,269538,19760405,   20,    0
 27219,269538,19760406,    0,    0
 27219,269538,19760407,    0,    0
 27219,269538,19760408,    0,    0
 27219,269538,19760409,    0,    0
 27219,269538,19760410,    0,    0
 27219,269538,19760411,    0,    0
 27219,269538,19760412,    0,    0
 27219,269538,19760413,    0,    0
 27219,269538,19760414,    0,    0
 27219,269538,19760415,    0,    0
 27219,269538,19760416,   12,    0
 27219,269538,19760417,  180,    0
 27219,269538,19760418,   18,    0
 27219,269538,19760419,    0,    0
 27219,269538,19760420,    0,    0
 27219,269538,19760421,    0,    0
 27219,269538,19760422,   35,    0
 27219,269538,19760423,    0,    0
 27219,269538,19760424,    0,    0
 27219,269538,19760425,    0,    0
 27219,269538,19760426,   15,    0
 27219,269538,19760427,    0,    0
 27219,269538,19760428,    0,    0
 27219,269538,19760429,    0,    0
 27219,269538,19760430,    0,    0
 27219,269538,19760501,   23,    0
 27219,269538,19760502,    0,    0
 27219,269538,19760503,    0,    0
 27219,269538,19760504,    0,    0
 27219,269538,19760505,    0,    0
 27219,269538,19760506,    0,    0
 27219,269538,19760507,    0,    0
 27219,269538,19760508,    0,    0
 27219,269538,19760509,   55,    0
 27219,269538,19760510,    0,    0
 27219,269538,19760511,    0,    0
 27219,269538,19760512,    0,    0
 27219,269538,19760513,   15,    0
 27219,269538,19760514,    0,    0
 27219,269538,19760515,    0,    0
 27219,269538,19760516,    0,    0
 27219,269538,19760517,    0,    0
 27219,269538,19760518,    0,    0
 27219,269538,19760519,    0,    0
 27219,269538,19760520,    0,    0
 27219,269538,19760521,    0,    0
 27219,269538,19760522,    0,    0
 27219,269538,19760523,    0,    0
 27219,269538,19760524,    0,    0
 27219,269538,19760525,    0,    0
 27219,269538,19760526,    0,    0
 27219,269538,19760527,    0,    0
 27219,269538,19760528,    0,    0
 27219,269538,19760529,    0,    0
 27219,269538,19760530,   85,    0
 27219,269538,19760531,    0,    0
 27219,269538,19760601,    0,    0
 27219,269538,19760602,    0,    0
 27219,269538,19760603,    0,    0
 27219,269538,19760604,    0,    0
 27219,269538,19760605,    0,    0
 27219,269538,19760606,    0,    0
 27219,269538,19760607,    0,    0
 27219,269538,19760608,   65,    0
 27219,269538,19760609,    0,    0
 27219,269538,19760610,    0,    0
 27219,269538,19760611,    0,    0
 27219,269538,19760612,    0,    0
 27219,269538,19760613,    0,    0
 27219,269538,19760614,    0,    0
 27219,269538,19760615,    0,    0
 27219,269538,19760616,    0,    0
 27219,269538,19760617,  173,    0
 27219,269538,19760618,    0,    0
 27219,269538,19760619,    0,    0
 27219,269538,19760620,    0,    0
 27219,269538,19760621,    0,    0
 27219,269538,19760622,    0,    0
 27219,269538,19760623,    0,    0
 27219,269538,19760624,    0,    0
 27219,269538,19760625,   70,    0
 27219,269538,19760626,    0,    0
 27219,269538,19760627,    0,    0
 27219,269538,19760628,    0,    0
 27219,269538,19760629,    0,    0
 27219,269538,19760630,    0,    0
 27219,269538,19760701,    0,    0
 27219,269538,19760702,   63,    0
 27219,269538,19760703,    0,    0
 27219,269538,19760704,  203,    0
 27219,269538,19760705,    0,    0
 27219,269538,19760706,    0,    0
 27219,269538,19760707,    0,    0
 27219,269538,19760708,    0,    0
 27219,269538,19760709,    0,    0
 27219,269538,19760710,    0,    0
 27219,269538,19760711,    0,    0
 27219,269538,19760712,    0,    0
 27219,269538,19760713,    0,    0
 27219,269538,19760714,    0,    0
 27219,269538,19760715,    0,    0
 27219,269538,19760716,   35,    0
 27219,269538,19760717,    0,    0
 27219,269538,19760718,    0,    0
 27219,269538,19760719,    0,    0
 27219,269538,19760720,    0,    0
 27219,269538,19760721,   42,    0
 27219,269538,19760722,    0,    0
 27219,269538,19760723,    0,    0
 27219,269538,19760724,   76,    0
 27219,269538,19760725,  300,    0
 27219,269538,19760726,    0,    0
 27219,269538,19760727,    0,    0
 27219,269538,19760728,    0,    0
 27219,269538,19760729,    0,    0
 27219,269538,19760730,    0,    0
 27219,269538,19760731,    0,    0
 27219,269538,19760801,    0,    0
 27219,269538,19760802,    0,    0
 27219,269538,19760803,    0,    0
 27219,269538,19760804,    0,    0
 27219,269538,19760805,    0,    0
 27219,269538,19760806,    0,    0
 27219,269538,19760807,    0,    0
 27219,269538,19760808,    0,    0
 27219,269538,19760809,    0,    0
 27219,269538,19760810,    0,    0
 27219,269538,19760811,    0,    0
 27219,269538,19760812,    0,    0
 27219,269538,19760813,   40,    0
 27219,269538,19760814,    0,    0
 27219,269538,19760815,    0,    0
 27219,269538,19760816,    0,    0
 27219,269538,19760817,    0,    0
 27219,269538,19760818,    0,    0
 27219,269538,19760819,    0,    0
 27219,269538,19760820,    0,    0
 27219,269538,19760821,  360,    0
 27219,269538,19760822,    0,    0
 27219,269538,19760823,    0,    0
 27219,269538,19760824,  240,    0
 27219,269538,19760825,    0,    0
 27219,269538,19760826,    0,    0
 27219,269538,19760827,  185,    0
 27219,269538,19760828,   20,    0
 27219,269538,19760829,   25,    0
 27219,269538,19760830,    0,    0
 27219,269538,19760831,    0,    0
 27219,269538,19760901,    0,    0
 27219,269538,19760902,    0,    0
 27219,269538,19760903,    0,    0
 27219,269538,19760904,    0,    0
 27219,269538,19760905,    0,    0
 27219,269538,19760906,    0,    0
 27219,269538,19760907,    0,    0
 27219,269538,19760908,    0,    0
 27219,269538,19760909,    0,    0
 27219,269538,19760910,    0,    0
 27219,269538,19760911,    0,    0
 27219,269538,19760912,    0,    0
 27219,269538,19760913,   92,    0
 27219,269538,19760914,    0,    0
 27219,269538,19760915,    0,    0
 27219,269538,19760916,    0,    0
 27219,269538,19760917,    0,    0
 27219,269538,19760918,    0,    0
 27219,269538,19760919,    0,    0
 27219,269538,19760920,    0,    0
 27219,269538,19760921,    0,    0
 27219,269538,19760922,    0,    0
 27219,269538,19760923,    0,    0
 27219,269538,19760924,    0,    0
 27219,269538,19760925,    0,    0
 27219,269538,19760926,   85,    0
 27219,269538,19760927,  100,    0
 27219,269538,19760928,  140,    0
 27219,269538,19760929,   20,    0
 27219,269538,19760930,    0,    0
 27219,269538,19761001,   35,    0
 27219,269538,19761002,    0,    0
 27219,269538,19761003,    0,    0
 27219,269538,19761004,    0,    0
 27219,269538,19761005,    0,    0
 27219,269538,19761006,    0,    0
 27219,269538,19761007,    0,    0
 27219,269538,19761008,    0,    0
 27219,269538,19761009,    0,    0
 27219,269538,19761010,   80,    0
 27219,269538,19761011,  125,    0
 27219,269538,19761012,   60,    0
 27219,269538,19761013,    0,    0
 27219,269538,19761014,   12,    0
 27219,269538,19761015,    0,    0
 27219,269538,19761016,    0,    0
 27219,269538,19761017,    0,    0
 27219,269538,19761018,    0,    0
 27219,269538,19761019,   45,    0
 27219,269538,19761020,    0,    0
 27219,269538,19761021,    0,    0
 27219,269538,19761022,    0,    0
 27219,269538,19761023,    0,    0
 27219,269538,19761024,   35,    0
 27219,269538,19761025,    0,    0
 27219,269538,19761026,    0,    0
 27219,269538,19761027,   55,    0
 27219,269538,19761028,    0,    0
 27219,269538,19761029,    0,    0
 27219,269538,19761030,    0,    0
 27219,269538,19761031,    0,    0
 27219,269538,19761101,  140,    0
 27219,269538,19761102,    0,    0
 27219,269538,19761103,    5,    0
 27219,269538,19761104,    0,    0
 27219,269538,19761105,    0,    0
 27219,269538,19761106,   65,    0
 27219,269538,19761107,    0,    0
 27219,269538,19761108,   42,    0
 27219,269538,19761109,   30,    0
 27219,269538,19761110,    0,    0
 27219,269538,19761111,   95,    0
 27219,269538,19761112,    0,    0
 27219,269538,19761113,    0,    0
 27219,269538,19761114,    0,    0
 27219,269538,19761115,    0,    0
 27219,269538,19761116,    0,    0
 27219,269538,19761117,    0,    0
 27219,269538,19761118,    0,    0
 27219,269538,19761119,    0,    0
 27219,269538,19761120,    0,    0
 27219,269538,19761121,    0,    0
 27219,269538,19761122,    0,    0
 27219,269538,19761123,    0,    0
 27219,269538,19761124,    0,    0
 27219,269538,19761125,    0,    0
 27219,269538,19761126,    0,    0
 27219,269538,19761127,    0,    0
 27219,269538,19761128,    0,    0
 27219,269538,19761129,    0,    0
 27219,269538,19761130,    0,    0
 27219,269538,19761201,    0,    0
 27219,269538,19761202,    0,    0
 27219,269538,19761203,    0,    0
 27219,269538,19761204,    0,    0
 27219,269538,19761205,   55,    0
 27219,269538,19761206,  155,    0
 27219,269538,19761207,    0,    0
 27219,269538,19761208,    0,    0
 27219,269538,19761209,    0,    0
 27219,269538,19761210,    0,    0
 27219,269538,19761211,    0,    0
 27219,269538,19761212,    0,    0
 27219,269538,19761213,    0,    0
 27219,269538,19761214,    0,    0
 27219,269538,19761215,    0,    0
 27219,269538,19761216,    0,    0
 27219,269538,19761217,   60,    0
 27219,269538,19761218,   41,    0
 27219,269538,19761219,  120,    0
 27219,269538,19761220,    0,    0
 27219,269538,19761221,    0,    0
 27219,269538,19761222,    0,    0
 27219,269538,19761223,    5,    0
 27219,269538,19761224,   45,    0
 27219,269538,19761225,    0,    0
 27219,269538,19761226,    0,    0
 27219,269538,19761227,    0,    0
 27219,269538,19761228,    0,    0
 27219,269538,19761229,   60,    0
 27219,269538,19761230,   40,    0
 27219,269538,19761231,    0,    0
 27219,269538,19770101,   10,    0
 27219,269538,19770102,   40,    0
 27219,269538,19770103,    0,    0
 27219,269538,19770104,    0,    0
 27219,269538,19770105,    0,    0
 27219,269538,19770106,   65,    0
 27219,269538,19770107,    5,    0
 27219,269538,19770108,    0,    0
 27219,269538,19770109,    0,    0
 27219,269538,19770110,   55,    0
 27219,269538,19770111,    0,    0
 27219,269538,19770112,    0,    0
 27219,269538,19770113,   25,    0
 27219,269538,19770114,   45,    0
