EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 269898) of station SOTILLO DE LA ADRADA, SPAIN (STAID:  27249)

 STAID,    SOUID,    DATE,   RR, Q_RR
 27249,269898,19540301,    0,    0
 27249,269898,19540302,    0,    0
 27249,269898,19540303,    0,    0
 27249,269898,19540304,    0,    0
 27249,269898,19540305,    0,    0
 27249,269898,19540306,    0,    0
 27249,269898,19540307,    0,    0
 27249,269898,19540308,    0,    0
 27249,269898,19540309,    0,    0
 27249,269898,19540310,    0,    0
 27249,269898,19540311,    0,    0
 27249,269898,19540312,    0,    0
 27249,269898,19540313,    0,    0
 27249,269898,19540314,    0,    0
 27249,269898,19540315,    0,    0
 27249,269898,19540316,    7,    0
 27249,269898,19540317,  112,    0
 27249,269898,19540318,    0,    0
 27249,269898,19540319,    0,    0
 27249,269898,19540320,    0,    0
 27249,269898,19540321,    0,    0
 27249,269898,19540322,    0,    0
 27249,269898,19540323,   14,    0
 27249,269898,19540324,    0,    0
 27249,269898,19540325,    0,    0
 27249,269898,19540326,    0,    0
 27249,269898,19540327,    0,    0
 27249,269898,19540328,    0,    0
 27249,269898,19540329,    0,    0
 27249,269898,19540330,    0,    0
 27249,269898,19540331,   23,    0
 27249,269898,19540401,    0,    0
 27249,269898,19540402,    0,    0
 27249,269898,19540403,    0,    0
 27249,269898,19540404,    0,    0
 27249,269898,19540405,    0,    0
 27249,269898,19540406,    0,    0
 27249,269898,19540407,    0,    0
 27249,269898,19540408,    0,    0
 27249,269898,19540409,    0,    0
 27249,269898,19540410,    0,    0
 27249,269898,19540411,    0,    0
 27249,269898,19540412,    0,    0
 27249,269898,19540413,    0,    0
 27249,269898,19540414,    0,    0
 27249,269898,19540415,    0,    0
 27249,269898,19540416,    0,    0
 27249,269898,19540417,    0,    0
 27249,269898,19540418,    0,    0
 27249,269898,19540419,    0,    0
 27249,269898,19540420,    0,    0
 27249,269898,19540421,    0,    0
 27249,269898,19540422,    0,    0
 27249,269898,19540423,    0,    0
 27249,269898,19540424,    0,    0
 27249,269898,19540425,    0,    0
 27249,269898,19540426,    0,    0
 27249,269898,19540427,   16,    0
 27249,269898,19540428,   71,    0
 27249,269898,19540429,   20,    0
 27249,269898,19540430,   65,    0
 27249,269898,19540501,   53,    0
 27249,269898,19540502,  195,    0
 27249,269898,19540503,    4,    0
 27249,269898,19540504,   18,    0
 27249,269898,19540505,    0,    0
 27249,269898,19540506,    0,    0
 27249,269898,19540507,    0,    0
 27249,269898,19540508,    0,    0
 27249,269898,19540509,    0,    0
 27249,269898,19540510,    0,    0
 27249,269898,19540511,    0,    0
 27249,269898,19540512,    0,    0
 27249,269898,19540513,  135,    0
 27249,269898,19540514,   44,    0
 27249,269898,19540515,  121,    0
 27249,269898,19540516,    0,    0
 27249,269898,19540517,    5,    0
 27249,269898,19540518,    0,    0
 27249,269898,19540519,    0,    0
 27249,269898,19540520,    0,    0
 27249,269898,19540521,    0,    0
 27249,269898,19540522,    0,    0
 27249,269898,19540523,    0,    0
 27249,269898,19540524,    0,    0
 27249,269898,19540525,    0,    0
 27249,269898,19540526,    0,    0
 27249,269898,19540527,    0,    0
 27249,269898,19540528,    0,    0
 27249,269898,19540529,    0,    0
 27249,269898,19540530,    0,    0
 27249,269898,19540531,   20,    0
 27249,269898,19540601,    0,    0
 27249,269898,19540602,   85,    0
 27249,269898,19540603,   90,    0
 27249,269898,19540604,    0,    0
 27249,269898,19540605,    0,    0
 27249,269898,19540606,    0,    0
 27249,269898,19540607,    0,    0
 27249,269898,19540608,    0,    0
 27249,269898,19540609,  111,    0
 27249,269898,19540610,    0,    0
 27249,269898,19540611,    0,    0
 27249,269898,19540612,    0,    0
 27249,269898,19540613,    0,    0
 27249,269898,19540614,    0,    0
 27249,269898,19540615,    0,    0
 27249,269898,19540616,    0,    0
 27249,269898,19540617,    0,    0
 27249,269898,19540618,    0,    0
 27249,269898,19540619,    0,    0
 27249,269898,19540620,    0,    0
 27249,269898,19540621,    0,    0
 27249,269898,19540622,    0,    0
 27249,269898,19540623,    0,    0
 27249,269898,19540624,    0,    0
 27249,269898,19540625,    0,    0
 27249,269898,19540626,    0,    0
 27249,269898,19540627,    0,    0
 27249,269898,19540628,    0,    0
 27249,269898,19540629,    0,    0
 27249,269898,19540630,    0,    0
 27249,269898,19540701,-9999,    9
 27249,269898,19540702,-9999,    9
 27249,269898,19540703,-9999,    9
 27249,269898,19540704,-9999,    9
 27249,269898,19540705,-9999,    9
 27249,269898,19540706,-9999,    9
 27249,269898,19540707,-9999,    9
 27249,269898,19540708,-9999,    9
 27249,269898,19540709,-9999,    9
 27249,269898,19540710,-9999,    9
 27249,269898,19540711,-9999,    9
 27249,269898,19540712,-9999,    9
 27249,269898,19540713,-9999,    9
 27249,269898,19540714,-9999,    9
 27249,269898,19540715,-9999,    9
 27249,269898,19540716,-9999,    9
 27249,269898,19540717,-9999,    9
 27249,269898,19540718,-9999,    9
 27249,269898,19540719,-9999,    9
 27249,269898,19540720,-9999,    9
 27249,269898,19540721,-9999,    9
 27249,269898,19540722,-9999,    9
 27249,269898,19540723,-9999,    9
 27249,269898,19540724,-9999,    9
 27249,269898,19540725,-9999,    9
 27249,269898,19540726,-9999,    9
 27249,269898,19540727,-9999,    9
 27249,269898,19540728,-9999,    9
 27249,269898,19540729,-9999,    9
 27249,269898,19540730,-9999,    9
 27249,269898,19540731,-9999,    9
 27249,269898,19540801,-9999,    9
 27249,269898,19540802,-9999,    9
 27249,269898,19540803,-9999,    9
 27249,269898,19540804,-9999,    9
 27249,269898,19540805,-9999,    9
 27249,269898,19540806,-9999,    9
 27249,269898,19540807,-9999,    9
 27249,269898,19540808,-9999,    9
 27249,269898,19540809,-9999,    9
 27249,269898,19540810,-9999,    9
 27249,269898,19540811,-9999,    9
 27249,269898,19540812,-9999,    9
 27249,269898,19540813,-9999,    9
 27249,269898,19540814,-9999,    9
 27249,269898,19540815,-9999,    9
 27249,269898,19540816,-9999,    9
 27249,269898,19540817,-9999,    9
 27249,269898,19540818,-9999,    9
 27249,269898,19540819,-9999,    9
 27249,269898,19540820,-9999,    9
 27249,269898,19540821,-9999,    9
 27249,269898,19540822,-9999,    9
 27249,269898,19540823,-9999,    9
 27249,269898,19540824,-9999,    9
 27249,269898,19540825,-9999,    9
 27249,269898,19540826,-9999,    9
 27249,269898,19540827,-9999,    9
 27249,269898,19540828,-9999,    9
 27249,269898,19540829,-9999,    9
 27249,269898,19540830,-9999,    9
 27249,269898,19540831,-9999,    9
 27249,269898,19540901,-9999,    9
 27249,269898,19540902,-9999,    9
 27249,269898,19540903,-9999,    9
 27249,269898,19540904,-9999,    9
 27249,269898,19540905,-9999,    9
 27249,269898,19540906,-9999,    9
 27249,269898,19540907,-9999,    9
 27249,269898,19540908,-9999,    9
 27249,269898,19540909,-9999,    9
 27249,269898,19540910,-9999,    9
 27249,269898,19540911,-9999,    9
 27249,269898,19540912,-9999,    9
 27249,269898,19540913,-9999,    9
 27249,269898,19540914,-9999,    9
 27249,269898,19540915,-9999,    9
 27249,269898,19540916,-9999,    9
 27249,269898,19540917,-9999,    9
 27249,269898,19540918,-9999,    9
 27249,269898,19540919,-9999,    9
 27249,269898,19540920,-9999,    9
 27249,269898,19540921,-9999,    9
 27249,269898,19540922,-9999,    9
 27249,269898,19540923,-9999,    9
 27249,269898,19540924,-9999,    9
 27249,269898,19540925,-9999,    9
 27249,269898,19540926,-9999,    9
 27249,269898,19540927,-9999,    9
 27249,269898,19540928,-9999,    9
 27249,269898,19540929,-9999,    9
 27249,269898,19540930,-9999,    9
 27249,269898,19541001,    0,    0
 27249,269898,19541002,    0,    0
 27249,269898,19541003,    0,    0
 27249,269898,19541004,    0,    0
 27249,269898,19541005,    0,    0
 27249,269898,19541006,    0,    0
 27249,269898,19541007,    0,    0
 27249,269898,19541008,    0,    0
 27249,269898,19541009,    0,    0
 27249,269898,19541010,    0,    0
 27249,269898,19541011,    0,    0
 27249,269898,19541012,    0,    0
 27249,269898,19541013,    0,    0
 27249,269898,19541014,    0,    0
 27249,269898,19541015,    0,    0
 27249,269898,19541016,    0,    0
 27249,269898,19541017,    0,    0
 27249,269898,19541018,    0,    0
 27249,269898,19541019,    0,    0
 27249,269898,19541020,   24,    0
 27249,269898,19541021,    0,    0
 27249,269898,19541022,    0,    0
 27249,269898,19541023,    0,    0
 27249,269898,19541024,    0,    0
 27249,269898,19541025,   20,    0
 27249,269898,19541026,    0,    0
 27249,269898,19541027,    0,    0
 27249,269898,19541028,    0,    0
 27249,269898,19541029,    0,    0
 27249,269898,19541030,    0,    0
 27249,269898,19541031,    0,    0
 27249,269898,19541101,   55,    0
 27249,269898,19541102,    0,    0
 27249,269898,19541103,    0,    0
 27249,269898,19541104,    0,    0
 27249,269898,19541105,   48,    0
 27249,269898,19541106,  125,    0
 27249,269898,19541107,  237,    0
 27249,269898,19541108,  342,    0
 27249,269898,19541109,   15,    0
 27249,269898,19541110,    0,    0
 27249,269898,19541111,    0,    0
 27249,269898,19541112,    0,    0
 27249,269898,19541113,    0,    0
 27249,269898,19541114,    0,    0
 27249,269898,19541115,    0,    0
 27249,269898,19541116,    0,    0
 27249,269898,19541117,    0,    0
 27249,269898,19541118,    0,    0
 27249,269898,19541119,    0,    0
 27249,269898,19541120,    0,    0
 27249,269898,19541121,    0,    0
