EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 270582) of station NAVALVILLAR DE PELA, SPAIN (STAID:  27306)

 STAID,    SOUID,    DATE,   RR, Q_RR
 27306,270582,19500101,    0,    0
 27306,270582,19500102,    0,    0
 27306,270582,19500103,    0,    0
 27306,270582,19500104,    0,    0
 27306,270582,19500105,    0,    0
 27306,270582,19500106,    0,    0
 27306,270582,19500107,    0,    0
 27306,270582,19500108,   36,    0
 27306,270582,19500109,   23,    0
 27306,270582,19500110,    0,    0
 27306,270582,19500111,    0,    0
 27306,270582,19500112,    0,    0
 27306,270582,19500113,    0,    0
 27306,270582,19500114,    0,    0
 27306,270582,19500115,    0,    0
 27306,270582,19500116,    0,    0
 27306,270582,19500117,    0,    0
 27306,270582,19500118,    0,    0
 27306,270582,19500119,    0,    0
 27306,270582,19500120,    0,    0
 27306,270582,19500121,   37,    0
 27306,270582,19500122,    0,    0
 27306,270582,19500123,    0,    0
 27306,270582,19500124,    0,    0
 27306,270582,19500125,   18,    0
 27306,270582,19500126,   27,    0
 27306,270582,19500127,    0,    0
 27306,270582,19500128,    0,    0
 27306,270582,19500129,    0,    0
 27306,270582,19500130,    0,    0
 27306,270582,19500131,   16,    0
 27306,270582,19500201,    0,    0
 27306,270582,19500202,    0,    0
 27306,270582,19500203,  165,    0
