EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 272622) of station LORCA, SPAIN (STAID:  27476)

 STAID,    SOUID,    DATE,   RR, Q_RR
 27476,272622,19550101,    0,    0
 27476,272622,19550102,    0,    0
 27476,272622,19550103,    0,    0
 27476,272622,19550104,    0,    0
 27476,272622,19550105,    0,    0
 27476,272622,19550106,    0,    0
 27476,272622,19550107,    0,    0
 27476,272622,19550108,    0,    0
 27476,272622,19550109,    0,    0
 27476,272622,19550110,    0,    0
 27476,272622,19550111,    0,    0
 27476,272622,19550112,    0,    0
 27476,272622,19550113,    0,    0
 27476,272622,19550114,    0,    0
 27476,272622,19550115,    0,    0
 27476,272622,19550116,    0,    0
 27476,272622,19550117,    0,    0
 27476,272622,19550118,    0,    0
 27476,272622,19550119,    0,    0
 27476,272622,19550120,    0,    0
 27476,272622,19550121,    0,    0
 27476,272622,19550122,    0,    0
 27476,272622,19550123,    0,    0
 27476,272622,19550124,    0,    0
 27476,272622,19550125,    0,    0
 27476,272622,19550126,    0,    0
 27476,272622,19550127,    0,    0
 27476,272622,19550128,    0,    0
 27476,272622,19550129,   16,    0
 27476,272622,19550130,   20,    0
 27476,272622,19550131,    0,    0
 27476,272622,19550201,    0,    0
 27476,272622,19550202,    0,    0
 27476,272622,19550203,    0,    0
 27476,272622,19550204,    0,    0
 27476,272622,19550205,    0,    0
 27476,272622,19550206,    0,    0
 27476,272622,19550207,    0,    0
 27476,272622,19550208,    0,    0
 27476,272622,19550209,    0,    0
 27476,272622,19550210,    0,    0
 27476,272622,19550211,    0,    0
 27476,272622,19550212,    0,    0
 27476,272622,19550213,    0,    0
 27476,272622,19550214,    0,    0
 27476,272622,19550215,   40,    0
 27476,272622,19550216,    0,    0
 27476,272622,19550217,    0,    0
 27476,272622,19550218,    0,    0
 27476,272622,19550219,    0,    0
 27476,272622,19550220,    0,    0
 27476,272622,19550221,    0,    0
 27476,272622,19550222,    0,    0
 27476,272622,19550223,    0,    0
 27476,272622,19550224,    0,    0
 27476,272622,19550225,    0,    0
 27476,272622,19550226,   10,    0
 27476,272622,19550227,    0,    0
 27476,272622,19550228,    0,    0
 27476,272622,19550301,    0,    0
 27476,272622,19550302,    0,    0
 27476,272622,19550303,    0,    0
 27476,272622,19550304,    4,    0
 27476,272622,19550305,    0,    0
 27476,272622,19550306,    0,    0
 27476,272622,19550307,    2,    0
 27476,272622,19550308,    0,    0
 27476,272622,19550309,    0,    0
 27476,272622,19550310,    0,    0
 27476,272622,19550311,    0,    0
 27476,272622,19550312,    0,    0
 27476,272622,19550313,    0,    0
 27476,272622,19550314,    0,    0
 27476,272622,19550315,    0,    0
 27476,272622,19550316,    0,    0
 27476,272622,19550317,    0,    0
 27476,272622,19550318,    0,    0
 27476,272622,19550319,    0,    0
 27476,272622,19550320,    0,    0
 27476,272622,19550321,    0,    0
 27476,272622,19550322,    0,    0
 27476,272622,19550323,    0,    0
 27476,272622,19550324,    0,    0
 27476,272622,19550325,    0,    0
 27476,272622,19550326,    0,    0
 27476,272622,19550327,    0,    0
 27476,272622,19550328,    0,    0
 27476,272622,19550329,    1,    0
 27476,272622,19550330,    0,    0
 27476,272622,19550331,    8,    0
 27476,272622,19550401,    0,    0
 27476,272622,19550402,    0,    0
 27476,272622,19550403,    0,    0
 27476,272622,19550404,    0,    0
 27476,272622,19550405,    0,    0
 27476,272622,19550406,    0,    0
 27476,272622,19550407,    0,    0
 27476,272622,19550408,    0,    0
 27476,272622,19550409,    0,    0
 27476,272622,19550410,    0,    0
 27476,272622,19550411,    0,    0
 27476,272622,19550412,    0,    0
 27476,272622,19550413,    0,    0
 27476,272622,19550414,    0,    0
 27476,272622,19550415,    0,    0
