EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 273282) of station ENCISO, SPAIN (STAID:  27531)

 STAID,    SOUID,    DATE,   RR, Q_RR
 27531,273282,19500101,    0,    0
 27531,273282,19500102,    0,    0
 27531,273282,19500103,    0,    0
 27531,273282,19500104,   60,    0
 27531,273282,19500105,    0,    0
 27531,273282,19500106,    0,    0
 27531,273282,19500107,    0,    0
 27531,273282,19500108,    0,    0
 27531,273282,19500109,   80,    0
 27531,273282,19500110,    0,    0
 27531,273282,19500111,    0,    0
 27531,273282,19500112,    0,    0
 27531,273282,19500113,    0,    0
 27531,273282,19500114,    0,    0
 27531,273282,19500115,    0,    0
 27531,273282,19500116,    0,    0
 27531,273282,19500117,    0,    0
 27531,273282,19500118,  120,    0
 27531,273282,19500119,-9999,    9
 27531,273282,19500120,-9999,    9
 27531,273282,19500121,-9999,    9
 27531,273282,19500122,   30,    0
 27531,273282,19500123,-9999,    9
 27531,273282,19500124,-9999,    9
 27531,273282,19500125,    0,    0
 27531,273282,19500126,    0,    0
 27531,273282,19500127,    0,    0
 27531,273282,19500128,    0,    0
 27531,273282,19500129,    0,    0
 27531,273282,19500130,   60,    0
 27531,273282,19500131,    0,    0
 27531,273282,19500201,    0,    0
 27531,273282,19500202,    0,    0
 27531,273282,19500203,-9999,    9
 27531,273282,19500204,   46,    0
 27531,273282,19500205,    0,    0
 27531,273282,19500206,   10,    0
 27531,273282,19500207,    0,    0
 27531,273282,19500208,    0,    0
 27531,273282,19500209,   45,    0
 27531,273282,19500210,    0,    0
 27531,273282,19500211,    0,    0
 27531,273282,19500212,    0,    0
 27531,273282,19500213,    0,    0
 27531,273282,19500214,    0,    0
 27531,273282,19500215,    0,    0
 27531,273282,19500216,    0,    0
 27531,273282,19500217,    0,    0
 27531,273282,19500218,    0,    0
 27531,273282,19500219,    0,    0
 27531,273282,19500220,    0,    0
 27531,273282,19500221,    0,    0
 27531,273282,19500222,    0,    0
 27531,273282,19500223,    0,    0
 27531,273282,19500224,    0,    0
 27531,273282,19500225,   60,    0
 27531,273282,19500226,  100,    0
 27531,273282,19500227,   10,    0
 27531,273282,19500228,   20,    0
