EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 273342) of station VALLE DE HECHO  HECHO, SPAIN (STAID:  27536)

 STAID,    SOUID,    DATE,   RR, Q_RR
 27536,273342,19560401,    0,    0
 27536,273342,19560402,    2,    0
 27536,273342,19560403,    0,    0
 27536,273342,19560404,    0,    0
 27536,273342,19560405,   21,    0
 27536,273342,19560406,-9999,    9
 27536,273342,19560407,    0,    0
 27536,273342,19560408,    0,    0
 27536,273342,19560409,    0,    0
 27536,273342,19560410,    0,    0
 27536,273342,19560411,  128,    0
 27536,273342,19560412,   20,    0
 27536,273342,19560413,  190,    0
 27536,273342,19560414,   84,    0
 27536,273342,19560415,  167,    0
 27536,273342,19560416,    0,    0
 27536,273342,19560417,    0,    0
 27536,273342,19560418,   24,    0
 27536,273342,19560419,   14,    0
 27536,273342,19560420,  117,    0
 27536,273342,19560421,  227,    0
 27536,273342,19560422,    4,    0
 27536,273342,19560423,   58,    0
 27536,273342,19560424,    0,    0
 27536,273342,19560425,    0,    0
 27536,273342,19560426,  175,    0
 27536,273342,19560427,    5,    0
 27536,273342,19560428,    2,    0
 27536,273342,19560429,   59,    0
 27536,273342,19560430,    0,    0
 27536,273342,19560501,    0,    0
 27536,273342,19560502,    0,    0
 27536,273342,19560503,    0,    0
 27536,273342,19560504,    0,    0
 27536,273342,19560505,    0,    0
 27536,273342,19560506,    0,    0
 27536,273342,19560507,    0,    0
 27536,273342,19560508,    0,    0
 27536,273342,19560509,    0,    0
 27536,273342,19560510,    0,    0
 27536,273342,19560511,    0,    0
 27536,273342,19560512,    0,    0
 27536,273342,19560513,    0,    0
 27536,273342,19560514,    0,    0
 27536,273342,19560515,    0,    0
 27536,273342,19560516,    0,    0
 27536,273342,19560517,    0,    0
 27536,273342,19560518,   20,    0
 27536,273342,19560519,   34,    0
 27536,273342,19560520,   23,    0
 27536,273342,19560521,  351,    0
 27536,273342,19560522,   13,    0
 27536,273342,19560523,   35,    0
 27536,273342,19560524,    0,    0
 27536,273342,19560525,  250,    0
 27536,273342,19560526,   34,    0
 27536,273342,19560527,  907,    0
 27536,273342,19560528,    0,    0
 27536,273342,19560529,    0,    0
 27536,273342,19560530,   38,    0
 27536,273342,19560531,   13,    0
 27536,273342,19560601,    0,    0
 27536,273342,19560602,    0,    0
 27536,273342,19560603,    0,    0
 27536,273342,19560604,    7,    0
 27536,273342,19560605,   80,    0
 27536,273342,19560606,    0,    0
 27536,273342,19560607,    0,    0
 27536,273342,19560608,    0,    0
 27536,273342,19560609,   13,    0
 27536,273342,19560610,    0,    0
 27536,273342,19560611,    0,    0
 27536,273342,19560612,    0,    0
 27536,273342,19560613,   50,    0
 27536,273342,19560614,    0,    0
 27536,273342,19560615,    0,    0
 27536,273342,19560616,    0,    0
 27536,273342,19560617,    0,    0
 27536,273342,19560618,    0,    0
 27536,273342,19560619,    0,    0
 27536,273342,19560620,    0,    0
 27536,273342,19560621,    0,    0
 27536,273342,19560622,    0,    0
 27536,273342,19560623,    0,    0
 27536,273342,19560624,    0,    0
 27536,273342,19560625,   19,    0
 27536,273342,19560626,  144,    0
 27536,273342,19560627,   77,    0
 27536,273342,19560628,    0,    0
 27536,273342,19560629,    2,    0
 27536,273342,19560630,   50,    0
 27536,273342,19560701,  105,    0
 27536,273342,19560702,    0,    0
 27536,273342,19560703,    0,    0
 27536,273342,19560704,    0,    0
 27536,273342,19560705,    0,    0
 27536,273342,19560706,    0,    0
 27536,273342,19560707,   11,    0
 27536,273342,19560708,    0,    0
 27536,273342,19560709,   48,    0
 27536,273342,19560710,    0,    0
 27536,273342,19560711,    0,    0
 27536,273342,19560712,    0,    0
 27536,273342,19560713,    0,    0
 27536,273342,19560714,   27,    0
 27536,273342,19560715,    0,    0
 27536,273342,19560716,    0,    0
 27536,273342,19560717,    0,    0
 27536,273342,19560718,    0,    0
 27536,273342,19560719,    0,    0
 27536,273342,19560720,    0,    0
 27536,273342,19560721,    0,    0
 27536,273342,19560722,    0,    0
 27536,273342,19560723,    0,    0
 27536,273342,19560724,    0,    0
 27536,273342,19560725,    0,    0
 27536,273342,19560726,    0,    0
 27536,273342,19560727,    0,    0
 27536,273342,19560728,    0,    0
 27536,273342,19560729,    0,    0
 27536,273342,19560730,    0,    0
 27536,273342,19560731,    0,    0
 27536,273342,19560801,    0,    0
 27536,273342,19560802,    0,    0
 27536,273342,19560803,    0,    0
 27536,273342,19560804,    0,    0
 27536,273342,19560805,   70,    0
 27536,273342,19560806,  205,    0
 27536,273342,19560807,    0,    0
 27536,273342,19560808,    0,    0
 27536,273342,19560809,    0,    0
 27536,273342,19560810,    0,    0
 27536,273342,19560811,    0,    0
 27536,273342,19560812,    0,    0
 27536,273342,19560813,    0,    0
 27536,273342,19560814,    0,    0
 27536,273342,19560815,    0,    0
 27536,273342,19560816,    0,    0
 27536,273342,19560817,    0,    0
 27536,273342,19560818,    0,    0
 27536,273342,19560819,    0,    0
 27536,273342,19560820,    0,    0
 27536,273342,19560821,    0,    0
 27536,273342,19560822,    0,    0
 27536,273342,19560823,    0,    0
 27536,273342,19560824,    0,    0
 27536,273342,19560825,    0,    0
 27536,273342,19560826,  345,    0
 27536,273342,19560827,    0,    0
 27536,273342,19560828,    0,    0
 27536,273342,19560829,    0,    0
 27536,273342,19560830,    0,    0
 27536,273342,19560831,    0,    0
 27536,273342,19560901,  400,    0
 27536,273342,19560902,  100,    0
 27536,273342,19560903,    0,    0
 27536,273342,19560904,    0,    0
 27536,273342,19560905,    0,    0
 27536,273342,19560906,    0,    0
 27536,273342,19560907,    0,    0
 27536,273342,19560908,   20,    0
 27536,273342,19560909,    0,    0
 27536,273342,19560910,    0,    0
 27536,273342,19560911,    0,    0
 27536,273342,19560912,    0,    0
 27536,273342,19560913,    0,    0
 27536,273342,19560914,    0,    0
 27536,273342,19560915,    0,    0
 27536,273342,19560916,   12,    0
 27536,273342,19560917,    0,    0
 27536,273342,19560918,    0,    0
 27536,273342,19560919,    0,    0
 27536,273342,19560920,  182,    0
 27536,273342,19560921,   70,    0
 27536,273342,19560922,    0,    0
 27536,273342,19560923,  251,    0
 27536,273342,19560924,  235,    0
 27536,273342,19560925,   13,    0
 27536,273342,19560926,   11,    0
 27536,273342,19560927,    0,    0
 27536,273342,19560928,    0,    0
 27536,273342,19560929,    0,    0
 27536,273342,19560930,    0,    0
 27536,273342,19561001,    0,    0
 27536,273342,19561002,   58,    0
 27536,273342,19561003,    0,    0
 27536,273342,19561004,    0,    0
 27536,273342,19561005,    0,    0
 27536,273342,19561006,    0,    0
 27536,273342,19561007,    0,    0
 27536,273342,19561008,    0,    0
 27536,273342,19561009,    0,    0
 27536,273342,19561010,    0,    0
 27536,273342,19561011,    0,    0
 27536,273342,19561012,    0,    0
 27536,273342,19561013,    0,    0
 27536,273342,19561014,   46,    0
 27536,273342,19561015,   59,    0
 27536,273342,19561016,   49,    0
 27536,273342,19561017,    0,    0
 27536,273342,19561018,    0,    0
 27536,273342,19561019,    0,    0
 27536,273342,19561020,    0,    0
 27536,273342,19561021,    0,    0
 27536,273342,19561022,    0,    0
 27536,273342,19561023,    0,    0
 27536,273342,19561024,   69,    0
