,souid,city,country,lat,lon,city_key,years_mode,years_with_data,nan_fraction,total_rows_post_threshold
3,120404,PONTEVEDRA  INSTITUTO,ES,42.43055555555555,-8.646944444444443,,distinct_years,80,0.0,29098
9,147724,SALLOUM,EG,31.55,25.18,,distinct_years,80,0.0,29098
14,155301,LLEIDA-AJUNTAMENT,ES,41.61638888888889,0.5830555555555555,,distinct_years,79,0.0,28490
31,100726,TORREVIEJA,ES,37.97694444444445,-0.7105555555555555,,distinct_years,80,0.0,29098
49,257125,KORCA,AL,40.6,20.766666666666666,,distinct_years,53,0.0,19085
62,147748,BENGHAZI RAGMA,LY,32.07,20.07,,distinct_years,80,0.0,29098
81,191211,PALAU,IT,41.18138888888889,9.383055555555556,,distinct_years,80,0.0,29098
86,266730,SABADELL AEROPUERTO,ES,41.52333333333333,2.103055555555556,,distinct_years,53,0.0,18902
134,266478,VANDELLOS,ES,40.95805555555556,0.8713888888888889,,distinct_years,58,0.0,21003
158,120098,GRANADA BASE AEREA,ES,37.136944444444445,-3.631388888888889,,distinct_years,80,0.0,29098
182,257153,VRATZA,BG,43.2,23.532777777777778,,distinct_years,52,0.0,18659
194,100899,BUCURESTI FILARET,RO,44.41666666666666,26.1,,distinct_years,80,0.0,29098
221,100234,HERAKLION,GR,35.33305555555556,25.18305555555556,,distinct_years,71,0.0,25811
276,257279,CHERNI VRAH,BG,42.58305555555556,23.266666666666666,,distinct_years,73,0.0,26237
326,100959,BARCELOS,PT,41.53,-8.619722222222222,,distinct_years,77,0.0,27729
361,100557,BRINDISI,IT,40.63305555555556,17.93305555555556,,distinct_years,75,0.0,27272
377,118391,CATANIA/SIGONELLA,IT,37.4,14.92,,distinct_years,66,0.0,23925
400,106205,ST-GIRONS,FR,43.00527777777778,1.106666666666667,,distinct_years,77,0.0,28002
423,120620,ZAMORA,ES,41.51555555555556,-5.735277777777778,,distinct_years,80,0.0,29098
445,100244,METHONI,GR,36.83305555555556,21.7,,distinct_years,70,0.0,25446
