date,precip
19500101,7
19500102,42
19500103,7
19500104,37
19500105,0
19500106,0
19500107,0
19500108,0
19500109,0
19500110,0
19500111,32
19500112,0
19500113,0
19500114,0
19500115,0
19500116,7
19500117,0
19500118,0
19500119,0
19500120,0
19500121,0
19500122,0
19500123,0
19500124,0
19500125,0
19500126,31
19500127,0
19500128,0
19500129,0
19500130,0
19500131,7
19500201,16
19500202,0
19500203,0
19500204,0
19500205,0
19500206,23
19500207,48
19500208,0
19500209,108
19500210,12
19500211,0
19500212,0
19500213,0
19500214,0
19500215,0
19500216,0
19500217,0
19500218,0
19500219,0
19500220,0
19500221,0
19500222,0
19500223,0
19500224,0
19500225,0
19500226,0
19500227,0
19500228,0
19500301,14
19500302,0
19500303,47
19500304,0
19500305,0
19500306,0
19500307,0
19500308,0
19500309,0
19500310,0
19500311,0
19500312,0
19500313,40
19500314,0
19500315,0
19500316,0
19500317,23
19500318,0
19500319,0
19500320,7
19500321,0
19500322,0
19500323,13
19500324,0
19500325,7
19500326,14
19500327,0
19500328,0
19500329,0
19500330,0
19500331,0
19500401,0
19500402,0
19500403,0
19500404,0
19500405,0
19500406,0
19500407,0
19500408,0
19500409,0
19500410,0
19500411,0
19500412,0
19500413,0
19500414,0
19500415,0
19500416,0
19500417,0
19500418,33
19500419,0
19500420,0
19500421,0
19500422,0
19500423,0
19500424,0
19500425,0
19500426,0
19500427,0
19500428,14
19500429,7
19500430,13
19500501,0
19500502,0
19500503,17
19500504,19
19500505,25
19500506,0
19500507,0
19500508,0
19500509,0
19500510,7
19500511,0
19500512,7
19500513,22
19500514,0
19500515,0
19500516,14
19500517,0
19500518,0
19500519,0
19500520,23
19500521,0
19500522,0
19500523,0
19500524,0
19500525,0
19500526,0
19500527,15
19500528,0
19500529,13
19500530,32
19500531,0
19500601,0
19500602,13
19500603,0
19500604,0
19500605,0
19500606,0
19500607,0
19500608,0
19500609,0
19500610,0
19500611,0
19500612,0
19500613,0
19500614,0
19500615,0
19500616,0
19500617,0
19500618,0
19500619,0
19500620,0
19500621,0
19500622,0
19500623,0
19500624,0
19500625,0
19500626,0
19500627,0
19500628,0
19500629,0
19500630,0
19500701,26
19500702,0
19500703,0
19500704,0
19500705,0
19500706,0
19500707,0
19500708,0
19500709,0
19500710,0
19500711,25
19500712,14
19500713,0
19500714,0
19500715,0
19500716,0
19500717,0
19500718,0
19500719,0
19500720,0
19500721,0
19500722,0
19500723,0
19500724,0
19500725,0
19500726,0
19500727,0
19500728,26
19500729,18
19500730,7
19500731,15
19500801,7
19500802,0
19500803,0
19500804,0
19500805,0
19500806,0
19500807,0
19500808,0
19500809,0
19500810,0
