data_source,f_1,kappa,sigma,xi
ACHTOPOL all,0.1857541899441341,0.8779100814319397,7.471471387423569,0.1748800371452985
ACHTOPOL spring,0.19473684210526315,0.9633550977003157,7.793864097811005,0.19985110588435454
ACHTOPOL summer,0.1791044776119403,0.6644082049313386,14.761214008840772,0.06866586240434568
ACHTOPOL autumn,0.13580246913580246,0.9962556830557777,7.212531379709085,0.08417121586364838
ACHTOPOL winter,0.21739130434782608,0.8660237767284712,5.541388185831487,0.02624065379546235
AGLIENTU all,0.24466695690030474,0.9444269020926889,7.006849337241284,0.28286774905649076
AGLIENTU spring,0.20257234726688103,1.041336670455314,6.73520194746293,0.2035735890698925
AGLIENTU summer,0.08260869565217391,0.773653978230554,30.347245267574053,-0.08860199515161532
AGLIENTU autumn,0.2701492537313433,0.9107070964366691,6.853734052941188,-0.008234763082255823
AGLIENTU winter,0.30451612903225805,0.8048422340740669,6.8496066555909865,0.026242794667065847
AGUIAR DA BEIRA all,0.22630922693266833,0.8351416847816022,9.562892319364341,0.1547267376518333
AGUIAR DA BEIRA spring,0.23949579831932774,0.9564765370656318,6.835943778853629,0.1058531147888175
AGUIAR DA BEIRA summer,0.15827338129496402,0.8046872466267975,22.0551521782921,-0.07190040713162886
AGUIAR DA BEIRA autumn,0.2185929648241206,0.8959174377512925,8.419585304694689,0.11974740835329516
AGUIAR DA BEIRA winter,0.2610619469026549,0.7364149869701847,8.621544616839675,0.06375093903281152
AJACCIO all,0.23556735235567353,0.9000350358800343,7.412418834181266,0.21863272013727775
AJACCIO spring,0.21040723981900453,0.9031524826058637,6.8275734407939295,0.17552985129753618
AJACCIO summer,0.11267605633802817,0.7925737767954416,24.25581588975839,-0.06545571953135945
AJACCIO autumn,0.24969843184559712,0.8960826436942417,7.252488180223085,-0.0631180103070037
AJACCIO winter,0.2928118393234672,0.8178854236239607,7.296941358083339,0.001853207269800018
AKHISAR all,0.21671018276762402,0.9075634791597512,7.71004218847203,0.33029192114837624
AKHISAR spring,0.2098360655737705,0.9125825936473786,7.724765357694141,0.22632552048565854
AKHISAR summer,0.07100591715976332,0.5746067426556488,61.11540191185317,-0.4477186195168834
AKHISAR autumn,0.19306930693069307,0.8897143405862172,9.9757316560954,0.06281347833733035
AKHISAR winter,0.2691256830601093,1.005057359522311,4.976530121156232,0.1232328528159232
AKTIO all,0.2289091886082751,0.8407491074653729,7.656448786071748,0.3223459096935941
AKTIO spring,0.18397085610200364,0.8326598475452841,7.62161038751702,0.3791850528692733
AKTIO summer,0.0945945945945946,1.1584376522090376,24.597816730108566,0.005037181384784186
AKTIO autumn,0.23935091277890466,0.902253366532568,7.879896733279806,-0.0051940473661028
AKTIO winter,0.28763040238450077,0.8117227239258334,5.427046852953318,0.1339524953435727
ALACANT/ALICANTE all,0.13716184148077837,0.8714698493484748,12.249576768219548,0.1674115528575908
ALACANT/ALICANTE spring,0.14219474497681608,0.9501100415428987,8.995233212673847,0.21620546204411925
