data_source,city,season,pi,p1,p2
ATHENS all,ATHENS,all,0.2736533027748152,0.5052886123178177,0.494701556776012
ATHENS spring,ATHENS,spring,0.7810964513881369,0.49239823640758,0.48909898349251646
ATHENS summer,ATHENS,summer,0.3998261872697644,0.49697205767853564,0.49625224126417783
ATHENS autumn,ATHENS,autumn,0.27427308671952677,0.5905345830142088,0.4757814600137149
ATHENS winter,ATHENS,winter,0.7862527580659944,0.5204596168430922,0.42759577650635733
BARCELONA all,BARCELONA,all,0.6082715281277722,0.49773661957283005,0.4936608361363354
BARCELONA spring,BARCELONA,spring,0.7871534437374026,0.5035736757737294,0.5011267086307847
BARCELONA summer,BARCELONA,summer,0.2735261190612725,0.5440454661083732,0.5380579244353544
BARCELONA autumn,BARCELONA,autumn,0.27727673660330765,0.5912951159814365,0.45232126486774027
BARCELONA winter,BARCELONA,winter,0.7655498089737809,0.49005226901460325,0.4890965098199865
LISBON all,LISBON,all,0.7588304329492674,0.49450034615545546,0.4923841453158219
LISBON spring,LISBON,spring,0.7814744671690171,0.48435062326952427,0.48319077727828785
LISBON summer,LISBON,summer,0.3951082786188357,0.49187721699698433,0.49150369023275803
LISBON autumn,LISBON,autumn,0.2736279590415914,0.5159665169956432,0.5051620091733386
LISBON winter,LISBON,winter,0.7871914486078182,0.49003090439375985,0.4849320301571928
MARSEILLE all,MARSEILLE,all,0.7594096318213848,0.5356338492229084,0.41370299938892957
MARSEILLE spring,MARSEILLE,spring,0.14405030346069292,0.9208461683034199,0.47881493199679087
MARSEILLE summer,MARSEILLE,summer,0.7807634610958581,0.5036643769797353,0.4978799172208293
MARSEILLE autumn,MARSEILLE,autumn,0.7884320311156247,0.5020040945994338,0.4322915329617399
MARSEILLE winter,MARSEILLE,winter,0.8026388670213627,0.5495474834485052,0.37682451466391376
ROME all,ROME,all,0.29204029314141916,0.49709700158669906,0.49204351468335317
ROME spring,ROME,spring,0.9165595714693416,0.5295712370417022,0.33364818063903445
ROME summer,ROME,summer,0.7817023599156914,0.47637086977037846,0.4755456235947015
ROME autumn,ROME,autumn,0.29211604169042593,0.4930010734192215,0.4890620596324568
ROME winter,ROME,winter,0.781246668039684,0.49295649633497785,0.49136848245150727
