season,class,n_dots,obs mean (N-w.),model mean (N-w.),bias (model - obs),rmse,corr (N-w.)
spring,dry-dry,962,0.047696558591100474,0.048882213633459605,0.0011856550423591323,0.07277164231412236,0.37913742276376894
spring,wet-wet,538,0.1066666422143945,0.06180246523161362,-0.04486417698278087,0.08710355792253362,0.4591298959713488
spring,dry-wet,421,-0.13069939766802,-0.02462471388454231,0.10607468378347766,0.15466877334873386,0.6405889628152053
summer,dry-dry,544,0.043542287281924025,0.028752559744754578,-0.014789727537169449,0.06411898398430654,0.34884362612209674
summer,wet-wet,174,0.07467088304633192,0.07153167727659455,-0.003139205769737357,0.07378658369667863,0.5935337499941599
summer,dry-wet,130,-0.10190460718493945,-0.015770128372005657,0.08613447881293379,0.1319736076582719,0.4748707677279232
autumn,dry-dry,1036,0.053016742281300516,0.05035095583017666,-0.002665786451123851,0.06824470884648168,0.481823732689556
autumn,wet-wet,501,0.10872740400979441,0.06576963673786003,-0.04295776727193438,0.08172371187884284,0.43326311636857273
autumn,dry-wet,374,-0.12136860322677882,-0.02700983100101782,0.09435877222576101,0.14958243358405454,0.6085186538172982
winter,dry-dry,991,0.06435411479701082,0.056150395348291526,-0.008203719448719282,0.0747433893179125,0.5239640878177423
winter,wet-wet,501,0.08883675449248889,0.06809873231690686,-0.02073802217558205,0.07879791871596799,0.40438933639267505
winter,dry-wet,293,-0.1471058153846837,-0.03125327179592883,0.11585254358875488,0.17354905153868125,0.5491771320236848
